outage_id,feeder_id,region_id,asset_id,outage_start,outage_end,duration_minutes,customers_interrupted,critical_customers_interrupted,cause_category,saidi_minutes,saifi_count,crew_response_minutes,restoration_notes
OUT-0000019,FDR-TSV-0074,REG-TSV,,2025-05-24T09:23,2025-05-24T10:52,89,241,0,storm,39.65,0.4455,81,Restoration delayed by access issues.
OUT-0000020,FDR--RW-0125,REG-RW,,2026-01-13T05:01,2026-01-13T10:29,328,13,0,storm,29.61,0.0903,132,Crew rerouted via alternate access track.
OUT-0000021,FDR-SEQ-0018,REG-SEQ,,2026-01-31T09:40,2026-01-31T13:12,212,937,28,vehicle_impact,110.67,0.522,45,Lightning strike at substation transformer.
OUT-0000022,FDR--RW-0114,REG-RW,AST--RW-POL-006577,2023-11-04T16:04,2023-11-04T20:13,249,98,1,equipment_failure,112.97,0.4537,117,Restoration delayed by access issues.
OUT-0000023,FDR-TSV-0066,REG-TSV,AST-TSV-POL-003393,2025-02-09T18:47,2025-02-09T23:11,264,566,12,flood,105.97,0.4014,77,Lightning strike at substation transformer.
OUT-0000024,FDR-MKY-0050,REG-MKY,AST-MKY-POL-002603,2024-06-18T17:37,2024-06-18T21:31,234,210,3,equipment_failure,97.69,0.4175,108,Vegetation contact confirmed at span.
OUT-0000025,FDR-TSV-0077,REG-TSV,,2024-05-22T20:55,2024-05-23T00:00,185,235,10,lightning,38.37,0.2074,57,Helicopter inspection required.
OUT-0000026,FDR-TSV-0086,REG-TSV,,2025-03-07T10:16,2025-03-07T12:45,149,113,8,planned,14.62,0.0981,76,Restoration delayed by access issues.
OUT-0000027,FDR-MKY-0059,REG-MKY,,2024-07-24T04:37,2024-07-24T08:51,254,366,6,lightning,117.23,0.4615,80,Helicopter inspection required.
OUT-0000028,FDR-TSV-0083,REG-TSV,AST-TSV-POL-004513,2023-07-08T04:27,2023-07-08T09:07,280,248,2,equipment_failure,158.54,0.5662,105,Lightning strike at substation transformer.
OUT-0000029,FDR-MKY-0043,REG-MKY,,2024-03-28T22:47,2024-03-29T01:08,141,654,12,lightning,85.46,0.6061,103,Storm cell passed through feeder.
OUT-0000030,FDR-MKY-0058,REG-MKY,,2025-07-31T21:35,2025-08-01T00:08,153,288,3,flood,53.22,0.3478,84,Crew rerouted via alternate access track.
OUT-0000031,FDR-MKY-0058,REG-MKY,AST-MKY-POL-002972,2026-05-17T10:10,2026-05-17T13:44,214,408,7,flood,105.45,0.4928,83,Helicopter inspection required.
OUT-0000032,FDR-MKY-0064,REG-MKY,AST-MKY-POL-003290,2025-04-29T07:24,2025-04-29T10:00,156,7,1,lightning,54.6,0.35,75,Crew rerouted via alternate access track.
OUT-0000033,FDR-CQI-0099,REG-CQI,,2025-12-02T01:58,2025-12-02T05:53,235,713,9,flood,183.72,0.7818,69,Lightning strike at substation transformer.
OUT-0000034,FDR-TSV-0086,REG-TSV,AST-TSV-CON-004728,2024-06-13T17:31,2024-06-13T21:24,233,914,9,flood,184.86,0.7934,110,Helicopter inspection required.
OUT-0000035,FDR-MKY-0063,REG-MKY,AST-MKY-POL-003239,2025-10-21T23:52,2025-10-22T01:40,108,219,6,flood,24.74,0.2291,77,Vegetation contact confirmed at span.
OUT-0000036,FDR-MKY-0052,REG-MKY,,2026-01-17T02:38,2026-01-17T07:06,268,112,3,storm,122.02,0.4553,76,Switched to alternate feeder during restoration.
OUT-0000037,FDR-MKY-0043,REG-MKY,AST-MKY-POL-002240,2024-05-18T10:15,2024-05-18T13:01,166,299,7,storm,46.0,0.2771,48,Helicopter inspection required.
OUT-0000038,FDR-MKY-0056,REG-MKY,AST-MKY-POL-002835,2024-10-11T05:10,2024-10-11T11:02,352,455,10,equipment_failure,126.31,0.3588,57,Helicopter inspection required.
OUT-0000039,FDR-CQI-0090,REG-CQI,,2025-07-15T02:45,2025-07-15T04:27,102,384,8,storm,39.89,0.391,92,Storm cell passed through feeder.
OUT-0000040,FDR-TSV-0080,REG-TSV,AST-TSV-CON-004290,2026-05-14T07:43,2026-05-14T12:41,298,142,7,flood,90.23,0.3028,45,Helicopter inspection required.
OUT-0000041,FDR-MKY-0061,REG-MKY,,2023-12-14T19:16,2023-12-15T00:33,317,277,0,equipment_failure,112.14,0.3538,58,Vegetation contact confirmed at span.
OUT-0000042,FDR-TSV-0078,REG-TSV,,2025-11-30T19:47,2025-11-30T21:52,125,520,7,vegetation,52.0,0.416,61,Crew rerouted via alternate access track.
OUT-0000043,FDR-CQI-0108,REG-CQI,AST-CQI-POL-006092,2023-09-22T00:01,2023-09-22T03:50,229,307,9,lightning,81.84,0.3574,62,Crew rerouted via alternate access track.
OUT-0000044,FDR-CQI-0090,REG-CQI,,2024-07-31T21:00,2024-07-31T22:24,84,486,7,unknown,41.57,0.4949,50,Storm cell passed through feeder.
OUT-0000045,FDR-TSV-0071,REG-TSV,AST-TSV-POL-003753,2025-08-26T07:25,2025-08-26T10:30,185,122,3,vegetation,56.57,0.3058,92,Vegetation contact confirmed at span.
OUT-0000046,FDR-TSV-0071,REG-TSV,,2025-12-18T10:48,2025-12-18T14:51,243,157,3,vegetation,95.62,0.3935,57,Switched to alternate feeder during restoration.
OUT-0000047,FDR-TSV-0078,REG-TSV,,2024-05-18T23:17,2024-05-18T23:22,5,700,10,flood,2.8,0.56,113,Crew rerouted via alternate access track.
OUT-0000048,FDR-MKY-0044,REG-MKY,AST-MKY-TRA-002290,2023-07-18T16:58,2023-07-18T19:11,133,256,8,equipment_failure,51.43,0.3867,74,Switched to alternate feeder during restoration.
OUT-0000049,FDR-TSV-0070,REG-TSV,AST-TSV-POL-003699,2026-02-20T09:55,2026-02-20T14:54,299,89,0,lightning,78.96,0.2641,68,Helicopter inspection required.
OUT-0000050,FDR-MKY-0064,REG-MKY,AST-MKY-SWI-003281,2023-08-14T07:04,2023-08-14T09:51,167,2,0,planned,16.7,0.1,26,Helicopter inspection required.
OUT-0000051,FDR-TSV-0069,REG-TSV,AST-TSV-POL-003612,2024-07-16T08:01,2024-07-16T08:45,44,205,3,lightning,21.32,0.4846,88,Switched to alternate feeder during restoration.
OUT-0000052,FDR-TSV-0085,REG-TSV,AST-TSV-POL-004612,2025-03-03T04:05,2025-03-03T04:59,54,1107,12,storm,33.06,0.6123,69,Lightning strike at substation transformer.
OUT-0000053,FDR-TSV-0080,REG-TSV,AST-TSV-TRA-004306,2025-03-09T15:35,2025-03-09T15:52,17,144,0,lightning,5.22,0.307,100,Storm cell passed through feeder.
OUT-0000054,FDR--RW-0115,REG-RW,,2026-01-19T17:19,2026-01-19T23:45,386,29,0,storm,53.3,0.1381,101,Vegetation contact confirmed at span.
OUT-0000055,FDR--RW-0114,REG-RW,AST--RW-REC-006616,2026-05-11T08:28,2026-05-11T12:26,238,36,0,lightning,39.67,0.1667,123,Restoration delayed by access issues.
OUT-0000056,FDR-CQI-0089,REG-CQI,,2024-05-11T12:06,2024-05-11T15:15,189,90,0,storm,100.65,0.5325,61,Helicopter inspection required.
OUT-0000057,FDR-SEQ-0040,REG-SEQ,AST-SEQ-CON-002072,2025-09-18T23:09,2025-09-19T01:43,154,861,41,storm,52.39,0.3402,66,Vegetation contact confirmed at span.
OUT-0000058,FDR-TSV-0072,REG-TSV,,2024-03-25T08:12,2024-03-25T12:09,237,586,7,vegetation,118.7,0.5009,85,Storm cell passed through feeder.
OUT-0000059,FDR-MKY-0047,REG-MKY,AST-MKY-REC-002500,2025-01-16T00:26,2025-01-16T04:37,251,1,1,vegetation,0.2,0.0008,106,Lightning strike at substation transformer.
OUT-0000060,FDR-TSV-0086,REG-TSV,AST-TSV-POL-004748,2026-04-26T09:48,2026-04-26T13:07,199,202,9,flood,34.89,0.1753,79,Helicopter inspection required.
OUT-0000061,FDR-MKY-0048,REG-MKY,AST-MKY-POL-002520,2023-06-24T05:24,2023-06-24T08:50,206,104,1,lightning,124.56,0.6047,73,Restoration delayed by access issues.
OUT-0000062,FDR-MKY-0056,REG-MKY,AST-MKY-POL-002845,2025-09-27T08:01,2025-09-27T11:39,218,63,8,vegetation,10.83,0.0497,46,Storm cell passed through feeder.
OUT-0000063,FDR-MKY-0051,REG-MKY,AST-MKY-POL-002636,2023-08-17T22:01,2023-08-18T00:32,151,156,6,storm,47.4,0.3139,63,Storm cell passed through feeder.
OUT-0000064,FDR-TSV-0083,REG-TSV,,2026-01-13T00:48,2026-01-13T04:44,236,195,2,vegetation,105.07,0.4452,102,Restoration delayed by access issues.
OUT-0000065,FDR-TSV-0085,REG-TSV,AST-TSV-POL-004652,2025-11-24T12:57,2025-11-24T15:28,151,1073,17,flood,89.61,0.5935,68,Storm cell passed through feeder.
OUT-0000066,FDR-TSV-0070,REG-TSV,,2024-05-16T04:47,2024-05-16T08:30,223,124,4,vegetation,82.05,0.368,81,Helicopter inspection required.
OUT-0000067,FDR-SEQ-0039,REG-SEQ,,2024-11-17T05:24,2024-11-17T08:00,156,1209,32,unknown,80.09,0.5134,90,Helicopter inspection required.
OUT-0000068,FDR-TSV-0071,REG-TSV,AST-TSV-POL-003721,2025-02-07T10:54,2025-02-07T15:59,305,126,4,storm,96.32,0.3158,63,Helicopter inspection required.
OUT-0000069,FDR-TSV-0072,REG-TSV,AST-TSV-POL-003800,2025-02-07T02:59,2025-02-07T05:18,139,606,6,flood,71.99,0.5179,96,Restoration delayed by access issues.
OUT-0000070,FDR-MKY-0055,REG-MKY,,2024-01-26T10:00,2024-01-26T11:42,102,1,1,storm,0.27,0.0027,43,Helicopter inspection required.
OUT-0000071,FDR-TSV-0081,REG-TSV,AST-TSV-REC-004369,2025-07-20T16:06,2025-07-20T19:20,194,342,6,equipment_failure,57.64,0.2971,98,Crew rerouted via alternate access track.
OUT-0000072,FDR-SEQ-0033,REG-SEQ,AST-SEQ-POL-001718,2024-06-19T21:22,2024-06-20T01:07,225,201,80,vegetation,8.81,0.0392,49,Crew rerouted via alternate access track.
OUT-0000073,FDR-TSV-0087,REG-TSV,,2023-06-11T18:59,2023-06-11T21:21,142,448,13,equipment_failure,37.29,0.2626,86,Storm cell passed through feeder.
OUT-0000074,FDR-MKY-0051,REG-MKY,AST-MKY-SWI-002635,2023-09-27T14:04,2023-09-27T16:50,166,349,0,flood,116.57,0.7022,71,Crew rerouted via alternate access track.
OUT-0000075,FDR-CQI-0089,REG-CQI,AST-CQI-POL-004892,2025-07-22T12:57,2025-07-22T14:30,93,9,3,unknown,4.95,0.0533,71,Restoration delayed by access issues.
OUT-0000076,FDR-TSV-0081,REG-TSV,,2025-10-22T12:21,2025-10-22T16:11,230,678,12,flood,135.48,0.5891,105,Lightning strike at substation transformer.
OUT-0000077,FDR-TSV-0065,REG-TSV,AST-TSV-RIN-003324,2026-05-04T05:15,2026-05-04T06:11,56,87,2,storm,25.24,0.4508,73,Lightning strike at substation transformer.
OUT-0000078,FDR-TSV-0082,REG-TSV,,2025-12-23T01:28,2025-12-23T06:04,276,734,13,vegetation,121.09,0.4387,110,Lightning strike at substation transformer.
OUT-0000079,FDR-TSV-0078,REG-TSV,AST-TSV-POL-004138,2024-06-27T02:24,2024-06-27T03:26,62,507,10,flood,25.15,0.4056,55,Helicopter inspection required.
OUT-0000080,FDR-TSV-0078,REG-TSV,,2026-03-03T00:48,2026-03-03T04:25,217,499,10,vegetation,86.63,0.3992,69,Vegetation contact confirmed at span.
OUT-0000081,FDR-TSV-0086,REG-TSV,AST-TSV-POL-004711,2024-06-06T04:10,2024-06-06T07:31,201,431,8,flood,75.2,0.3741,87,Restoration delayed by access issues.
OUT-0000082,FDR-TSV-0077,REG-TSV,,2026-04-07T15:31,2026-04-07T20:49,318,769,9,equipment_failure,215.84,0.6787,52,Helicopter inspection required.
OUT-0000083,FDR-MKY-0064,REG-MKY,AST-MKY-POL-003299,2025-07-12T21:42,2025-07-13T00:26,164,10,0,vegetation,82.0,0.5,64,Restoration delayed by access issues.
OUT-0000084,FDR-MKY-0056,REG-MKY,,2023-12-16T15:59,2023-12-16T17:10,71,710,5,storm,39.76,0.5599,46,Vegetation contact confirmed at span.
OUT-0000085,FDR-MKY-0058,REG-MKY,,2024-10-04T19:45,2024-10-04T23:17,212,543,6,vegetation,139.03,0.6558,58,Storm cell passed through feeder.
OUT-0000086,FDR--RW-0125,REG-RW,AST--RW-CON-007657,2024-06-15T07:07,2024-06-15T09:09,122,38,4,flood,32.19,0.2639,136,Vegetation contact confirmed at span.
OUT-0000087,FDR-MKY-0056,REG-MKY,AST-MKY-POL-002829,2024-10-24T04:32,2024-10-24T06:05,93,876,10,lightning,64.25,0.6909,39,Vegetation contact confirmed at span.
OUT-0000088,FDR-TSV-0066,REG-TSV,AST-TSV-CON-003437,2025-04-20T16:26,2025-04-20T17:39,73,525,10,flood,27.18,0.3723,77,Vegetation contact confirmed at span.
OUT-0000089,FDR-MKY-0056,REG-MKY,AST-MKY-POL-002860,2024-08-07T20:25,2024-08-07T23:43,198,527,5,storm,82.29,0.4156,78,Crew rerouted via alternate access track.
OUT-0000090,FDR-TSV-0066,REG-TSV,AST-TSV-POL-003425,2024-04-01T16:11,2024-04-01T20:03,232,249,16,equipment_failure,40.97,0.1766,87,Storm cell passed through feeder.
OUT-0000091,FDR-MKY-0050,REG-MKY,AST-MKY-POL-002620,2025-02-12T10:24,2025-02-12T14:30,246,188,0,vegetation,91.94,0.3738,61,Helicopter inspection required.
OUT-0000092,FDR-TSV-0086,REG-TSV,AST-TSV-TRA-004746,2025-11-21T17:53,2025-11-21T23:38,345,333,6,flood,99.73,0.2891,104,Crew rerouted via alternate access track.
OUT-0000093,FDR-CQI-0105,REG-CQI,AST-CQI-SWI-005955,2023-09-18T12:07,2023-09-18T16:25,258,321,8,vehicle_impact,108.69,0.4213,58,Helicopter inspection required.
OUT-0000094,FDR-MKY-0055,REG-MKY,AST-MKY-TRA-002766,2025-03-18T23:04,2025-03-19T02:53,229,153,1,storm,93.68,0.4091,89,Vegetation contact confirmed at span.
OUT-0000095,FDR-SEQ-0015,REG-SEQ,AST-SEQ-SWI-000806,2023-05-31T17:47,2023-05-31T19:39,112,589,40,flood,24.46,0.2184,54,Vegetation contact confirmed at span.
OUT-0000096,FDR-MKY-0059,REG-MKY,,2025-11-16T00:28,2025-11-16T06:37,369,120,2,lightning,55.84,0.1513,37,Lightning strike at substation transformer.
OUT-0000097,FDR--RW-0113,REG-RW,AST--RW-POL-006569,2023-07-13T02:30,2023-07-13T07:59,329,3,0,flood,49.35,0.15,112,Storm cell passed through feeder.
OUT-0000098,FDR-TSV-0087,REG-TSV,,2025-10-29T23:32,2025-10-30T03:55,263,871,13,lightning,134.27,0.5106,33,Vegetation contact confirmed at span.
OUT-0000099,FDR-CQI-0105,REG-CQI,,2023-12-27T06:33,2023-12-27T10:24,231,281,10,lightning,85.19,0.3688,93,Crew rerouted via alternate access track.
OUT-0000100,FDR-MKY-0049,REG-MKY,AST-MKY-SEC-002575,2023-09-08T12:39,2023-09-08T14:45,126,101,0,vegetation,34.12,0.2708,56,Lightning strike at substation transformer.
OUT-0000101,FDR-MKY-0064,REG-MKY,AST-MKY-POL-003277,2026-05-14T22:06,2026-05-15T01:04,178,12,0,vegetation,106.8,0.6,117,Switched to alternate feeder during restoration.
OUT-0000102,FDR-MKY-0048,REG-MKY,,2025-06-04T15:27,2025-06-04T17:18,111,8,1,equipment_failure,5.16,0.0465,82,Helicopter inspection required.
OUT-0000103,FDR-TSV-0071,REG-TSV,AST-TSV-POL-003736,2026-02-12T19:21,2026-02-13T02:04,403,172,5,unknown,173.72,0.4311,82,Helicopter inspection required.
OUT-0000104,FDR-SEQ-0011,REG-SEQ,AST-SEQ-POL-000600,2024-09-22T19:09,2024-09-22T22:26,197,737,39,vehicle_impact,54.89,0.2786,42,Helicopter inspection required.
OUT-0000105,FDR-TSV-0069,REG-TSV,,2024-09-28T03:43,2024-09-28T07:03,200,134,3,vegetation,63.36,0.3168,56,Helicopter inspection required.
OUT-0000106,FDR-MKY-0056,REG-MKY,AST-MKY-POL-002824,2024-02-15T11:28,2024-02-15T14:23,175,156,8,lightning,21.53,0.123,55,Storm cell passed through feeder.
OUT-0000107,FDR--RW-0122,REG-RW,AST--RW-POL-007287,2025-01-16T12:09,2025-01-16T15:27,198,36,0,planned,85.88,0.4337,155,Helicopter inspection required.
OUT-0000108,FDR-TSV-0077,REG-TSV,AST-TSV-POL-004113,2025-07-23T07:23,2025-07-23T10:12,169,680,7,flood,101.43,0.6002,79,Restoration delayed by access issues.
OUT-0000109,FDR--RW-0126,REG-RW,,2025-03-11T01:52,2025-03-11T08:01,369,200,0,vegetation,181.77,0.4926,154,Vegetation contact confirmed at span.
OUT-0000110,FDR-TSV-0069,REG-TSV,,2024-04-06T02:23,2024-04-06T05:06,163,141,4,flood,54.33,0.3333,96,Helicopter inspection required.
OUT-0000111,FDR-TSV-0072,REG-TSV,AST-TSV-POL-003828,2025-06-28T13:40,2025-06-28T15:58,138,229,4,storm,27.01,0.1957,142,Helicopter inspection required.
OUT-0000112,FDR-MKY-0054,REG-MKY,AST-MKY-POL-002732,2025-03-12T22:26,2025-03-13T01:19,173,1,0,lightning,0.59,0.0034,19,Switched to alternate feeder during restoration.
OUT-0000113,FDR-TSV-0069,REG-TSV,AST-TSV-TRA-003629,2025-02-01T07:22,2025-02-01T13:41,379,116,3,flood,103.93,0.2742,87,Storm cell passed through feeder.
OUT-0000114,FDR-TSV-0071,REG-TSV,AST-TSV-POL-003734,2023-08-11T08:35,2023-08-11T13:37,302,194,4,flood,146.84,0.4862,70,Lightning strike at substation transformer.
OUT-0000115,FDR-MKY-0050,REG-MKY,,2025-12-28T18:29,2025-12-28T22:44,255,215,4,storm,109.0,0.4274,125,Restoration delayed by access issues.
OUT-0000116,FDR-TSV-0072,REG-TSV,AST-TSV-POL-003775,2025-05-04T08:10,2025-05-04T10:58,168,263,11,unknown,37.76,0.2248,54,Restoration delayed by access issues.
OUT-0000117,FDR-MKY-0063,REG-MKY,AST-MKY-TRA-003253,2025-06-12T00:41,2025-06-12T03:23,162,325,9,flood,55.07,0.34,95,Restoration delayed by access issues.
OUT-0000118,FDR-TSV-0075,REG-TSV,AST-TSV-TRA-003940,2023-09-19T14:44,2023-09-19T18:06,202,89,0,unknown,71.34,0.3532,56,Lightning strike at substation transformer.
OUT-0000119,FDR-TSV-0075,REG-TSV,,2025-09-09T06:27,2025-09-09T09:44,197,69,0,vehicle_impact,53.94,0.2738,64,Vegetation contact confirmed at span.
OUT-0000120,FDR-MKY-0048,REG-MKY,AST-MKY-TRA-002517,2026-02-07T00:50,2026-02-07T06:28,338,38,1,flood,74.67,0.2209,136,Restoration delayed by access issues.
OUT-0000121,FDR-TSV-0086,REG-TSV,AST-TSV-POL-004695,2024-09-05T17:57,2024-09-05T19:11,74,432,11,vegetation,27.75,0.375,76,Switched to alternate feeder during restoration.
OUT-0000122,FDR-TSV-0083,REG-TSV,AST-TSV-SEC-004507,2023-05-23T04:31,2023-05-23T07:36,185,275,3,planned,116.15,0.6279,88,Storm cell passed through feeder.
OUT-0000123,FDR-TSV-0084,REG-TSV,,2023-07-23T16:29,2023-07-23T17:38,69,526,6,storm,39.58,0.5736,83,Switched to alternate feeder during restoration.
OUT-0000124,FDR-TSV-0080,REG-TSV,,2025-07-29T12:58,2025-07-29T18:16,318,177,6,lightning,120.01,0.3774,96,Restoration delayed by access issues.
OUT-0000125,FDR-TSV-0075,REG-TSV,AST-TSV-POL-003965,2024-02-09T14:22,2024-02-09T18:31,249,121,1,unknown,119.56,0.4802,99,Crew rerouted via alternate access track.
OUT-0000126,FDR-CQI-0092,REG-CQI,AST-CQI-POL-005103,2024-04-12T23:52,2024-04-13T04:27,275,332,4,flood,148.46,0.5398,86,Restoration delayed by access issues.
OUT-0000127,FDR-CQI-0090,REG-CQI,,2025-09-08T08:06,2025-09-08T10:39,153,398,8,lightning,62.01,0.4053,121,Helicopter inspection required.
OUT-0000128,FDR-TSV-0075,REG-TSV,,2023-08-24T23:05,2023-08-25T02:48,223,68,3,vegetation,60.17,0.2698,74,Restoration delayed by access issues.
OUT-0000129,FDR-TSV-0075,REG-TSV,AST-TSV-POL-003924,2024-02-03T03:49,2024-02-03T08:35,286,60,3,flood,68.1,0.2381,86,Lightning strike at substation transformer.
OUT-0000130,FDR-TSV-0070,REG-TSV,,2025-11-06T07:47,2025-11-06T12:51,304,171,1,flood,154.26,0.5074,45,Helicopter inspection required.
OUT-0000131,FDR-TSV-0078,REG-TSV,AST-TSV-POL-004168,2024-02-29T14:25,2024-02-29T17:19,174,375,7,equipment_failure,52.2,0.3,64,Crew rerouted via alternate access track.
OUT-0000132,FDR-MKY-0050,REG-MKY,,2025-11-06T12:31,2025-11-06T17:09,278,68,0,vegetation,37.58,0.1352,68,Storm cell passed through feeder.
OUT-0000133,FDR-TSV-0072,REG-TSV,AST-TSV-POL-003790,2025-03-26T20:22,2025-03-26T22:38,136,1236,8,flood,143.67,1.0564,78,Lightning strike at substation transformer.
OUT-0000134,FDR-TSV-0082,REG-TSV,AST-TSV-SWI-004454,2026-02-24T12:02,2026-02-24T15:05,183,453,13,lightning,49.55,0.2708,72,Switched to alternate feeder during restoration.
OUT-0000135,FDR-TSV-0067,REG-TSV,AST-TSV-POL-003485,2024-09-29T20:19,2024-09-29T22:43,144,21,1,storm,4.36,0.0303,124,Vegetation contact confirmed at span.
OUT-0000136,FDR-MKY-0063,REG-MKY,,2024-03-07T07:55,2024-03-07T10:21,146,323,5,vegetation,49.33,0.3379,53,Lightning strike at substation transformer.
OUT-0000137,FDR-TSV-0075,REG-TSV,AST-TSV-TRA-003939,2024-10-30T04:13,2024-10-30T06:22,129,110,4,equipment_failure,56.31,0.4365,95,Vegetation contact confirmed at span.
OUT-0000138,FDR-MKY-0046,REG-MKY,,2026-03-11T06:21,2026-03-11T11:56,335,437,7,storm,146.98,0.4388,94,Lightning strike at substation transformer.
OUT-0000139,FDR-CQI-0090,REG-CQI,,2026-01-27T18:25,2026-01-27T22:13,228,585,10,flood,135.82,0.5957,63,Crew rerouted via alternate access track.
OUT-0000140,FDR-SEQ-0008,REG-SEQ,,2025-09-24T15:44,2025-09-24T16:24,40,440,28,vehicle_impact,9.35,0.2338,34,Storm cell passed through feeder.
OUT-0000141,FDR-TSV-0083,REG-TSV,AST-TSV-POL-004502,2025-12-05T12:45,2025-12-05T16:04,199,181,1,vegetation,82.24,0.4132,85,Lightning strike at substation transformer.
OUT-0000142,FDR-TSV-0086,REG-TSV,AST-TSV-POL-004740,2024-05-26T16:35,2024-05-26T20:36,241,572,9,lightning,119.66,0.4965,59,Switched to alternate feeder during restoration.
OUT-0000143,FDR--RW-0123,REG-RW,,2025-09-04T22:30,2025-09-05T05:48,438,102,0,vegetation,100.85,0.2302,154,Vegetation contact confirmed at span.
OUT-0000144,FDR-TSV-0076,REG-TSV,,2026-01-29T15:19,2026-01-29T16:46,87,148,8,storm,10.75,0.1235,63,Storm cell passed through feeder.
OUT-0000145,FDR-MKY-0050,REG-MKY,,2025-12-25T23:00,2025-12-26T01:18,138,112,6,storm,30.73,0.2227,81,Vegetation contact confirmed at span.
OUT-0000146,FDR-MKY-0063,REG-MKY,AST-MKY-REC-003214,2023-09-01T13:34,2023-09-01T18:15,281,390,6,planned,114.63,0.4079,65,Restoration delayed by access issues.
OUT-0000147,FDR-TSV-0068,REG-TSV,AST-TSV-POL-003536,2024-09-09T08:04,2024-09-09T10:10,126,381,7,flood,35.83,0.2843,94,Storm cell passed through feeder.
OUT-0000148,FDR-MKY-0058,REG-MKY,AST-MKY-POL-002958,2024-05-28T19:24,2024-05-28T23:24,240,58,5,flood,16.81,0.07,86,Lightning strike at substation transformer.
OUT-0000149,FDR-TSV-0080,REG-TSV,,2024-03-14T15:46,2024-03-14T19:53,247,267,3,storm,140.62,0.5693,95,Switched to alternate feeder during restoration.
OUT-0000150,FDR-TSV-0074,REG-TSV,AST-TSV-SWI-003918,2025-07-13T03:58,2025-07-13T08:11,253,281,3,vegetation,131.41,0.5194,69,Crew rerouted via alternate access track.
OUT-0000151,FDR-TSV-0086,REG-TSV,AST-TSV-POL-004696,2024-09-07T19:50,2024-09-07T22:55,185,671,6,vegetation,107.76,0.5825,104,Storm cell passed through feeder.
