document_id,asset_id,feeder_id,region_id,document_type,document_title,volume_path,created_date,effective_date,document_summary,sensitivity_classification
DOC-000028,AST-MKY-POL-002497,FDR-MKY-0047,REG-MKY,inspection_report,Inspection Report — AST-MKY-POL-002497,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/inspection_report/DOC-000028.md,2025-11-01T08:05:41,2025-06-28T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0047,internal
DOC-000029,AST--RW-TRA-007468,FDR--RW-0124,REG-RW,photo_pack,Photo Pack — AST--RW-TRA-007468,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/photo_pack/DOC-000029.md,2025-05-12T08:05:41,2026-01-24T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0124,internal
DOC-000030,,FDR--RW-0125,REG-RW,risk_assessment,Risk Assessment — REG-RW,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/risk_assessment/DOC-000030.md,2024-09-21T08:05:41,2026-01-26T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0125,internal
DOC-000031,,FDR-SEQ-0022,REG-SEQ,maintenance_standard,Maintenance Standard — REG-SEQ,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/maintenance_standard/DOC-000031.md,2025-10-10T08:05:41,2025-08-12T08:05:41,Effective date: 2025-08-12 Document id: DOC-000031,restricted
DOC-000032,AST-TSV-POL-004383,FDR-TSV-0081,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-004383,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000032.md,2025-08-09T08:05:41,2025-10-07T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,internal
DOC-000033,AST-SEQ-POL-000958,FDR-SEQ-0017,REG-SEQ,risk_assessment,Risk Assessment — AST-SEQ-POL-000958,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/risk_assessment/DOC-000033.md,2025-01-18T08:05:41,2025-09-07T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0017,restricted
DOC-000034,AST-TSV-CON-003362,FDR-TSV-0066,REG-TSV,work_order_pdf,Work Order Pdf — AST-TSV-CON-003362,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/work_order_pdf/DOC-000034.md,2025-09-03T08:05:41,2025-12-17T08:05:41,Work order id: WO-EX-DOC-000034 Region: Townsville / Cairns Coastal Corridor,internal
DOC-000035,AST--RW-POL-007644,FDR--RW-0125,REG-RW,inspection_report,Inspection Report — AST--RW-POL-007644,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000035.md,2026-03-11T08:05:41,2025-10-29T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0125,restricted
DOC-000036,,FDR-SEQ-0031,REG-SEQ,vegetation_policy,Vegetation Policy — REG-SEQ,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/vegetation_policy/DOC-000036.md,2025-08-17T08:05:41,2025-06-14T08:05:41,Document id: DOC-000036 Effective date: 2025-06-14,internal
DOC-000037,AST-TSV-REC-004420,FDR-TSV-0081,REG-TSV,risk_assessment,Risk Assessment — AST-TSV-REC-004420,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/risk_assessment/DOC-000037.md,2024-09-28T08:05:41,2026-04-06T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,internal
DOC-000038,AST-MKY-POL-003188,FDR-MKY-0062,REG-MKY,inspection_report,Inspection Report — AST-MKY-POL-003188,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/inspection_report/DOC-000038.md,2025-11-16T08:05:41,2025-11-12T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0062,internal
DOC-000039,AST--RW-POL-007290,FDR--RW-0122,REG-RW,inspection_report,Inspection Report — AST--RW-POL-007290,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000039.md,2025-06-26T08:05:41,2025-09-28T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0122,confidential
DOC-000040,AST-MKY-CON-003289,FDR-MKY-0064,REG-MKY,photo_pack,Photo Pack — AST-MKY-CON-003289,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/photo_pack/DOC-000040.md,2025-04-01T08:05:41,2026-02-04T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0064,internal
DOC-000041,,FDR-SEQ-0010,REG-SEQ,storm_response_plan,Storm Response Plan — REG-SEQ,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/storm_response_plan/DOC-000041.md,2025-10-07T08:05:41,2026-02-28T08:05:41,Document id: DOC-000041 Effective date: 2026-02-28,confidential
DOC-000042,AST-TSV-POL-004580,FDR-TSV-0084,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-004580,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000042.md,2026-01-17T08:05:41,2025-09-29T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0084,confidential
DOC-000043,AST-TSV-RIN-003365,FDR-TSV-0066,REG-TSV,inspection_report,Inspection Report — AST-TSV-RIN-003365,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000043.md,2024-08-17T08:05:41,2025-12-02T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,internal
DOC-000044,AST-TSV-POL-004335,FDR-TSV-0081,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-004335,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000044.md,2024-07-15T08:05:41,2026-03-07T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,restricted
DOC-000045,AST-SEQ-CON-000067,FDR-SEQ-0002,REG-SEQ,inspection_report,Inspection Report — AST-SEQ-CON-000067,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/inspection_report/DOC-000045.md,2024-06-13T08:05:41,2025-11-09T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0002,internal
DOC-000046,AST--RW-CON-007521,FDR--RW-0124,REG-RW,inspection_report,Inspection Report — AST--RW-CON-007521,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000046.md,2025-10-05T08:05:41,2025-12-02T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0124,confidential
DOC-000047,AST-TSV-POL-004398,FDR-TSV-0081,REG-TSV,work_order_pdf,Work Order Pdf — AST-TSV-POL-004398,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/work_order_pdf/DOC-000047.md,2024-09-30T08:05:41,2026-02-20T08:05:41,Work order id: WO-EX-DOC-000047 Region: Townsville / Cairns Coastal Corridor,confidential
DOC-000048,AST-MKY-POL-003188,FDR-MKY-0062,REG-MKY,inspection_report,Inspection Report — AST-MKY-POL-003188,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/inspection_report/DOC-000048.md,2026-03-20T08:05:41,2025-11-04T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0062,internal
DOC-000049,AST-MKY-POL-002330,FDR-MKY-0045,REG-MKY,work_order_pdf,Work Order Pdf — AST-MKY-POL-002330,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/work_order_pdf/DOC-000049.md,2025-08-14T08:05:41,2026-05-03T08:05:41,Work order id: WO-EX-DOC-000049 Region: Mackay / Whitsunday Corridor,internal
DOC-000050,AST-TSV-POL-003339,FDR-TSV-0066,REG-TSV,photo_pack,Photo Pack — AST-TSV-POL-003339,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000050.md,2026-05-12T08:05:41,2026-01-20T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,internal
DOC-000051,AST-TSV-TRA-003960,FDR-TSV-0075,REG-TSV,inspection_report,Inspection Report — AST-TSV-TRA-003960,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000051.md,2026-01-03T08:05:41,2026-05-10T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0075,internal
DOC-000052,AST-TSV-POL-003933,FDR-TSV-0075,REG-TSV,work_order_pdf,Work Order Pdf — AST-TSV-POL-003933,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/work_order_pdf/DOC-000052.md,2026-01-14T08:05:41,2026-02-24T08:05:41,Work order id: WO-EX-DOC-000052 Region: Townsville / Cairns Coastal Corridor,internal
DOC-000053,AST-SEQ-POL-000287,FDR-SEQ-0007,REG-SEQ,inspection_report,Inspection Report — AST-SEQ-POL-000287,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/inspection_report/DOC-000053.md,2025-06-10T08:05:41,2025-07-09T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0007,internal
DOC-000054,AST--RW-CON-007521,FDR--RW-0124,REG-RW,inspection_report,Inspection Report — AST--RW-CON-007521,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000054.md,2024-10-30T08:05:41,2025-07-12T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0124,restricted
DOC-000055,AST-TSV-TRA-003960,FDR-TSV-0075,REG-TSV,inspection_report,Inspection Report — AST-TSV-TRA-003960,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000055.md,2025-09-12T08:05:41,2025-11-27T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0075,internal
DOC-000056,AST-CQI-POL-005360,FDR-CQI-0096,REG-CQI,photo_pack,Photo Pack — AST-CQI-POL-005360,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/photo_pack/DOC-000056.md,2024-09-01T08:05:41,2025-12-19T08:05:41,Region: Central Queensland Industrial Belt Feeder: FDR-CQI-0096,internal
DOC-000057,AST-TSV-CON-004157,FDR-TSV-0078,REG-TSV,inspection_report,Inspection Report — AST-TSV-CON-004157,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000057.md,2024-10-12T08:05:41,2026-01-12T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0078,internal
DOC-000058,AST-TSV-POL-004395,FDR-TSV-0081,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-004395,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000058.md,2026-02-23T08:05:41,2025-09-26T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,internal
DOC-000059,AST-MKY-POL-003073,FDR-MKY-0059,REG-MKY,work_order_pdf,Work Order Pdf — AST-MKY-POL-003073,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/work_order_pdf/DOC-000059.md,2024-11-26T08:05:41,2025-08-22T08:05:41,Work order id: WO-EX-DOC-000059 Region: Mackay / Whitsunday Corridor,internal
DOC-000060,AST--RW-SEC-007471,FDR--RW-0124,REG-RW,engineering_drawing,Engineering Drawing — AST--RW-SEC-007471,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/engineering_drawing/DOC-000060.md,2025-07-19T08:05:41,2025-07-20T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0124,restricted
DOC-000061,AST-SEQ-SWI-000932,FDR-SEQ-0017,REG-SEQ,engineering_drawing,Engineering Drawing — AST-SEQ-SWI-000932,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/engineering_drawing/DOC-000061.md,2025-09-03T08:05:41,2026-03-28T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0017,confidential
DOC-000062,AST-MKY-POL-003076,FDR-MKY-0059,REG-MKY,work_order_pdf,Work Order Pdf — AST-MKY-POL-003076,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/work_order_pdf/DOC-000062.md,2024-11-29T08:05:41,2025-06-07T08:05:41,Work order id: WO-EX-DOC-000062 Region: Mackay / Whitsunday Corridor,internal
DOC-000063,AST-MKY-POL-002409,FDR-MKY-0046,REG-MKY,inspection_report,Inspection Report — AST-MKY-POL-002409,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/inspection_report/DOC-000063.md,2025-02-11T08:05:41,2025-06-14T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0046,internal
DOC-000064,AST-CQI-RIN-005235,FDR-CQI-0094,REG-CQI,photo_pack,Photo Pack — AST-CQI-RIN-005235,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/photo_pack/DOC-000064.md,2024-09-23T08:05:41,2025-10-21T08:05:41,Region: Central Queensland Industrial Belt Feeder: FDR-CQI-0094,internal
DOC-000065,AST-TSV-REC-004403,FDR-TSV-0081,REG-TSV,photo_pack,Photo Pack — AST-TSV-REC-004403,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000065.md,2025-09-24T08:05:41,2025-11-13T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,internal
DOC-000066,AST-TSV-POL-003359,FDR-TSV-0066,REG-TSV,engineering_drawing,Engineering Drawing — AST-TSV-POL-003359,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/engineering_drawing/DOC-000066.md,2025-04-05T08:05:41,2026-03-26T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,internal
DOC-000067,,FDR--RW-0109,REG-RW,vegetation_policy,Vegetation Policy — REG-RW,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/vegetation_policy/DOC-000067.md,2025-01-30T08:05:41,2025-11-01T08:05:41,Document id: DOC-000067 Effective date: 2025-11-01,internal
DOC-000068,AST-TSV-POL-004265,FDR-TSV-0079,REG-TSV,photo_pack,Photo Pack — AST-TSV-POL-004265,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000068.md,2026-01-17T08:05:41,2025-11-08T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0079,internal
DOC-000069,AST-CQI-POL-005432,FDR-CQI-0097,REG-CQI,work_order_pdf,Work Order Pdf — AST-CQI-POL-005432,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/work_order_pdf/DOC-000069.md,2024-10-21T08:05:41,2026-03-15T08:05:41,Work order id: WO-EX-DOC-000069 Region: Central Queensland Industrial Belt,internal
DOC-000070,AST-TSV-POL-003378,FDR-TSV-0066,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-003378,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000070.md,2025-08-27T08:05:41,2026-04-26T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,restricted
DOC-000071,AST--RW-TRA-006396,FDR--RW-0111,REG-RW,inspection_report,Inspection Report — AST--RW-TRA-006396,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000071.md,2024-11-03T08:05:41,2025-06-28T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0111,internal
DOC-000072,AST-TSV-TRA-003459,FDR-TSV-0066,REG-TSV,risk_assessment,Risk Assessment — AST-TSV-TRA-003459,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/risk_assessment/DOC-000072.md,2025-07-08T08:05:41,2025-11-04T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,restricted
DOC-000073,AST-CQI-POL-005914,FDR-CQI-0105,REG-CQI,engineering_drawing,Engineering Drawing — AST-CQI-POL-005914,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/engineering_drawing/DOC-000073.md,2025-09-10T08:05:41,2025-07-23T08:05:41,Region: Central Queensland Industrial Belt Feeder: FDR-CQI-0105,restricted
DOC-000074,AST-SEQ-SWI-000522,FDR-SEQ-0010,REG-SEQ,photo_pack,Photo Pack — AST-SEQ-SWI-000522,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/photo_pack/DOC-000074.md,2024-08-06T08:05:41,2026-01-03T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0010,internal
DOC-000075,AST-SEQ-CON-002119,FDR-SEQ-0041,REG-SEQ,engineering_drawing,Engineering Drawing — AST-SEQ-CON-002119,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/engineering_drawing/DOC-000075.md,2024-09-04T08:05:41,2026-05-08T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0041,internal
DOC-000076,AST-TSV-POL-003954,FDR-TSV-0075,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-003954,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000076.md,2026-03-23T08:05:41,2025-07-08T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0075,confidential
DOC-000077,AST-TSV-POL-003401,FDR-TSV-0066,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-003401,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000077.md,2024-07-09T08:05:41,2025-12-04T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,restricted
DOC-000078,AST-TSV-POL-003385,FDR-TSV-0066,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-003385,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000078.md,2026-04-26T08:05:41,2025-10-11T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,internal
DOC-000079,AST-MKY-POL-003290,FDR-MKY-0064,REG-MKY,work_order_pdf,Work Order Pdf — AST-MKY-POL-003290,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/work_order_pdf/DOC-000079.md,2025-10-19T08:05:41,2025-11-27T08:05:41,Work order id: WO-EX-DOC-000079 Region: Mackay / Whitsunday Corridor,internal
DOC-000080,AST-SEQ-POL-000540,FDR-SEQ-0010,REG-SEQ,inspection_report,Inspection Report — AST-SEQ-POL-000540,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/inspection_report/DOC-000080.md,2024-11-21T08:05:41,2025-08-19T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0010,internal
