inspection_id,asset_id,inspection_date,inspection_type,inspector_team,condition_observed,defect_count,photo_count,document_id,recommended_action
INS-0000023,AST-TSV-POL-004044,2026-01-24,routine,Drone Team 2,fair,1,7,,no_action
INS-0000024,AST-TSV-POL-003749,2025-03-08,thermal,Drone Team 1,good,2,6,,no_action
INS-0000025,AST--RW-TRA-007324,2026-03-01,routine,Crew B,good,0,8,,no_action
INS-0000026,AST-SEQ-REC-001522,2025-08-09,routine,Crew B,fair,0,3,,no_action
INS-0000027,AST--RW-POL-006391,2025-09-15,drone,Drone Team 1,fair,2,7,,no_action
INS-0000028,AST-SEQ-POL-000396,2024-11-26,storm_follow_up,Crew C,poor,2,4,,urgent_repair
INS-0000029,AST-TSV-POL-004360,2025-09-09,routine,Crew B,fair,1,6,,no_action
INS-0000030,AST-TSV-TRA-004339,2024-12-30,drone,Crew B,good,0,7,,no_action
INS-0000031,AST--RW-POL-006353,2025-02-17,drone,Drone Team 2,fair,0,2,,no_action
INS-0000032,AST-MKY-POL-002337,2026-05-13,routine,Drone Team 2,good,1,0,,no_action
INS-0000033,AST-CQI-POL-005419,2026-03-28,drone,Crew A,poor,2,1,,schedule_inspection
INS-0000034,AST-SEQ-POL-001585,2024-12-26,thermal,Crew B,good,0,3,,no_action
INS-0000035,AST-SEQ-POL-001215,2025-05-23,drone,Drone Team 1,fair,1,4,,no_action
INS-0000036,AST-MKY-TRA-002606,2025-08-03,vegetation,Drone Team 2,fair,1,2,,no_action
INS-0000037,AST-TSV-POL-004645,2025-01-31,drone,Drone Team 2,good,0,2,,no_action
INS-0000038,AST-MKY-POL-003206,2025-11-05,routine,Drone Team 1,fair,2,3,,monitor
INS-0000039,AST-CQI-POL-005169,2025-11-10,routine,Crew A,good,3,1,,no_action
INS-0000040,AST-MKY-SWI-003001,2025-02-28,routine,Drone Team 2,poor,1,5,,urgent_repair
INS-0000041,AST-TSV-TRA-003877,2025-03-01,routine,Drone Team 1,good,3,8,,no_action
INS-0000042,AST-CQI-POL-005866,2024-12-02,routine,Crew C,fair,1,4,,no_action
INS-0000043,AST-SEQ-POL-000924,2025-09-18,drone,Crew C,good,2,5,,no_action
INS-0000044,AST-MKY-POL-002357,2024-12-27,pole_test,Crew C,good,2,3,,no_action
INS-0000045,AST--RW-POL-007580,2025-01-22,thermal,Crew B,fair,4,6,,schedule_repair
INS-0000046,AST-TSV-CON-004341,2025-11-25,storm_follow_up,Crew A,very_poor,4,1,,schedule_inspection
INS-0000047,AST-MKY-TRA-002477,2024-12-24,routine,Drone Team 1,good,1,3,,no_action
INS-0000048,AST-SEQ-SEC-001979,2025-11-15,routine,Crew A,good,0,0,,no_action
INS-0000049,AST--RW-POL-006663,2025-10-11,storm_follow_up,Crew A,good,2,6,,schedule_repair
INS-0000050,AST-CQI-REC-005091,2026-03-17,routine,Crew C,good,1,8,,no_action
INS-0000051,AST-TSV-POL-003692,2025-06-18,routine,Drone Team 2,good,1,8,,no_action
INS-0000052,AST-MKY-POL-002802,2025-02-10,thermal,Drone Team 2,very_poor,2,3,,schedule_inspection
INS-0000053,AST-MKY-POL-002378,2025-09-02,storm_follow_up,Crew A,fair,1,3,,no_action
INS-0000054,AST-SEQ-POL-001601,2025-03-14,drone,Drone Team 1,good,2,5,,urgent_repair
INS-0000055,AST-TSV-POL-003755,2026-02-18,pole_test,Crew B,fair,3,3,,urgent_repair
INS-0000056,AST-CQI-TRA-005966,2024-12-17,vegetation,Crew B,fair,2,1,,no_action
INS-0000057,AST-SEQ-POL-002057,2025-05-20,drone,Crew C,good,2,2,,no_action
INS-0000058,AST-TSV-POL-004404,2026-01-12,storm_follow_up,Crew B,very_poor,5,8,,urgent_repair
INS-0000059,AST-SEQ-POL-001147,2025-08-13,routine,Crew C,fair,0,0,,no_action
INS-0000060,AST-SEQ-TRA-000076,2025-10-23,routine,Drone Team 1,good,2,4,,no_action
INS-0000061,AST--RW-POL-007432,2026-04-03,routine,Drone Team 2,fair,0,8,,no_action
INS-0000062,AST--RW-POL-006571,2025-10-28,vegetation,Crew B,fair,1,8,,no_action
INS-0000063,AST-CQI-TRA-005495,2025-06-17,routine,Drone Team 2,good,1,0,,no_action
INS-0000064,AST-TSV-POL-003611,2025-08-31,routine,Crew C,fair,0,5,,no_action
INS-0000065,AST-SEQ-POL-000149,2025-08-16,drone,Crew A,fair,2,5,,schedule_repair
INS-0000066,AST-TSV-POL-004771,2025-04-19,routine,Crew C,good,2,5,,schedule_repair
INS-0000067,AST--RW-POL-007393,2025-03-17,storm_follow_up,Drone Team 1,good,1,2,,monitor
INS-0000068,AST-TSV-TRA-003538,2026-04-27,routine,Crew A,fair,0,6,,no_action
INS-0000069,AST--RW-POL-007331,2024-12-25,drone,Crew C,fair,2,5,,no_action
INS-0000070,AST--RW-POL-006459,2026-02-05,drone,Crew A,fair,1,5,,no_action
INS-0000071,AST--RW-TRA-007572,2025-10-11,routine,Crew C,very_poor,2,5,,schedule_repair
INS-0000072,AST-TSV-POL-004553,2025-04-22,thermal,Drone Team 1,good,1,1,,no_action
INS-0000073,AST-SEQ-POL-002015,2026-02-21,storm_follow_up,Crew B,fair,1,8,,no_action
INS-0000074,AST-CQI-POL-005566,2025-05-24,drone,Drone Team 2,fair,0,1,,no_action
INS-0000075,AST--RW-TRA-006700,2025-05-14,routine,Drone Team 1,fair,5,2,,monitor
INS-0000076,AST-TSV-POL-003577,2026-03-03,storm_follow_up,Crew A,fair,1,6,,no_action
INS-0000077,AST--RW-TRA-007500,2026-02-18,drone,Crew B,fair,2,5,,schedule_repair
INS-0000078,AST-CQI-POL-006068,2025-01-27,routine,Drone Team 2,good,6,3,,no_action
INS-0000079,AST-SEQ-POL-001472,2025-06-13,pole_test,Crew B,good,0,4,,no_action
INS-0000080,AST-CQI-POL-005460,2024-12-23,thermal,Crew C,good,4,0,,no_action
INS-0000081,AST-TSV-POL-003369,2025-10-14,routine,Crew A,good,2,5,,no_action
INS-0000082,AST--RW-POL-006747,2025-01-22,storm_follow_up,Drone Team 1,poor,2,5,,schedule_repair
INS-0000083,AST-TSV-POL-003977,2026-01-02,drone,Drone Team 2,very_poor,4,1,,schedule_inspection
INS-0000084,AST-SEQ-POL-000543,2025-03-03,routine,Crew B,fair,3,4,,no_action
INS-0000085,AST-SEQ-POL-001503,2024-12-13,routine,Crew B,good,1,3,,no_action
INS-0000086,AST-TSV-CON-004152,2026-05-01,thermal,Drone Team 2,fair,1,8,,no_action
INS-0000087,AST-MKY-TRA-003279,2025-10-03,thermal,Drone Team 2,very_poor,1,5,,monitor
INS-0000088,AST-SEQ-POL-001947,2025-05-05,routine,Crew A,fair,3,2,,no_action
INS-0000089,AST-TSV-TRA-003507,2025-11-15,thermal,Drone Team 2,good,0,1,,no_action
INS-0000090,AST--RW-POL-007683,2025-11-27,routine,Crew C,good,2,5,,schedule_inspection
INS-0000091,AST-MKY-POL-003191,2025-08-18,thermal,Drone Team 1,good,5,8,,monitor
INS-0000092,AST-TSV-TRA-003507,2025-05-03,routine,Crew A,fair,0,2,,no_action
INS-0000093,AST--RW-RIN-006490,2025-10-24,routine,Crew C,fair,0,2,,no_action
INS-0000094,AST-TSV-POL-003387,2025-02-19,thermal,Crew B,good,2,6,,no_action
INS-0000095,AST-SEQ-POL-001296,2025-05-15,storm_follow_up,Drone Team 2,very_poor,4,3,,urgent_repair
INS-0000096,AST-SEQ-RIN-001198,2025-10-03,drone,Crew B,fair,3,0,,no_action
INS-0000097,AST-CQI-POL-006085,2026-04-17,routine,Crew B,fair,2,5,,monitor
INS-0000098,AST-TSV-POL-003868,2025-05-22,drone,Drone Team 2,good,2,5,,no_action
INS-0000099,AST-CQI-RIN-005056,2024-11-27,routine,Drone Team 1,fair,1,2,,no_action
INS-0000100,AST-CQI-TRA-006049,2025-12-12,vegetation,Crew C,poor,1,5,,schedule_inspection
INS-0000101,AST-SEQ-REC-001391,2025-10-11,routine,Crew B,fair,1,7,,schedule_repair
INS-0000102,AST--RW-CON-007389,2026-02-03,routine,Drone Team 2,good,0,4,,no_action
INS-0000103,AST--RW-SWI-006563,2025-08-20,pole_test,Crew A,fair,4,5,,schedule_inspection
INS-0000104,AST--RW-POL-007949,2025-02-17,routine,Crew A,good,0,2,,no_action
INS-0000105,AST--RW-POL-007132,2025-08-13,routine,Drone Team 1,good,3,4,,urgent_repair
INS-0000106,AST--RW-SWI-006142,2025-10-20,routine,Crew B,good,1,4,,no_action
INS-0000107,AST-SEQ-POL-001293,2025-06-03,routine,Crew B,good,2,7,,no_action
INS-0000108,AST-TSV-POL-003429,2025-10-18,routine,Crew B,good,2,3,,no_action
INS-0000109,AST--RW-POL-007811,2026-01-29,vegetation,Crew B,fair,0,6,,no_action
INS-0000110,AST-CQI-SWI-006004,2026-04-08,routine,Crew C,fair,2,5,,no_action
INS-0000111,AST-CQI-TRA-004896,2025-08-03,routine,Drone Team 2,poor,2,5,,schedule_repair
INS-0000112,AST-TSV-SEC-004826,2025-12-11,thermal,Drone Team 1,fair,0,3,,no_action
INS-0000113,AST--RW-POL-006877,2025-12-30,routine,Drone Team 2,good,2,6,,no_action
INS-0000114,AST-TSV-POL-004614,2025-07-30,routine,Crew B,good,0,2,,no_action
INS-0000115,AST-SEQ-POL-000910,2025-11-26,routine,Crew A,fair,0,1,,no_action
INS-0000116,AST-MKY-POL-002418,2026-01-20,routine,Drone Team 1,very_poor,1,8,,urgent_repair
INS-0000117,AST-CQI-SWI-005520,2026-01-23,drone,Drone Team 2,fair,2,4,,no_action
INS-0000118,AST-TSV-POL-003648,2026-02-04,routine,Drone Team 2,good,0,6,,no_action
INS-0000119,AST--RW-TRA-006568,2026-01-11,routine,Drone Team 2,very_poor,6,7,,urgent_repair
INS-0000120,AST-SEQ-POL-000645,2026-04-15,pole_test,Drone Team 1,fair,1,6,,no_action
INS-0000121,AST-TSV-POL-004260,2024-11-29,thermal,Drone Team 2,fair,4,5,,urgent_repair
INS-0000122,AST-SEQ-POL-000214,2026-02-27,routine,Drone Team 1,good,0,7,,no_action
INS-0000123,AST-TSV-POL-003935,2025-05-24,pole_test,Crew C,fair,1,2,,monitor
INS-0000124,AST-CQI-RIN-005561,2024-12-29,routine,Drone Team 1,good,1,5,,no_action
INS-0000125,AST--RW-SEC-006360,2025-12-30,routine,Crew C,good,0,2,,no_action
INS-0000126,AST--RW-POL-006283,2025-02-17,routine,Crew C,very_poor,1,8,,schedule_inspection
INS-0000127,AST-MKY-POL-002991,2026-02-11,pole_test,Crew B,good,3,1,,monitor
INS-0000128,AST-SEQ-POL-000140,2025-06-16,thermal,Drone Team 2,fair,1,3,,schedule_inspection
INS-0000129,AST--RW-POL-007194,2025-05-19,routine,Crew C,good,1,2,,monitor
INS-0000130,AST-SEQ-CON-000449,2024-12-21,routine,Drone Team 1,good,1,0,,no_action
INS-0000131,AST-TSV-POL-003689,2026-03-28,routine,Drone Team 2,poor,1,5,,schedule_repair
INS-0000132,AST-CQI-POL-005300,2025-12-22,vegetation,Crew C,fair,3,7,,no_action
INS-0000133,AST-MKY-SWI-002957,2025-06-25,storm_follow_up,Drone Team 1,poor,5,2,,urgent_repair
INS-0000134,AST--RW-TRA-007972,2026-03-27,drone,Crew B,fair,0,1,,no_action
INS-0000135,AST-TSV-POL-003847,2025-08-18,routine,Crew B,poor,2,6,,urgent_repair
INS-0000136,AST-SEQ-REC-001184,2025-09-21,routine,Crew C,fair,3,6,,no_action
INS-0000137,AST--RW-SEC-006215,2025-12-24,routine,Drone Team 1,fair,2,4,,no_action
INS-0000138,AST--RW-POL-006792,2025-05-16,drone,Crew B,poor,6,4,,urgent_repair
INS-0000139,AST--RW-POL-007513,2025-08-21,routine,Drone Team 1,good,1,7,,no_action
INS-0000140,AST--RW-POL-007430,2025-05-08,vegetation,Crew A,very_poor,2,8,,schedule_inspection
INS-0000141,AST--RW-SWI-007082,2025-01-16,routine,Crew C,very_poor,4,0,,monitor
INS-0000142,AST-SEQ-POL-000747,2025-06-13,routine,Crew C,fair,3,1,,no_action
INS-0000143,AST-SEQ-POL-001151,2025-08-28,routine,Crew A,poor,4,0,,monitor
INS-0000144,AST-TSV-SEC-003708,2025-02-28,routine,Crew A,good,2,2,,no_action
INS-0000145,AST-MKY-POL-002196,2026-01-07,routine,Drone Team 1,good,1,1,,no_action
INS-0000146,AST--RW-CON-007028,2025-05-12,routine,Drone Team 2,good,3,2,,schedule_repair
INS-0000147,AST--RW-TRA-007188,2025-10-02,pole_test,Crew C,good,0,5,,no_action
INS-0000148,AST-MKY-TRA-002509,2025-03-02,drone,Crew C,good,1,2,,urgent_repair
INS-0000149,AST-TSV-POL-004392,2025-10-19,drone,Crew B,fair,3,2,,schedule_repair
INS-0000150,AST-MKY-POL-002516,2025-04-30,routine,Drone Team 1,good,1,1,,no_action
INS-0000151,AST-SEQ-POL-000586,2025-05-06,routine,Drone Team 2,very_poor,4,5,,urgent_repair
INS-0000152,AST-SEQ-POL-001594,2026-03-09,drone,Crew C,good,2,4,,no_action
INS-0000153,AST-MKY-POL-002557,2025-08-23,thermal,Drone Team 1,very_poor,2,4,,schedule_inspection
INS-0000154,AST-TSV-SWI-003319,2024-11-26,thermal,Drone Team 2,fair,1,8,,no_action
INS-0000155,AST-TSV-TRA-004102,2025-01-13,thermal,Crew A,fair,3,8,,no_action
INS-0000156,AST--RW-POL-006562,2025-02-10,thermal,Drone Team 2,fair,1,5,,no_action
INS-0000157,AST-SEQ-POL-000843,2026-03-11,routine,Crew B,fair,4,2,,schedule_inspection
INS-0000158,AST--RW-TRA-007415,2025-05-02,pole_test,Drone Team 1,good,2,8,,monitor
INS-0000159,AST-MKY-POL-002429,2026-01-21,routine,Crew C,good,0,6,,no_action
INS-0000160,AST-CQI-POL-005654,2026-03-10,routine,Crew A,good,1,3,,no_action
INS-0000161,AST-TSV-POL-004510,2025-10-01,drone,Drone Team 1,fair,3,3,,urgent_repair
INS-0000162,AST-MKY-POL-002840,2025-03-25,pole_test,Crew A,good,0,7,,no_action
INS-0000163,AST-SEQ-POL-000593,2025-10-02,routine,Drone Team 1,fair,0,3,,no_action
INS-0000164,AST--RW-POL-007040,2025-04-11,routine,Crew C,very_poor,4,6,,schedule_inspection
INS-0000165,AST-MKY-POL-002543,2026-05-01,thermal,Crew B,good,2,0,,no_action
INS-0000166,AST-CQI-POL-005820,2026-03-15,pole_test,Crew A,fair,0,3,,no_action
INS-0000167,AST-CQI-POL-005454,2026-03-12,drone,Drone Team 2,poor,5,0,,schedule_repair
INS-0000168,AST-MKY-POL-002646,2026-03-26,thermal,Crew C,fair,3,0,,no_action
INS-0000169,AST-SEQ-POL-002039,2026-01-31,storm_follow_up,Crew B,poor,4,6,,monitor
INS-0000170,AST-CQI-POL-005159,2026-04-21,drone,Drone Team 2,fair,2,2,,no_action
INS-0000171,AST-TSV-POL-004041,2024-12-08,drone,Drone Team 2,fair,1,8,,monitor
INS-0000172,AST-SEQ-TRA-001024,2026-03-18,drone,Crew C,good,2,4,,no_action
INS-0000173,AST-MKY-TRA-002830,2026-01-30,routine,Crew C,fair,1,7,,schedule_repair
INS-0000174,AST-SEQ-POL-001776,2025-04-05,pole_test,Crew C,good,1,2,,no_action
INS-0000175,AST-CQI-REC-005543,2025-07-11,routine,Crew C,poor,4,4,,schedule_repair
INS-0000176,AST-TSV-POL-004246,2025-07-07,drone,Drone Team 2,good,2,0,,no_action
INS-0000177,AST-SEQ-POL-000824,2025-11-09,routine,Drone Team 1,fair,1,2,,monitor
INS-0000178,AST-SEQ-TRA-000327,2025-11-21,vegetation,Crew B,fair,0,6,,no_action
INS-0000179,AST--RW-TRA-007341,2025-08-29,routine,Drone Team 2,fair,2,8,,no_action
INS-0000180,AST-TSV-POL-004566,2025-12-14,storm_follow_up,Crew C,poor,4,6,,schedule_repair
INS-0000181,AST-CQI-POL-005418,2025-01-17,routine,Crew B,good,1,5,,urgent_repair
INS-0000182,AST--RW-POL-007206,2025-06-18,routine,Crew A,fair,2,7,,schedule_inspection
INS-0000183,AST--RW-SEC-006784,2025-03-18,routine,Drone Team 1,good,3,4,,urgent_repair
INS-0000184,AST-CQI-CON-005194,2026-03-04,pole_test,Crew A,poor,1,8,,schedule_repair
INS-0000185,AST-MKY-POL-002671,2025-07-11,vegetation,Crew A,fair,2,6,,no_action
INS-0000186,AST-SEQ-POL-000215,2025-05-19,thermal,Crew B,fair,2,8,,no_action
INS-0000187,AST-TSV-POL-004491,2025-05-15,drone,Crew B,good,0,0,,no_action
INS-0000188,AST-TSV-REC-004743,2025-04-08,routine,Crew B,fair,3,2,,schedule_repair
INS-0000189,AST--RW-POL-007478,2025-01-17,storm_follow_up,Crew C,good,5,5,,schedule_inspection
INS-0000190,AST--RW-TRA-007871,2025-11-22,drone,Crew C,good,2,1,,no_action
INS-0000191,AST-SEQ-POL-001375,2025-07-19,thermal,Crew B,good,3,3,,schedule_repair
INS-0000192,AST-MKY-POL-002722,2025-02-21,routine,Crew A,good,1,6,,no_action
INS-0000193,AST-MKY-REC-002867,2025-11-04,vegetation,Drone Team 2,poor,4,8,,schedule_inspection
INS-0000194,AST--RW-POL-006761,2026-05-04,thermal,Crew C,fair,0,0,,no_action
INS-0000195,AST-SEQ-POL-002093,2025-05-20,routine,Crew B,good,0,5,,no_action
INS-0000196,AST-TSV-POL-003408,2025-07-05,routine,Crew C,fair,2,8,,urgent_repair
INS-0000197,AST--RW-POL-007775,2025-12-24,pole_test,Crew A,good,1,5,,no_action
INS-0000198,AST-TSV-POL-004724,2025-04-18,storm_follow_up,Crew A,good,1,8,,no_action
INS-0000199,AST-MKY-TRA-003168,2025-05-15,drone,Drone Team 1,poor,5,1,,schedule_inspection
INS-0000200,AST-SEQ-POL-001981,2024-12-13,storm_follow_up,Crew A,good,3,5,,schedule_repair
INS-0000201,AST-SEQ-POL-000013,2025-10-12,routine,Crew B,fair,1,1,,no_action
INS-0000202,AST--RW-POL-007696,2026-01-15,thermal,Crew B,fair,0,2,,no_action
INS-0000203,AST-CQI-POL-005515,2026-04-06,routine,Crew C,good,3,7,,no_action
INS-0000204,AST-TSV-POL-003976,2026-02-21,thermal,Drone Team 1,fair,2,2,,monitor
INS-0000205,AST-CQI-POL-005213,2026-03-24,routine,Drone Team 1,fair,1,5,,no_action
INS-0000206,AST-CQI-POL-005503,2026-01-13,vegetation,Crew B,good,2,0,,no_action
INS-0000207,AST--RW-RIN-006173,2025-06-23,routine,Crew A,fair,0,7,,no_action
INS-0000208,AST-TSV-RIN-004825,2025-11-09,drone,Crew B,fair,0,6,,no_action
INS-0000209,AST-SEQ-POL-000156,2026-01-25,routine,Drone Team 2,poor,1,8,,schedule_inspection
INS-0000210,AST-MKY-POL-002777,2026-01-08,routine,Crew C,good,3,0,,no_action
INS-0000211,AST-SEQ-POL-002094,2026-02-23,drone,Drone Team 2,very_poor,1,5,,schedule_repair
INS-0000212,AST-SEQ-POL-001161,2025-01-17,vegetation,Drone Team 2,fair,2,8,,no_action
INS-0000213,AST-TSV-TRA-003920,2025-09-10,drone,Crew C,good,0,4,,no_action
INS-0000214,AST--RW-POL-006766,2025-10-09,vegetation,Drone Team 1,very_poor,2,6,,monitor
INS-0000215,AST--RW-TRA-006986,2025-09-25,pole_test,Crew C,fair,2,4,,no_action
INS-0000216,AST--RW-RIN-006331,2025-01-11,routine,Drone Team 1,good,2,0,,no_action
INS-0000217,AST-TSV-SEC-004577,2025-01-25,routine,Crew C,good,2,6,,monitor
INS-0000218,AST-SEQ-POL-000878,2026-04-18,drone,Drone Team 2,fair,1,4,,no_action
INS-0000219,AST-TSV-POL-004257,2025-04-10,routine,Crew B,fair,0,6,,no_action
INS-0000220,AST-CQI-RIN-005922,2025-10-21,routine,Crew A,fair,0,6,,no_action
INS-0000221,AST-MKY-POL-002434,2025-08-20,routine,Drone Team 2,good,1,5,,urgent_repair
INS-0000222,AST-TSV-POL-004423,2025-02-12,thermal,Crew A,good,1,2,,no_action
INS-0000223,AST-CQI-TRA-005835,2025-07-20,storm_follow_up,Crew A,fair,1,6,,no_action
INS-0000224,AST-TSV-POL-004861,2025-05-16,routine,Crew A,good,0,1,,no_action
INS-0000225,AST-CQI-POL-005427,2025-06-18,vegetation,Crew B,fair,1,3,,schedule_inspection
INS-0000226,AST--RW-POL-007478,2025-05-13,pole_test,Crew C,poor,3,5,,schedule_repair
INS-0000227,AST-TSV-POL-004098,2025-02-26,pole_test,Drone Team 2,good,2,3,,urgent_repair
INS-0000228,AST-SEQ-POL-001702,2025-04-15,routine,Drone Team 2,fair,1,1,,no_action
INS-0000229,AST-SEQ-POL-000331,2025-07-01,routine,Crew B,fair,0,1,,no_action
INS-0000230,AST-SEQ-POL-001328,2025-08-04,routine,Crew B,poor,2,1,,schedule_inspection
INS-0000231,AST-SEQ-TRA-000673,2025-08-16,pole_test,Crew C,good,3,1,,urgent_repair
INS-0000232,AST-TSV-POL-004689,2025-03-21,routine,Drone Team 2,good,0,6,,no_action
INS-0000233,AST-TSV-SEC-003326,2025-03-16,drone,Crew B,fair,2,8,,no_action
INS-0000234,AST-SEQ-POL-001734,2025-12-12,drone,Crew B,good,0,0,,no_action
INS-0000235,AST-CQI-POL-005965,2025-02-16,routine,Crew C,fair,0,5,,no_action
INS-0000236,AST-SEQ-POL-000328,2025-05-15,routine,Crew A,fair,0,6,,no_action
INS-0000237,AST--RW-POL-007539,2025-07-28,drone,Crew C,poor,1,0,,schedule_inspection
INS-0000238,AST-TSV-TRA-004220,2026-05-13,drone,Drone Team 2,poor,7,2,,schedule_repair
INS-0000239,AST-SEQ-POL-000519,2025-08-18,routine,Crew B,good,3,0,,no_action
INS-0000240,AST-SEQ-POL-002109,2026-05-05,drone,Crew B,good,0,4,,no_action
INS-0000241,AST--RW-RIN-007595,2025-06-24,routine,Crew A,fair,1,6,,no_action
INS-0000242,AST-SEQ-POL-001379,2025-07-31,routine,Crew A,good,3,2,,schedule_inspection
INS-0000243,AST-TSV-POL-004035,2025-10-03,routine,Crew B,fair,1,6,,no_action
INS-0000244,AST-TSV-POL-003868,2025-11-29,routine,Drone Team 1,fair,0,7,,no_action
INS-0000245,AST-SEQ-POL-001238,2025-05-21,routine,Crew B,good,1,6,,no_action
INS-0000246,AST-SEQ-CON-001543,2026-02-22,routine,Drone Team 2,good,3,4,,no_action
INS-0000247,AST--RW-CON-007892,2025-02-25,routine,Drone Team 2,fair,2,0,,no_action
INS-0000248,AST-SEQ-POL-000543,2025-04-17,storm_follow_up,Crew C,fair,0,4,,no_action
INS-0000249,AST-MKY-POL-002424,2025-01-12,vegetation,Drone Team 1,fair,1,0,,no_action
INS-0000250,AST-TSV-SWI-003534,2025-02-12,storm_follow_up,Crew B,fair,1,6,,no_action
INS-0000251,AST-SEQ-POL-001255,2025-03-11,storm_follow_up,Crew C,good,2,7,,no_action
INS-0000252,AST-CQI-POL-005279,2025-08-22,pole_test,Drone Team 2,good,3,7,,no_action
INS-0000253,AST--RW-POL-006333,2026-05-09,pole_test,Drone Team 2,fair,0,8,,no_action
INS-0000254,AST-TSV-POL-004061,2025-12-09,routine,Drone Team 1,good,1,4,,no_action
INS-0000255,AST-MKY-SWI-002849,2025-09-04,thermal,Drone Team 2,fair,3,3,,no_action
INS-0000256,AST-SEQ-TRA-001333,2025-10-27,vegetation,Drone Team 1,good,4,3,,no_action
INS-0000257,AST--RW-POL-007512,2024-12-15,routine,Drone Team 2,fair,3,0,,no_action
INS-0000258,AST--RW-POL-007520,2026-02-08,routine,Crew B,very_poor,4,0,,urgent_repair
INS-0000259,AST-TSV-CON-004088,2024-12-06,routine,Drone Team 2,good,1,1,,no_action
INS-0000260,AST-MKY-POL-003023,2025-12-19,drone,Drone Team 2,fair,2,4,,schedule_inspection
INS-0000261,AST-CQI-POL-006036,2025-05-16,thermal,Drone Team 1,good,1,0,,no_action
INS-0000262,AST-CQI-CON-005951,2025-08-24,routine,Crew B,fair,1,8,,no_action
INS-0000263,AST-TSV-POL-003450,2026-01-04,vegetation,Crew C,good,3,2,,schedule_repair
INS-0000264,AST-MKY-POL-003033,2026-05-15,routine,Crew A,good,1,5,,no_action
INS-0000265,AST-SEQ-POL-001668,2025-01-12,drone,Crew B,good,2,7,,schedule_inspection
INS-0000266,AST-CQI-POL-005531,2026-05-14,pole_test,Crew B,fair,0,6,,no_action
INS-0000267,AST-TSV-POL-003998,2026-04-27,drone,Crew A,good,1,3,,no_action
INS-0000268,AST-MKY-TRA-002702,2025-03-15,routine,Drone Team 2,fair,3,2,,no_action
INS-0000269,AST-CQI-POL-005652,2026-01-05,routine,Crew A,good,1,7,,no_action
INS-0000270,AST-MKY-REC-003207,2025-10-17,storm_follow_up,Crew C,good,2,4,,urgent_repair
INS-0000271,AST-MKY-TRA-002963,2025-04-01,pole_test,Crew B,fair,5,1,,monitor
INS-0000272,AST-CQI-POL-005853,2025-07-18,drone,Crew B,good,2,7,,schedule_repair
INS-0000273,AST-TSV-TRA-004373,2026-05-04,thermal,Drone Team 2,good,3,3,,monitor
INS-0000274,AST-SEQ-POL-002067,2024-12-04,vegetation,Drone Team 1,very_poor,3,6,,schedule_repair
INS-0000275,AST-TSV-POL-004338,2025-05-07,thermal,Crew A,very_poor,2,3,,urgent_repair
INS-0000276,AST-TSV-POL-003570,2024-11-27,routine,Drone Team 1,good,1,0,,no_action
INS-0000277,AST-CQI-POL-005591,2025-09-16,drone,Crew A,good,1,3,,no_action
