asset_id,condition_score,failure_probability_12m,failure_probability_36m,health_band,risk_score,risk_band,risk_drivers,last_scored_at
AST-SEQ-TRA-000091,92.3,0.0081,0.023,good,17.1,low,,2026-05-16
AST-SEQ-POL-000092,89.8,0.0199,0.0449,good,21.9,low,,2026-05-05
AST-SEQ-POL-000093,69.7,0.0546,0.1252,watch,36.9,medium,age,2026-05-08
AST-SEQ-POL-000094,64.0,0.0346,0.0753,watch,31.3,medium,criticality,2026-05-13
AST-SEQ-SEC-000095,78.5,0.0594,0.1241,good,38.1,medium,,2026-05-08
AST-SEQ-SEC-000096,81.9,0.0042,0.011,good,17.6,low,,2026-05-12
AST-SEQ-REC-000097,64.6,0.0432,0.1209,watch,43.1,medium,age,2026-05-16
AST-SEQ-POL-000098,45.6,0.0515,0.1569,poor,40.3,medium,age|criticality,2026-05-06
AST-SEQ-POL-000099,75.3,0.0133,0.0418,watch,30.6,low,,2026-05-17
AST-SEQ-TRA-000100,76.8,0.0076,0.0171,good,29.3,low,age,2026-05-07
AST-SEQ-POL-000101,72.2,0.0096,0.0268,watch,29.0,low,,2026-05-13
AST-SEQ-TRA-000102,85.5,0.0444,0.1082,good,32.0,medium,,2026-05-12
AST-SEQ-SEC-000103,51.5,0.0268,0.0815,poor,43.2,medium,age,2026-05-04
AST-SEQ-POL-000104,81.6,0.0268,0.0538,good,35.3,medium,criticality,2026-05-06
AST-SEQ-POL-000105,70.5,0.0161,0.0351,watch,25.7,low,age,2026-05-09
AST-SEQ-POL-000106,62.0,0.0236,0.0541,watch,35.4,medium,age,2026-05-13
AST-SEQ-CON-000107,85.3,0.0164,0.037,good,22.9,low,,2026-05-11
AST-SEQ-POL-000108,78.4,0.014,0.0353,good,24.2,low,,2026-05-07
AST-SEQ-POL-000109,61.9,0.0414,0.1037,watch,41.7,medium,age|criticality,2026-05-16
AST-SEQ-POL-000110,90.6,0.0076,0.0163,good,19.6,low,criticality,2026-05-16
AST-SEQ-POL-000111,68.2,0.0238,0.0681,watch,41.9,medium,age,2026-05-15
AST-SEQ-POL-000112,67.3,0.023,0.0629,watch,35.1,medium,age|criticality,2026-05-07
AST-SEQ-POL-000113,54.3,0.0476,0.1273,poor,41.6,medium,age,2026-05-15
AST-SEQ-POL-000114,66.5,0.0451,0.1295,watch,32.2,medium,age,2026-05-14
AST-SEQ-SWI-000115,90.3,0.0098,0.0196,good,20.1,low,,2026-05-03
AST-SEQ-POL-000116,59.4,0.0058,0.0149,watch,26.1,low,age,2026-05-10
AST-SEQ-SWI-000117,86.8,0.0444,0.1019,good,32.0,medium,criticality,2026-05-16
AST-SEQ-REC-000118,64.3,0.0344,0.1088,watch,47.4,medium,age,2026-05-04
AST-SEQ-POL-000119,80.6,0.0524,0.1571,good,32.6,medium,criticality,2026-05-14
AST-SEQ-POL-000120,49.0,0.0301,0.0805,poor,46.2,medium,age,2026-05-06
AST-SEQ-TRA-000121,96.9,0.0175,0.0455,good,15.4,low,criticality,2026-05-03
AST-SEQ-SEC-000122,78.3,0.0045,0.012,good,29.0,low,,2026-05-06
AST-SEQ-POL-000123,62.2,0.029,0.0628,watch,41.1,medium,age,2026-05-09
AST-SEQ-POL-000124,84.6,0.0069,0.0175,good,24.6,low,criticality,2026-05-05
AST-SEQ-POL-000125,58.3,0.0519,0.1377,watch,38.4,medium,age,2026-05-05
AST-SEQ-POL-000126,78.5,0.0435,0.1047,good,31.5,medium,criticality,2026-05-07
AST-SEQ-POL-000127,71.4,0.0175,0.0352,watch,29.1,low,criticality,2026-05-12
AST-SEQ-POL-000128,91.3,0.0082,0.0174,good,19.9,low,criticality,2026-05-06
AST-SEQ-POL-000129,71.5,0.018,0.0482,watch,27.4,low,criticality,2026-05-14
AST-SEQ-POL-000130,80.6,0.0129,0.0288,good,22.8,low,,2026-05-14
AST-SEQ-POL-000131,98.4,0.0126,0.0342,good,14.3,low,,2026-05-07
AST-SEQ-POL-000132,89.5,0.0136,0.031,good,22.8,low,,2026-05-07
AST-SEQ-POL-000133,90.1,0.0067,0.0137,good,21.1,low,criticality,2026-05-13
AST-SEQ-POL-000134,78.8,0.0111,0.0269,good,23.7,low,,2026-05-03
AST-SEQ-POL-000135,79.0,0.0065,0.0207,good,28.2,low,,2026-05-08
AST-SEQ-POL-000136,81.8,0.0047,0.015,good,24.2,low,criticality,2026-05-17
AST-SEQ-POL-000137,81.0,0.0182,0.0466,good,23.7,low,,2026-05-03
AST-SEQ-SEC-000138,83.9,0.0225,0.0707,good,33.0,medium,,2026-05-14
AST-SEQ-POL-000139,74.9,0.0157,0.0419,watch,28.7,low,,2026-05-15
AST-SEQ-POL-000140,99,0.0165,0.0408,good,19.6,low,,2026-05-08
AST-SEQ-POL-000141,62.8,0.0543,0.1374,watch,39.1,medium,age,2026-05-04
AST-SEQ-POL-000142,55.4,0.0458,0.1461,poor,43.3,medium,age|criticality,2026-05-16
AST-SEQ-POL-000143,64.1,0.0481,0.1376,watch,44.2,medium,age|criticality,2026-05-05
AST-SEQ-POL-000144,80.1,0.0063,0.0155,good,22.3,low,,2026-05-04
AST-SEQ-POL-000145,70.7,0.0551,0.1388,watch,42.5,medium,criticality,2026-05-10
AST-SEQ-POL-000146,48.0,0.0595,0.1304,poor,50.6,medium,age|criticality,2026-05-11
AST-SEQ-POL-000147,65.6,0.0111,0.0342,watch,27.4,low,,2026-05-08
AST-SEQ-POL-000148,87.0,0.0187,0.0377,good,25.1,low,criticality,2026-05-11
AST-SEQ-POL-000149,81.4,0.0068,0.0168,good,25.0,low,criticality,2026-05-04
AST-SEQ-TRA-000150,99,0.0109,0.0233,good,17.7,low,,2026-05-11
AST-SEQ-REC-000151,73.0,0.0144,0.0398,watch,27.3,low,age,2026-05-11
AST-SEQ-POL-000152,51.0,0.0396,0.1249,poor,37.5,medium,age,2026-05-06
AST-SEQ-SEC-000153,74.9,0.0396,0.0917,watch,32.9,medium,,2026-05-09
AST-SEQ-SEC-000154,74.8,0.0033,0.0105,watch,29.1,low,criticality,2026-05-06
AST-SEQ-SEC-000155,91.5,0.0099,0.031,good,17.7,low,,2026-05-03
AST-SEQ-POL-000156,98.0,0.0166,0.0439,good,10.4,low,,2026-05-13
AST-SEQ-CON-000157,97.1,0.0078,0.0172,good,23.7,low,,2026-05-14
AST-SEQ-POL-000158,99,0.0193,0.0463,good,16.9,low,criticality,2026-05-09
AST-SEQ-POL-000159,80.1,0.0102,0.0211,good,17.1,low,,2026-05-03
AST-SEQ-TRA-000160,92.6,0.0178,0.046,good,20.9,low,criticality,2026-05-09
AST-SEQ-POL-000161,89.9,0.0108,0.0283,good,29.1,low,criticality,2026-05-17
AST-SEQ-TRA-000162,79.7,0.005,0.0146,good,26.1,low,criticality,2026-05-07
AST-SEQ-SWI-000163,71.9,0.0157,0.0495,watch,30.7,low,,2026-05-04
AST-SEQ-POL-000164,85.4,0.0172,0.0489,good,30.3,low,,2026-05-08
AST-SEQ-POL-000165,73.4,0.0059,0.0176,watch,25.4,low,,2026-05-07
AST-SEQ-TRA-000166,87.6,0.0153,0.0412,good,30.4,low,criticality,2026-05-10
AST-SEQ-POL-000167,99,0.0134,0.0347,good,15.5,low,,2026-05-14
AST-SEQ-SWI-000168,89.0,0.0133,0.0416,good,27.2,low,criticality,2026-05-05
AST-SEQ-POL-000169,83.7,0.0013,0.0033,good,23.1,low,,2026-05-16
AST-SEQ-TRA-000170,67.1,0.0158,0.0427,watch,26.0,low,age,2026-05-14
AST-SEQ-POL-000171,69.1,0.0281,0.0817,watch,35.6,medium,age,2026-05-15
AST-SEQ-POL-000172,89.8,0.0046,0.013,good,16.7,low,criticality,2026-05-14
AST-SEQ-POL-000173,81.7,0.0061,0.0146,good,17.9,low,,2026-05-08
AST-SEQ-SWI-000174,88.9,0.0372,0.102,good,34.4,medium,criticality,2026-05-15
AST-SEQ-POL-000175,94.4,0.0091,0.0287,good,10.1,low,criticality,2026-05-08
AST-SEQ-POL-000176,85.7,0.0145,0.0446,good,23.5,low,criticality,2026-05-17
AST-SEQ-POL-000177,51.1,0.0583,0.1526,poor,44.8,medium,age,2026-05-04
AST-SEQ-TRA-000178,56.7,0.0259,0.0537,watch,45.0,medium,age,2026-05-17
AST-SEQ-POL-000179,72.2,0.04,0.0909,watch,34.6,medium,,2026-05-16
AST-SEQ-TRA-000180,76.0,0.0119,0.0379,watch,25.7,low,,2026-05-13
AST-SEQ-POL-000181,52.3,0.0341,0.0723,poor,33.9,medium,age,2026-05-09
AST-SEQ-CON-000182,98.2,0.0156,0.0425,good,20.4,low,criticality,2026-05-09
AST-SEQ-RIN-000183,65.3,0.0341,0.0857,watch,48.9,medium,age|criticality,2026-05-17
AST-SEQ-POL-000184,73.7,0.0163,0.0399,watch,30.6,low,criticality,2026-05-06
AST-SEQ-SWI-000185,62.4,0.0215,0.0647,watch,41.6,medium,age,2026-05-10
AST-SEQ-POL-000186,62.1,0.0475,0.1325,watch,46.2,medium,age|criticality,2026-05-14
AST-SEQ-POL-000187,86.7,0.0105,0.0234,good,30.2,low,,2026-05-13
AST-SEQ-POL-000188,73.6,0.0063,0.0182,watch,30.8,low,,2026-05-06
AST-SEQ-POL-000189,89.2,0.0054,0.0167,good,21.7,low,,2026-05-14
AST-SEQ-POL-000190,67.2,0.0299,0.0871,watch,35.9,medium,age,2026-05-07
AST-SEQ-POL-000191,79.2,0.0092,0.022,good,30.8,low,,2026-05-16
AST-SEQ-POL-000192,65.3,0.0111,0.0287,watch,28.3,low,criticality,2026-05-13
AST-SEQ-POL-000193,84.0,0.0021,0.006,good,22.9,low,criticality,2026-05-16
AST-SEQ-CON-000194,82.1,0.0578,0.1364,good,36.6,medium,criticality,2026-05-07
AST-SEQ-POL-000195,72.1,0.0176,0.0563,watch,28.3,low,age,2026-05-06
AST-SEQ-TRA-000196,64.5,0.0186,0.0434,watch,27.1,low,criticality|flood_exposure,2026-05-12
AST-SEQ-POL-000197,88.5,0.0102,0.0313,good,14.4,low,,2026-05-10
AST-SEQ-POL-000198,70.2,0.0095,0.028,watch,26.0,low,,2026-05-05
AST-SEQ-POL-000199,73.5,0.0437,0.0992,watch,39.4,medium,age,2026-05-12
AST-SEQ-POL-000200,58.9,0.0449,0.1206,watch,32.5,medium,age,2026-05-16
AST-SEQ-RIN-000201,68.7,0.0293,0.0845,watch,36.8,medium,criticality,2026-05-11
AST-SEQ-POL-000202,61.8,0.0185,0.0541,watch,29.1,low,age,2026-05-15
AST-SEQ-TRA-000203,68.4,0.0514,0.1154,watch,35.1,medium,age|criticality,2026-05-09
AST-SEQ-TRA-000204,81.8,0.0068,0.0177,good,15.6,low,,2026-05-04
AST-SEQ-POL-000205,65.5,0.0306,0.0651,watch,40.6,medium,age|criticality,2026-05-15
AST-SEQ-POL-000206,91.1,0.0171,0.0469,good,16.6,low,criticality,2026-05-14
AST-SEQ-TRA-000207,84.0,0.0112,0.023,good,27.9,low,,2026-05-09
AST-SEQ-POL-000208,75.3,0.0037,0.0089,watch,27.7,low,criticality,2026-05-10
AST-SEQ-POL-000209,89.8,0.0105,0.0313,good,26.3,low,,2026-05-15
AST-SEQ-TRA-000210,82.4,0.0132,0.0371,good,24.9,low,criticality,2026-05-09
AST-SEQ-POL-000211,75.1,0.0287,0.0916,watch,33.2,medium,criticality,2026-05-06
AST-SEQ-POL-000212,90.1,0.0143,0.0296,good,21.2,low,criticality,2026-05-07
AST-SEQ-TRA-000213,61.4,0.0532,0.1129,watch,34.0,medium,age,2026-05-12
AST-SEQ-POL-000214,66.3,0.0514,0.1287,watch,43.1,medium,age|criticality,2026-05-16
AST-SEQ-POL-000215,57.2,0.0445,0.1037,watch,38.2,medium,age,2026-05-12
AST-SEQ-POL-000216,54.5,0.0392,0.1023,poor,35.9,medium,age,2026-05-03
AST-SEQ-POL-000217,77.9,0.0186,0.0387,good,24.8,low,,2026-05-05
AST-SEQ-RIN-000218,82.1,0.0186,0.0577,good,18.6,low,,2026-05-13
AST-SEQ-POL-000219,59.0,0.0592,0.188,watch,47.9,medium,age|criticality,2026-05-16
AST-SEQ-POL-000220,75.2,0.0149,0.0471,watch,29.6,low,,2026-05-10
AST-SEQ-POL-000221,61.5,0.0222,0.0556,watch,39.7,medium,age,2026-05-13
AST-SEQ-POL-000222,91.3,0.0025,0.0058,good,24.9,low,criticality,2026-05-03
AST-SEQ-SEC-000223,60.5,0.0353,0.0735,watch,42.4,medium,age,2026-05-05
AST-SEQ-POL-000224,96.8,0.0022,0.0056,good,11.8,low,,2026-05-03
AST-SEQ-POL-000225,67.2,0.0512,0.1087,watch,35.3,medium,age|criticality,2026-05-06
AST-SEQ-POL-000226,85.1,0.059,0.1575,good,34.4,medium,,2026-05-09
AST-SEQ-POL-000227,69.8,0.0052,0.014,watch,24.8,low,,2026-05-07
AST-SEQ-POL-000228,51.2,0.0341,0.0923,poor,40.8,medium,age,2026-05-09
AST-SEQ-POL-000229,78.4,0.0063,0.0171,good,28.4,low,age,2026-05-03
AST-SEQ-SWI-000230,87.3,0.007,0.0197,good,27.8,low,criticality,2026-05-14
AST-SEQ-TRA-000231,99,0.0084,0.021,good,17.7,low,criticality,2026-05-06
AST-SEQ-POL-000232,62.2,0.0327,0.0819,watch,42.0,medium,age,2026-05-17
AST-SEQ-POL-000233,82.5,0.0195,0.044,good,23.1,low,,2026-05-03
AST-SEQ-POL-000234,78.9,0.0049,0.0141,good,23.4,low,criticality,2026-05-04
AST-SEQ-POL-000235,59.1,0.0423,0.1253,watch,49.7,medium,age|criticality,2026-05-12
AST-SEQ-POL-000236,85.4,0.0104,0.0268,good,16.9,low,,2026-05-04
AST-SEQ-TRA-000237,99,0.0034,0.0075,good,20.0,low,criticality,2026-05-07
AST-SEQ-CON-000238,58.8,0.0205,0.0638,watch,39.7,medium,age,2026-05-14
AST-SEQ-POL-000239,93.1,0.0133,0.0336,good,21.2,low,,2026-05-05
AST-SEQ-POL-000240,95.9,0.0064,0.0187,good,17.2,low,,2026-05-15
AST-SEQ-RIN-000241,84.1,0.0071,0.0208,good,21.1,low,criticality,2026-05-15
AST-SEQ-TRA-000242,48.9,0.0524,0.1131,poor,37.9,medium,age,2026-05-11
AST-SEQ-POL-000243,73.2,0.0583,0.1487,watch,41.0,medium,criticality,2026-05-12
AST-SEQ-TRA-000244,59.5,0.0555,0.1291,watch,34.5,medium,age|criticality,2026-05-13
AST-SEQ-POL-000245,79.6,0.0539,0.1576,good,33.3,medium,,2026-05-15
AST-SEQ-POL-000246,95.2,0.0123,0.0313,good,13.2,low,criticality,2026-05-10
AST-SEQ-CON-000247,70.9,0.0103,0.0311,watch,29.9,low,,2026-05-04
AST-SEQ-POL-000248,95.3,0.0185,0.0396,good,16.2,low,,2026-05-15
AST-SEQ-SEC-000249,92.8,0.0131,0.0352,good,19.2,low,criticality,2026-05-09
AST-SEQ-SWI-000250,69.9,0.0081,0.0212,watch,26.7,low,,2026-05-10
AST-SEQ-POL-000251,95.5,0.005,0.01,good,20.9,low,,2026-05-05
AST-SEQ-POL-000252,73.6,0.059,0.1695,watch,36.1,medium,criticality,2026-05-06
AST-SEQ-POL-000253,62.0,0.0165,0.0487,watch,28.3,low,age,2026-05-08
AST-SEQ-POL-000254,71.8,0.0538,0.1273,watch,35.0,medium,age,2026-05-05
AST-SEQ-SWI-000255,94.8,0.019,0.0437,good,15.4,low,criticality,2026-05-14
AST-SEQ-POL-000256,61.6,0.0228,0.0546,watch,38.7,medium,age|criticality,2026-05-14
AST-SEQ-POL-000257,83.5,0.0179,0.0528,good,21.5,low,,2026-05-10
AST-SEQ-POL-000258,69.9,0.0065,0.0203,watch,25.4,low,,2026-05-09
AST-SEQ-TRA-000259,72.6,0.0106,0.0282,watch,26.8,low,,2026-05-15
AST-SEQ-POL-000260,94.3,0.0164,0.0439,good,25.6,low,criticality,2026-05-05
AST-SEQ-POL-000261,69.8,0.0298,0.0618,watch,32.7,medium,criticality,2026-05-10
AST-SEQ-TRA-000262,62.2,0.0468,0.1095,watch,34.9,medium,age|criticality,2026-05-10
AST-SEQ-POL-000263,68.3,0.0296,0.0761,watch,35.9,medium,age|criticality,2026-05-15
AST-SEQ-TRA-000264,84.9,0.0189,0.0396,good,25.3,low,,2026-05-15
AST-SEQ-POL-000265,76.0,0.0058,0.0142,watch,19.8,low,age,2026-05-08
AST-SEQ-POL-000266,58.8,0.0266,0.0699,watch,40.9,medium,age|criticality,2026-05-03
AST-SEQ-POL-000267,69.5,0.0144,0.0368,watch,24.6,low,,2026-05-16
AST-SEQ-POL-000268,83.9,0.0049,0.0157,good,17.8,low,,2026-05-08
AST-SEQ-POL-000269,79.6,0.0192,0.0527,good,15.8,low,,2026-05-03
AST-SEQ-POL-000270,56.7,0.0452,0.1233,watch,34.7,medium,age|criticality,2026-05-14
AST-SEQ-POL-000271,87.5,0.0044,0.0125,good,25.9,low,,2026-05-06
AST-SEQ-POL-000272,94.2,0.0121,0.0345,good,13.5,low,,2026-05-10
AST-SEQ-TRA-000273,88.6,0.0127,0.026,good,19.9,low,,2026-05-17
AST-SEQ-POL-000274,76.4,0.0152,0.0306,good,23.1,low,criticality,2026-05-06
AST-SEQ-POL-000275,75.9,0.0169,0.0426,watch,29.1,low,,2026-05-15
AST-SEQ-POL-000276,85.5,0.0147,0.0312,good,24.7,low,,2026-05-10
AST-SEQ-POL-000277,70.6,0.053,0.154,watch,49.3,medium,age,2026-05-15
AST-SEQ-TRA-000278,72.2,0.0513,0.1359,watch,39.3,medium,age|criticality,2026-05-16
AST-SEQ-POL-000279,68.5,0.0362,0.1057,watch,41.5,medium,age|criticality,2026-05-13
AST-SEQ-POL-000280,89.5,0.011,0.0232,good,25.4,low,,2026-05-05
AST-SEQ-POL-000281,91.6,0.0046,0.0143,good,19.4,low,,2026-05-08
AST-SEQ-RIN-000282,85.7,0.0121,0.0311,good,22.1,low,,2026-05-15
AST-SEQ-POL-000283,94.2,0.0119,0.0337,good,19.0,low,criticality,2026-05-14
AST-SEQ-POL-000284,88.7,0.0128,0.0367,good,21.0,low,criticality,2026-05-13
AST-SEQ-POL-000285,67.0,0.0513,0.1101,watch,43.3,medium,criticality,2026-05-13
AST-SEQ-POL-000286,57.3,0.0247,0.0564,watch,40.8,medium,age,2026-05-12
AST-SEQ-POL-000287,84.9,0.0034,0.0075,good,4.5,low,,2026-05-09
AST-SEQ-POL-000288,85.5,0.0141,0.0385,good,8.3,low,,2026-05-07
AST-SEQ-POL-000289,75.7,0.0019,0.0041,watch,19.8,low,,2026-05-07
AST-SEQ-POL-000290,53.8,0.0226,0.0479,poor,37.6,medium,age,2026-05-03
AST-SEQ-POL-000291,68.2,0.045,0.141,watch,33.6,medium,,2026-05-07
AST-SEQ-POL-000292,71.8,0.0571,0.1569,watch,36.9,medium,age,2026-05-16
AST-SEQ-POL-000293,68.6,0.0442,0.1108,watch,41.7,medium,age|criticality,2026-05-04
AST-SEQ-POL-000294,57.6,0.028,0.0765,watch,37.8,medium,age|criticality,2026-05-05
AST-SEQ-POL-000295,78.3,0.0544,0.1347,good,31.6,medium,,2026-05-16
AST-SEQ-SEC-000296,70.7,0.0315,0.0998,watch,37.6,medium,criticality,2026-05-14
AST-SEQ-POL-000297,85.5,0.0067,0.0211,good,25.4,low,criticality,2026-05-06
