work_order_id,asset_id,feeder_id,region_id,work_type,priority,status,created_date,scheduled_date,completed_date,estimated_hours,estimated_cost_aud,crew_type,depot_id
WO-0000050,AST-TSV-POL-004395,FDR-TSV-0081,REG-TSV,storm_response,urgent,approved,2025-03-31,2025-05-16,,13.9,12726.84,substation_crew,DEP-TSV-0007
WO-0000051,AST-SEQ-POL-001628,FDR-SEQ-0031,REG-SEQ,inspection,medium,completed,2025-08-01,2025-09-27,2025-10-18,30.8,16149.43,substation_crew,DEP-SEQ-0002
WO-0000052,AST-SEQ-POL-000425,FDR-SEQ-0008,REG-SEQ,storm_response,medium,completed,2024-08-28,2024-10-05,2024-10-21,5.4,12894.23,substation_crew,DEP-SEQ-0003
WO-0000053,AST-MKY-POL-002646,FDR-MKY-0051,REG-MKY,repair,high,completed,2026-04-10,2026-07-03,2026-07-27,12.8,8288.05,substation_crew,DEP-MKY-0004
WO-0000054,AST--RW-POL-006330,FDR--RW-0110,REG-RW,planned_maintenance,high,completed,2026-05-10,2026-07-13,2026-08-01,25.6,15204.58,line_crew,DEP--RW-0013
WO-0000055,,FDR-SEQ-0010,REG-SEQ,inspection,medium,completed,2025-05-03,2025-06-13,2025-07-02,9.3,8145.74,line_crew,DEP-SEQ-0001
WO-0000056,AST-MKY-POL-002730,FDR-MKY-0054,REG-MKY,access_remediation,high,completed,2026-01-09,2026-02-13,2026-02-14,10.4,5735.35,line_crew,DEP-MKY-0004
WO-0000057,AST-TSV-SEC-004033,FDR-TSV-0076,REG-TSV,repair,medium,cancelled,2025-05-18,2025-05-24,,3.6,2089.8,substation_crew,DEP-TSV-0006
WO-0000058,,FDR-SEQ-0018,REG-SEQ,vegetation_treatment,low,completed,2024-12-10,2025-01-11,2025-01-15,8.1,7144.3,drone_team,DEP-SEQ-0002
WO-0000059,,FDR-TSV-0067,REG-TSV,planned_maintenance,low,scheduled,2025-02-10,2025-03-03,,26.3,14996.07,vegetation_crew,DEP-TSV-0007
WO-0000060,AST--RW-POL-007289,FDR--RW-0122,REG-RW,vegetation_treatment,medium,scheduled,2024-11-20,2025-02-10,,27.0,7498.12,substation_crew,DEP--RW-0013
WO-0000061,,FDR-TSV-0086,REG-TSV,vegetation_treatment,high,scheduled,2025-03-29,2025-05-09,,9.7,11485.68,substation_crew,DEP-TSV-0008
WO-0000062,AST-SEQ-POL-001394,FDR-SEQ-0026,REG-SEQ,repair,urgent,scheduled,2024-09-22,2024-12-11,,7.9,7664.18,vegetation_crew,DEP-SEQ-0001
WO-0000063,,FDR-TSV-0075,REG-TSV,replacement,high,scheduled,2025-11-24,2026-01-21,,6.7,6288.35,drone_team,DEP-TSV-0007
WO-0000064,AST-SEQ-POL-001691,FDR-SEQ-0032,REG-SEQ,inspection,medium,cancelled,2024-12-02,2025-01-12,,22.2,10337.75,substation_crew,DEP-SEQ-0002
WO-0000065,,FDR-TSV-0081,REG-TSV,vegetation_treatment,low,scheduled,2025-11-08,2026-01-21,,4.9,6978.87,substation_crew,DEP-TSV-0008
WO-0000066,,FDR-TSV-0076,REG-TSV,inspection,high,draft,2025-08-04,2025-08-26,,30.5,19026.82,vegetation_crew,DEP-TSV-0008
WO-0000067,AST-TSV-REC-004345,FDR-TSV-0081,REG-TSV,replacement,medium,scheduled,2024-05-27,2024-05-31,,2.9,11435.16,drone_team,DEP-TSV-0006
WO-0000068,,FDR-CQI-0090,REG-CQI,inspection,high,completed,2025-01-13,2025-02-05,2025-02-10,31.0,16831.76,vegetation_crew,DEP-CQI-0009
WO-0000069,AST-CQI-REC-005743,FDR-CQI-0102,REG-CQI,inspection,high,completed,2024-06-18,2024-08-12,2024-09-10,30.3,13601.74,vegetation_crew,DEP-CQI-0009
WO-0000070,AST-CQI-POL-005680,FDR-CQI-0101,REG-CQI,inspection,medium,in_progress,2025-07-19,2025-07-20,,10.4,13858.04,vegetation_crew,DEP-CQI-0010
WO-0000071,,FDR-CQI-0096,REG-CQI,planned_maintenance,high,in_progress,2024-06-10,2024-07-26,,18.3,11240.43,substation_crew,DEP-CQI-0009
WO-0000072,AST-CQI-POL-005413,FDR-CQI-0097,REG-CQI,replacement,low,completed,2025-12-13,2026-03-01,2026-03-18,10.3,7639.74,vegetation_crew,DEP-CQI-0009
WO-0000073,AST-SEQ-TRA-001699,FDR-SEQ-0033,REG-SEQ,inspection,low,scheduled,2025-07-03,2025-07-27,,16.0,12476.14,line_crew,DEP-SEQ-0003
WO-0000074,AST--RW-RIN-007215,FDR--RW-0121,REG-RW,vegetation_treatment,medium,scheduled,2025-12-04,2026-02-27,,10.0,13302.92,line_crew,DEP--RW-0013
WO-0000075,AST-SEQ-POL-001697,FDR-SEQ-0033,REG-SEQ,replacement,medium,completed,2024-06-22,2024-08-06,2024-08-20,27.8,17486.75,vegetation_crew,DEP-SEQ-0003
WO-0000076,,FDR--RW-0124,REG-RW,inspection,high,in_progress,2025-11-05,2025-12-07,,28.0,15288.59,line_crew,DEP--RW-0011
WO-0000077,AST-CQI-CON-005660,FDR-CQI-0100,REG-CQI,repair,low,scheduled,2026-02-05,2026-02-16,,24.0,17929.79,vegetation_crew,DEP-CQI-0010
WO-0000078,AST-MKY-TRA-002971,FDR-MKY-0058,REG-MKY,repair,high,completed,2025-05-21,2025-06-16,2025-07-10,20.7,10794.02,line_crew,DEP-MKY-0005
WO-0000079,AST-SEQ-SWI-000504,FDR-SEQ-0010,REG-SEQ,access_remediation,low,in_progress,2024-06-07,2024-06-19,,29.7,8070.0,substation_crew,DEP-SEQ-0001
WO-0000080,AST--RW-POL-007204,FDR--RW-0120,REG-RW,repair,high,completed,2025-05-07,2025-05-09,2025-05-30,5.9,5624.51,vegetation_crew,DEP--RW-0011
WO-0000081,AST-CQI-POL-005928,FDR-CQI-0105,REG-CQI,repair,high,draft,2024-12-06,2025-02-26,,24.8,11667.9,substation_crew,DEP-CQI-0009
WO-0000082,AST-MKY-POL-002346,FDR-MKY-0045,REG-MKY,storm_response,high,approved,2026-04-27,2026-05-29,,4.4,4908.88,substation_crew,DEP-MKY-0004
WO-0000083,AST-CQI-POL-005545,FDR-CQI-0099,REG-CQI,vegetation_treatment,low,scheduled,2026-04-06,2026-05-05,,27.5,10767.88,substation_crew,DEP-CQI-0010
WO-0000084,AST-TSV-POL-004273,FDR-TSV-0080,REG-TSV,planned_maintenance,high,completed,2024-12-13,2025-02-08,2025-03-04,16.5,15501.73,vegetation_crew,DEP-TSV-0007
WO-0000085,AST-CQI-CON-005660,FDR-CQI-0100,REG-CQI,replacement,medium,scheduled,2026-04-06,2026-05-06,,10.3,6854.8,substation_crew,DEP-CQI-0010
WO-0000086,AST-MKY-POL-002555,FDR-MKY-0049,REG-MKY,inspection,high,scheduled,2025-12-08,2026-02-24,,31.7,16963.09,vegetation_crew,DEP-MKY-0005
WO-0000087,,FDR-MKY-0062,REG-MKY,vegetation_treatment,medium,in_progress,2026-01-20,2026-01-30,,6.1,4846.08,vegetation_crew,DEP-MKY-0005
WO-0000088,,FDR-MKY-0045,REG-MKY,inspection,medium,scheduled,2025-02-27,2025-05-01,,15.3,11299.74,line_crew,DEP-MKY-0005
WO-0000089,AST-CQI-POL-006062,FDR-CQI-0107,REG-CQI,storm_response,high,completed,2025-01-11,2025-04-04,2025-04-27,2.0,7392.07,drone_team,DEP-CQI-0009
WO-0000090,,FDR-CQI-0100,REG-CQI,storm_response,low,in_progress,2024-11-13,2025-01-08,,35.8,13991.95,line_crew,DEP-CQI-0010
WO-0000091,AST-SEQ-TRA-000978,FDR-SEQ-0018,REG-SEQ,repair,medium,in_progress,2024-12-02,2025-01-06,,35.3,11868.63,vegetation_crew,DEP-SEQ-0001
WO-0000092,AST-CQI-TRA-005769,FDR-CQI-0102,REG-CQI,repair,urgent,completed,2024-11-03,2024-11-06,2024-11-27,14.2,15752.67,drone_team,DEP-CQI-0010
WO-0000093,AST--RW-POL-006554,FDR--RW-0113,REG-RW,vegetation_treatment,high,scheduled,2026-03-08,2026-04-15,,3.5,5177.64,substation_crew,DEP--RW-0013
WO-0000094,AST--RW-TRA-007467,FDR--RW-0124,REG-RW,storm_response,medium,completed,2024-10-01,2024-10-13,2024-11-02,24.9,13334.0,substation_crew,DEP--RW-0013
WO-0000095,AST-SEQ-POL-000001,FDR-SEQ-0001,REG-SEQ,vegetation_treatment,medium,scheduled,2026-02-24,2026-03-10,,27.8,16138.98,substation_crew,DEP-SEQ-0002
WO-0000096,,FDR--RW-0127,REG-RW,replacement,high,completed,2025-11-18,2026-01-22,2026-02-04,9.5,12759.58,vegetation_crew,DEP--RW-0013
WO-0000097,AST-SEQ-CON-000563,FDR-SEQ-0010,REG-SEQ,repair,low,scheduled,2026-03-05,2026-04-15,,5.9,2561.96,line_crew,DEP-SEQ-0003
WO-0000098,AST-SEQ-POL-000016,FDR-SEQ-0001,REG-SEQ,inspection,medium,in_progress,2025-08-26,2025-09-23,,9.3,10161.83,substation_crew,DEP-SEQ-0002
WO-0000099,AST-MKY-CON-003014,FDR-MKY-0059,REG-MKY,replacement,urgent,cancelled,2025-07-23,2025-07-27,,33.6,18606.29,substation_crew,DEP-MKY-0004
WO-0000100,AST-CQI-POL-005312,FDR-CQI-0095,REG-CQI,vegetation_treatment,medium,in_progress,2026-04-03,2026-04-13,,2.1,5169.67,line_crew,DEP-CQI-0009
WO-0000101,AST--RW-POL-006593,FDR--RW-0114,REG-RW,repair,low,draft,2025-10-14,2025-10-31,,6.3,3299.82,substation_crew,DEP--RW-0011
WO-0000102,,FDR-SEQ-0031,REG-SEQ,storm_response,medium,draft,2026-02-17,2026-04-18,,14.2,9708.21,vegetation_crew,DEP-SEQ-0003
WO-0000103,,FDR-TSV-0085,REG-TSV,replacement,high,completed,2024-11-30,2025-01-19,2025-02-11,31.5,9872.72,substation_crew,DEP-TSV-0006
WO-0000104,,FDR-CQI-0099,REG-CQI,storm_response,medium,completed,2024-09-02,2024-11-27,2024-12-13,9.2,3693.42,drone_team,DEP-CQI-0009
WO-0000105,,FDR-MKY-0049,REG-MKY,vegetation_treatment,medium,scheduled,2025-02-20,2025-04-17,,18.1,16300.68,line_crew,DEP-MKY-0004
WO-0000106,AST-MKY-POL-003131,FDR-MKY-0061,REG-MKY,repair,high,cancelled,2026-03-06,2026-04-17,,3.5,2346.32,vegetation_crew,DEP-MKY-0004
WO-0000107,AST-SEQ-POL-000707,FDR-SEQ-0013,REG-SEQ,planned_maintenance,medium,in_progress,2025-01-30,2025-02-15,,5.6,8220.41,substation_crew,DEP-SEQ-0003
WO-0000108,,FDR--RW-0117,REG-RW,inspection,high,approved,2024-11-10,2025-01-26,,21.7,14156.67,line_crew,DEP--RW-0011
WO-0000109,AST-CQI-POL-005887,FDR-CQI-0105,REG-CQI,planned_maintenance,high,cancelled,2026-04-23,2026-06-26,,4.5,11445.88,drone_team,DEP-CQI-0009
WO-0000110,,FDR-CQI-0106,REG-CQI,inspection,low,completed,2025-03-14,2025-05-13,2025-05-18,27.9,14563.47,drone_team,DEP-CQI-0009
WO-0000111,AST--RW-POL-007083,FDR--RW-0119,REG-RW,vegetation_treatment,medium,in_progress,2025-08-15,2025-08-16,,6.1,8692.65,vegetation_crew,DEP--RW-0011
WO-0000112,AST-SEQ-TRA-002053,FDR-SEQ-0040,REG-SEQ,planned_maintenance,medium,completed,2026-03-07,2026-05-23,2026-06-16,33.1,13445.87,line_crew,DEP-SEQ-0001
WO-0000113,,FDR-MKY-0049,REG-MKY,repair,medium,in_progress,2024-11-09,2024-12-03,,31.8,16516.28,drone_team,DEP-MKY-0004
WO-0000114,,FDR-SEQ-0041,REG-SEQ,planned_maintenance,low,in_progress,2025-05-28,2025-07-17,,5.4,4738.92,substation_crew,DEP-SEQ-0001
WO-0000115,,FDR-TSV-0086,REG-TSV,inspection,urgent,scheduled,2025-11-19,2026-01-06,,24.1,12696.64,substation_crew,DEP-TSV-0008
WO-0000116,,FDR-MKY-0056,REG-MKY,vegetation_treatment,low,completed,2025-07-07,2025-08-25,2025-09-16,9.5,9793.81,vegetation_crew,DEP-MKY-0004
WO-0000117,,FDR-SEQ-0023,REG-SEQ,inspection,medium,completed,2026-03-04,2026-04-11,2026-04-26,10.0,7049.54,line_crew,DEP-SEQ-0001
WO-0000118,AST-SEQ-POL-000792,FDR-SEQ-0014,REG-SEQ,storm_response,high,completed,2025-11-02,2025-12-31,2026-01-30,28.9,14622.97,drone_team,DEP-SEQ-0001
WO-0000119,AST-MKY-REC-002838,FDR-MKY-0056,REG-MKY,access_remediation,low,in_progress,2024-09-12,2024-12-01,,25.6,6856.79,substation_crew,DEP-MKY-0004
WO-0000120,AST-SEQ-CON-001708,FDR-SEQ-0033,REG-SEQ,replacement,medium,approved,2025-11-20,2026-01-10,,13.4,3363.61,substation_crew,DEP-SEQ-0003
WO-0000121,AST-MKY-POL-002501,FDR-MKY-0047,REG-MKY,planned_maintenance,low,completed,2024-06-04,2024-08-07,2024-08-11,18.5,13669.86,line_crew,DEP-MKY-0005
WO-0000122,,FDR-SEQ-0021,REG-SEQ,inspection,medium,approved,2025-10-03,2025-10-07,,29.7,10648.51,line_crew,DEP-SEQ-0001
WO-0000123,AST-MKY-POL-003009,FDR-MKY-0059,REG-MKY,repair,medium,scheduled,2025-03-06,2025-04-04,,28.8,12428.67,vegetation_crew,DEP-MKY-0004
WO-0000124,AST--RW-SWI-007464,FDR--RW-0124,REG-RW,inspection,high,in_progress,2025-05-19,2025-05-27,,20.0,15634.1,vegetation_crew,DEP--RW-0012
WO-0000125,AST-TSV-POL-004819,FDR-TSV-0087,REG-TSV,storm_response,low,scheduled,2024-08-22,2024-10-25,,4.9,8317.05,line_crew,DEP-TSV-0006
WO-0000126,,FDR-MKY-0063,REG-MKY,planned_maintenance,medium,completed,2026-03-27,2026-03-28,2026-04-14,3.6,9842.29,drone_team,DEP-MKY-0005
WO-0000127,,FDR-TSV-0068,REG-TSV,vegetation_treatment,low,scheduled,2025-03-22,2025-04-19,,6.6,12928.92,vegetation_crew,DEP-TSV-0008
WO-0000128,AST-MKY-POL-002711,FDR-MKY-0054,REG-MKY,storm_response,high,scheduled,2026-02-17,2026-05-12,,19.7,8266.5,line_crew,DEP-MKY-0005
WO-0000129,AST--RW-POL-006808,FDR--RW-0116,REG-RW,vegetation_treatment,medium,completed,2024-10-09,2024-11-25,2024-12-21,33.5,20422.0,line_crew,DEP--RW-0013
WO-0000130,AST--RW-POL-007528,FDR--RW-0124,REG-RW,storm_response,low,completed,2026-02-21,2026-04-30,2026-05-10,29.5,18677.63,drone_team,DEP--RW-0013
WO-0000131,AST-SEQ-POL-000675,FDR-SEQ-0012,REG-SEQ,inspection,low,cancelled,2025-03-07,2025-04-22,,26.2,7973.6,drone_team,DEP-SEQ-0001
WO-0000132,AST-MKY-TRA-002725,FDR-MKY-0054,REG-MKY,planned_maintenance,medium,scheduled,2026-03-14,2026-04-03,,5.6,6031.21,drone_team,DEP-MKY-0004
WO-0000133,AST-SEQ-SWI-001953,FDR-SEQ-0038,REG-SEQ,storm_response,high,approved,2024-05-23,2024-07-19,,21.5,17989.73,line_crew,DEP-SEQ-0002
WO-0000134,AST-CQI-POL-005440,FDR-CQI-0097,REG-CQI,planned_maintenance,urgent,completed,2026-02-02,2026-03-04,2026-03-31,27.7,12762.16,substation_crew,DEP-CQI-0009
WO-0000135,,FDR--RW-0116,REG-RW,vegetation_treatment,medium,in_progress,2024-12-27,2025-03-16,,2.6,12291.62,line_crew,DEP--RW-0013
WO-0000136,AST--RW-POL-007061,FDR--RW-0119,REG-RW,repair,high,scheduled,2025-01-20,2025-04-07,,7.4,7002.16,drone_team,DEP--RW-0013
WO-0000137,AST-TSV-POL-003644,FDR-TSV-0069,REG-TSV,repair,medium,scheduled,2025-08-14,2025-08-26,,5.5,4048.64,substation_crew,DEP-TSV-0008
WO-0000138,AST--RW-TRA-007467,FDR--RW-0124,REG-RW,repair,medium,in_progress,2024-06-23,2024-07-21,,10.2,8269.15,vegetation_crew,DEP--RW-0013
WO-0000139,AST--RW-POL-007083,FDR--RW-0119,REG-RW,inspection,low,approved,2024-11-21,2024-12-11,,31.7,8556.83,vegetation_crew,DEP--RW-0012
WO-0000140,AST--RW-REC-007804,FDR--RW-0127,REG-RW,replacement,low,scheduled,2025-01-04,2025-02-27,,12.1,9911.63,substation_crew,DEP--RW-0011
WO-0000141,AST--RW-POL-007706,FDR--RW-0126,REG-RW,replacement,high,scheduled,2025-04-21,2025-05-23,,8.2,12645.56,drone_team,DEP--RW-0012
WO-0000142,AST-CQI-REC-004989,FDR-CQI-0090,REG-CQI,planned_maintenance,medium,completed,2025-09-10,2025-09-13,2025-10-10,9.2,8993.61,drone_team,DEP-CQI-0010
WO-0000143,AST-MKY-POL-002586,FDR-MKY-0050,REG-MKY,inspection,medium,draft,2025-02-01,2025-04-01,,29.0,13081.51,substation_crew,DEP-MKY-0005
WO-0000144,AST-CQI-POL-005953,FDR-CQI-0105,REG-CQI,storm_response,high,in_progress,2024-08-20,2024-09-01,,13.5,8973.07,substation_crew,DEP-CQI-0010
WO-0000145,,FDR-TSV-0074,REG-TSV,replacement,low,scheduled,2026-02-11,2026-05-04,,32.6,11611.48,drone_team,DEP-TSV-0008
WO-0000146,AST-MKY-REC-003271,FDR-MKY-0063,REG-MKY,inspection,low,scheduled,2025-10-19,2025-11-27,,4.2,4129.46,drone_team,DEP-MKY-0004
WO-0000147,,FDR-SEQ-0020,REG-SEQ,inspection,medium,scheduled,2024-10-12,2024-12-14,,11.5,14242.07,line_crew,DEP-SEQ-0001
WO-0000148,,FDR-TSV-0068,REG-TSV,repair,medium,in_progress,2026-05-05,2026-05-26,,31.2,10001.82,vegetation_crew,DEP-TSV-0007
WO-0000149,AST-TSV-TRA-004139,FDR-TSV-0078,REG-TSV,vegetation_treatment,urgent,scheduled,2025-07-21,2025-09-24,,16.3,11118.08,substation_crew,DEP-TSV-0007
WO-0000150,AST-TSV-SWI-003676,FDR-TSV-0070,REG-TSV,planned_maintenance,medium,scheduled,2024-08-24,2024-11-21,,9.2,7058.42,vegetation_crew,DEP-TSV-0008
WO-0000151,,FDR--RW-0126,REG-RW,inspection,high,completed,2024-07-20,2024-09-11,2024-10-08,7.3,9420.12,substation_crew,DEP--RW-0012
WO-0000152,AST-CQI-POL-006072,FDR-CQI-0108,REG-CQI,replacement,medium,approved,2024-08-26,2024-08-31,,23.9,13633.12,vegetation_crew,DEP-CQI-0009
WO-0000153,AST-MKY-SWI-002385,FDR-MKY-0046,REG-MKY,inspection,medium,scheduled,2024-11-22,2025-02-12,,23.7,10236.81,substation_crew,DEP-MKY-0004
WO-0000154,AST-TSV-SEC-003931,FDR-TSV-0075,REG-TSV,inspection,medium,in_progress,2024-06-13,2024-08-09,,5.1,8791.44,line_crew,DEP-TSV-0008
