defect_id,inspection_id,asset_id,defect_type,severity,detected_date,target_rectification_date,status,safety_risk_score,reliability_risk_score
DEF-00000040,INS-0000091,AST-MKY-POL-003191,lightning_damage,high,2025-08-18,2026-01-21,planned,25.1,44.1
DEF-00000041,INS-0000095,AST-SEQ-POL-001296,crossarm_corrosion,low,2025-05-15,2025-09-05,planned,32.5,22.7
DEF-00000042,INS-0000097,AST-CQI-POL-006085,oil_leak,medium,2026-04-17,2026-07-16,open,30.9,5.1
DEF-00000043,INS-0000100,AST-CQI-TRA-006049,insulator_damage,low,2025-12-12,2026-03-18,open,31.3,25.7
DEF-00000044,INS-0000101,AST-SEQ-REC-001391,oil_leak,low,2025-10-11,2026-01-08,closed,27.0,39.6
DEF-00000045,INS-0000103,AST--RW-SWI-006563,leaning_pole,low,2025-08-20,2025-11-21,open,17.3,32.8
DEF-00000046,INS-0000103,AST--RW-SWI-006563,termite_damage,low,2025-08-20,2026-01-29,planned,40.9,4.0
DEF-00000047,INS-0000103,AST--RW-SWI-006563,insulator_damage,medium,2025-08-20,2025-10-06,open,21.0,24.4
DEF-00000048,INS-0000105,AST--RW-POL-007132,leaning_pole,low,2025-08-13,2025-12-02,open,24.9,32.7
DEF-00000049,INS-0000111,AST-CQI-TRA-004896,vegetation_clearance,medium,2025-08-03,2025-09-08,open,20.2,38.3
DEF-00000050,INS-0000116,AST-MKY-POL-002418,termite_damage,high,2026-01-20,2026-01-29,open,34.3,57.8
DEF-00000051,INS-0000119,AST--RW-TRA-006568,lightning_damage,medium,2026-01-11,2026-06-11,open,19.5,13.0
DEF-00000052,INS-0000121,AST-TSV-POL-004260,flood_damage,high,2024-11-29,2025-04-12,planned,42.2,45.3
DEF-00000053,INS-0000123,AST-TSV-POL-003935,vegetation_clearance,high,2025-05-24,2025-10-22,planned,59.5,54.5
DEF-00000054,INS-0000126,AST--RW-POL-006283,flood_damage,low,2025-02-17,2025-08-08,deferred,31.9,47.8
DEF-00000055,INS-0000127,AST-MKY-POL-002991,insulator_damage,high,2026-02-11,2026-08-10,planned,58.4,28.2
DEF-00000056,INS-0000128,AST-SEQ-POL-000140,crossarm_corrosion,medium,2025-06-16,2025-07-19,planned,14.2,33.3
DEF-00000057,INS-0000129,AST--RW-POL-007194,termite_damage,low,2025-05-19,2025-10-23,planned,25.9,38.6
DEF-00000058,INS-0000131,AST-TSV-POL-003689,crossarm_corrosion,medium,2026-03-28,2026-05-17,closed,12.1,43.3
DEF-00000059,INS-0000133,AST-MKY-SWI-002957,crossarm_corrosion,high,2025-06-25,2025-12-22,planned,35.2,56.8
DEF-00000060,INS-0000133,AST-MKY-SWI-002957,oil_leak,low,2025-06-25,2025-10-17,planned,20.2,21.6
DEF-00000061,INS-0000133,AST-MKY-SWI-002957,crossarm_corrosion,medium,2025-06-25,2025-07-11,closed,29.0,16.4
DEF-00000062,INS-0000135,AST-TSV-POL-003847,access_blocked,low,2025-08-18,2025-10-09,open,38.2,27.1
DEF-00000063,INS-0000135,AST-TSV-POL-003847,crossarm_corrosion,critical,2025-08-18,2025-12-26,open,40.6,56.1
DEF-00000064,INS-0000138,AST--RW-POL-006792,insulator_damage,low,2025-05-16,2025-10-21,planned,12.7,4.8
DEF-00000065,INS-0000138,AST--RW-POL-006792,flood_damage,low,2025-05-16,2025-06-02,open,33.2,3.6
DEF-00000066,INS-0000140,AST--RW-POL-007430,termite_damage,high,2025-05-08,2025-08-25,deferred,42.5,31.8
DEF-00000067,INS-0000140,AST--RW-POL-007430,lightning_damage,medium,2025-05-08,2025-10-16,open,38.2,39.8
DEF-00000068,INS-0000141,AST--RW-SWI-007082,flood_damage,low,2025-01-16,2025-03-02,planned,38.8,26.4
DEF-00000069,INS-0000143,AST-SEQ-POL-001151,leaning_pole,medium,2025-08-28,2025-09-24,open,37.3,22.9
DEF-00000070,INS-0000146,AST--RW-CON-007028,oil_leak,high,2025-05-12,2025-06-07,open,58.3,50.3
DEF-00000071,INS-0000148,AST-MKY-TRA-002509,termite_damage,low,2025-03-02,2025-03-11,planned,12.8,5.5
DEF-00000072,INS-0000149,AST-TSV-POL-004392,leaning_pole,low,2025-10-19,2026-03-31,open,21.1,36.9
DEF-00000073,INS-0000151,AST-SEQ-POL-000586,leaning_pole,medium,2025-05-06,2025-06-09,open,23.3,16.4
DEF-00000074,INS-0000153,AST-MKY-POL-002557,vegetation_clearance,medium,2025-08-23,2025-09-04,open,8.7,9.4
DEF-00000075,INS-0000157,AST-SEQ-POL-000843,vegetation_clearance,medium,2026-03-11,2026-05-15,open,19.3,15.0
DEF-00000076,INS-0000158,AST--RW-TRA-007415,vegetation_clearance,low,2025-05-02,2025-08-14,planned,8.3,23.6
DEF-00000077,INS-0000161,AST-TSV-POL-004510,oil_leak,critical,2025-10-01,2026-01-17,open,50.3,39.6
DEF-00000078,INS-0000164,AST--RW-POL-007040,conductor_sag,low,2025-04-11,2025-08-31,planned,28.2,26.0
DEF-00000079,INS-0000167,AST-CQI-POL-005454,oil_leak,medium,2026-03-12,2026-04-04,open,30.1,12.2
DEF-00000080,INS-0000167,AST-CQI-POL-005454,leaning_pole,medium,2026-03-12,2026-06-08,open,29.0,27.9
DEF-00000081,INS-0000167,AST-CQI-POL-005454,crossarm_corrosion,critical,2026-03-12,2026-04-04,planned,46.6,40.3
DEF-00000082,INS-0000169,AST-SEQ-POL-002039,access_blocked,medium,2026-01-31,2026-05-08,planned,16.1,51.0
DEF-00000083,INS-0000171,AST-TSV-POL-004041,crossarm_corrosion,medium,2024-12-08,2025-06-04,open,15.5,11.7
DEF-00000084,INS-0000173,AST-MKY-TRA-002830,insulator_damage,low,2026-01-30,2026-06-22,closed,33.1,25.8
DEF-00000085,INS-0000175,AST-CQI-REC-005543,vegetation_clearance,medium,2025-07-11,2025-08-24,open,25.6,1
DEF-00000086,INS-0000177,AST-SEQ-POL-000824,insulator_damage,low,2025-11-09,2025-12-18,open,35.7,20.1
DEF-00000087,INS-0000180,AST-TSV-POL-004566,vegetation_clearance,medium,2025-12-14,2026-02-21,planned,28.5,33.1
DEF-00000088,INS-0000181,AST-CQI-POL-005418,insulator_damage,high,2025-01-17,2025-04-24,closed,39.2,40.8
DEF-00000089,INS-0000182,AST--RW-POL-007206,lightning_damage,low,2025-06-18,2025-10-25,planned,19.9,8.4
DEF-00000090,INS-0000183,AST--RW-SEC-006784,access_blocked,low,2025-03-18,2025-09-07,planned,40.1,12.4
DEF-00000091,INS-0000183,AST--RW-SEC-006784,lightning_damage,critical,2025-03-18,2025-07-16,open,37.3,60.0
DEF-00000092,INS-0000184,AST-CQI-CON-005194,crossarm_corrosion,medium,2026-03-04,2026-04-04,open,10.1,10.3
DEF-00000093,INS-0000188,AST-TSV-REC-004743,vegetation_clearance,low,2025-04-08,2025-06-29,open,38.7,6.9
DEF-00000094,INS-0000189,AST--RW-POL-007478,access_blocked,low,2025-01-17,2025-03-10,open,22.7,23.3
DEF-00000095,INS-0000189,AST--RW-POL-007478,vegetation_clearance,low,2025-01-17,2025-04-25,open,13.2,22.8
DEF-00000096,INS-0000191,AST-SEQ-POL-001375,flood_damage,medium,2025-07-19,2025-10-07,planned,31.4,28.4
DEF-00000097,INS-0000193,AST-MKY-REC-002867,flood_damage,medium,2025-11-04,2026-04-11,deferred,22.1,3.1
DEF-00000098,INS-0000193,AST-MKY-REC-002867,conductor_sag,low,2025-11-04,2026-04-01,deferred,25.2,38.0
DEF-00000099,INS-0000196,AST-TSV-POL-003408,oil_leak,low,2025-07-05,2025-09-26,deferred,35.0,16.3
DEF-00000100,INS-0000199,AST-MKY-TRA-003168,crossarm_corrosion,high,2025-05-15,2025-10-19,deferred,38.6,25.9
DEF-00000101,INS-0000199,AST-MKY-TRA-003168,crossarm_corrosion,high,2025-05-15,2025-07-07,closed,39.5,49.9
DEF-00000102,INS-0000199,AST-MKY-TRA-003168,oil_leak,critical,2025-05-15,2025-07-09,deferred,37.9,33.8
DEF-00000103,INS-0000200,AST-SEQ-POL-001981,oil_leak,high,2024-12-13,2025-01-15,closed,42.2,38.3
DEF-00000104,INS-0000200,AST-SEQ-POL-001981,access_blocked,critical,2024-12-13,2025-02-27,planned,44.9,68.8
DEF-00000105,INS-0000204,AST-TSV-POL-003976,crossarm_corrosion,high,2026-02-21,2026-08-07,planned,22.5,58.0
DEF-00000106,INS-0000209,AST-SEQ-POL-000156,termite_damage,critical,2026-01-25,2026-06-12,planned,48.7,57.4
DEF-00000107,INS-0000211,AST-SEQ-POL-002094,oil_leak,low,2026-02-23,2026-05-13,closed,17.8,21.8
DEF-00000108,INS-0000214,AST--RW-POL-006766,leaning_pole,medium,2025-10-09,2026-02-04,open,37.5,30.2
DEF-00000109,INS-0000217,AST-TSV-SEC-004577,leaning_pole,medium,2025-01-25,2025-06-09,open,17.5,43.4
DEF-00000110,INS-0000221,AST-MKY-POL-002434,oil_leak,high,2025-08-20,2025-09-20,open,28.3,64.7
DEF-00000111,INS-0000225,AST-CQI-POL-005427,vegetation_clearance,low,2025-06-18,2025-11-21,open,15.8,12.3
DEF-00000112,INS-0000226,AST--RW-POL-007478,crossarm_corrosion,medium,2025-05-13,2025-06-09,closed,40.0,33.1
DEF-00000113,INS-0000226,AST--RW-POL-007478,oil_leak,low,2025-05-13,2025-09-13,open,1,31.9
DEF-00000114,INS-0000227,AST-TSV-POL-004098,oil_leak,low,2025-02-26,2025-08-05,deferred,38.9,30.8
DEF-00000115,INS-0000230,AST-SEQ-POL-001328,flood_damage,low,2025-08-04,2026-01-10,open,23.9,30.8
DEF-00000116,INS-0000231,AST-SEQ-TRA-000673,crossarm_corrosion,medium,2025-08-16,2025-11-18,planned,44.4,21.7
DEF-00000117,INS-0000237,AST--RW-POL-007539,flood_damage,critical,2025-07-28,2025-09-02,open,53.6,37.4
DEF-00000118,INS-0000238,AST-TSV-TRA-004220,vegetation_clearance,medium,2026-05-13,2026-09-10,open,6.9,27.2
DEF-00000119,INS-0000238,AST-TSV-TRA-004220,leaning_pole,high,2026-05-13,2026-09-09,planned,49.4,52.2
DEF-00000120,INS-0000238,AST-TSV-TRA-004220,flood_damage,low,2026-05-13,2026-06-08,open,47.6,25.8
DEF-00000121,INS-0000238,AST-TSV-TRA-004220,insulator_damage,critical,2026-05-13,2026-06-30,open,58.3,50.9
DEF-00000122,INS-0000242,AST-SEQ-POL-001379,lightning_damage,critical,2025-07-31,2025-10-07,open,63.6,55.0
DEF-00000123,INS-0000258,AST--RW-POL-007520,insulator_damage,low,2026-02-08,2026-02-21,deferred,27.3,16.2
DEF-00000124,INS-0000260,AST-MKY-POL-003023,termite_damage,medium,2025-12-19,2026-03-15,open,36.4,31.0
DEF-00000125,INS-0000263,AST-TSV-POL-003450,vegetation_clearance,medium,2026-01-04,2026-05-07,closed,4.0,32.3
DEF-00000126,INS-0000263,AST-TSV-POL-003450,insulator_damage,low,2026-01-04,2026-03-18,open,7.8,10.8
DEF-00000127,INS-0000263,AST-TSV-POL-003450,vegetation_clearance,medium,2026-01-04,2026-02-14,open,31.1,13.5
DEF-00000128,INS-0000265,AST-SEQ-POL-001668,lightning_damage,low,2025-01-12,2025-04-09,open,30.0,15.4
DEF-00000129,INS-0000265,AST-SEQ-POL-001668,oil_leak,high,2025-01-12,2025-06-29,planned,63.8,27.8
DEF-00000130,INS-0000270,AST-MKY-REC-003207,insulator_damage,high,2025-10-17,2026-01-26,closed,51.3,32.0
DEF-00000131,INS-0000271,AST-MKY-TRA-002963,access_blocked,medium,2025-04-01,2025-04-16,closed,24.8,9.9
DEF-00000132,INS-0000272,AST-CQI-POL-005853,leaning_pole,high,2025-07-18,2025-10-08,planned,33.9,45.0
DEF-00000133,INS-0000273,AST-TSV-TRA-004373,crossarm_corrosion,medium,2026-05-04,2026-08-25,planned,16.4,1
DEF-00000134,INS-0000273,AST-TSV-TRA-004373,flood_damage,medium,2026-05-04,2026-05-29,open,17.9,41.4
DEF-00000135,INS-0000274,AST-SEQ-POL-002067,oil_leak,medium,2024-12-04,2025-02-21,planned,23.0,1
DEF-00000136,INS-0000275,AST-TSV-POL-004338,access_blocked,critical,2025-05-07,2025-09-20,open,18.0,62.4
DEF-00000137,INS-0000281,AST-TSV-POL-004404,leaning_pole,medium,2025-06-23,2025-07-15,planned,23.0,15.3
DEF-00000138,INS-0000282,AST--RW-POL-007478,conductor_sag,medium,2026-03-19,2026-07-02,planned,24.3,28.5
DEF-00000139,INS-0000282,AST--RW-POL-007478,insulator_damage,medium,2026-03-19,2026-06-15,planned,35.1,29.9
DEF-00000140,INS-0000282,AST--RW-POL-007478,leaning_pole,medium,2026-03-19,2026-05-04,deferred,13.7,41.6
DEF-00000141,INS-0000285,AST-TSV-POL-004702,termite_damage,high,2025-03-10,2025-07-16,closed,65.1,52.9
DEF-00000142,INS-0000286,AST-CQI-SWI-005383,conductor_sag,medium,2025-12-27,2026-04-18,deferred,7.8,35.9
DEF-00000143,INS-0000286,AST-CQI-SWI-005383,lightning_damage,low,2025-12-27,2026-05-29,open,36.2,39.4
DEF-00000144,INS-0000289,AST--RW-SEC-007587,oil_leak,medium,2026-02-02,2026-03-20,open,30.8,21.1
DEF-00000145,INS-0000290,AST-TSV-SWI-003350,leaning_pole,medium,2025-11-07,2026-04-13,closed,23.9,17.4
DEF-00000146,INS-0000290,AST-TSV-SWI-003350,termite_damage,medium,2025-11-07,2026-03-14,planned,26.7,19.4
DEF-00000147,INS-0000295,AST-MKY-POL-003290,oil_leak,medium,2025-03-27,2025-05-16,open,45.4,5.3
DEF-00000148,INS-0000297,AST-TSV-POL-003578,access_blocked,low,2025-03-20,2025-09-15,deferred,35.2,4.1
DEF-00000149,INS-0000299,AST-MKY-POL-003153,insulator_damage,low,2025-03-01,2025-08-26,deferred,31.7,12.2
DEF-00000150,INS-0000301,AST-MKY-POL-002311,lightning_damage,low,2025-09-16,2026-03-10,open,21.8,39.0
DEF-00000151,INS-0000308,AST-MKY-POL-002640,vegetation_clearance,low,2026-02-26,2026-03-12,open,31.5,16.1
DEF-00000152,INS-0000312,AST-TSV-POL-004208,access_blocked,medium,2025-11-23,2026-05-22,planned,39.1,34.6
DEF-00000153,INS-0000313,AST-SEQ-POL-001502,vegetation_clearance,critical,2025-01-05,2025-04-03,planned,39.9,54.5
DEF-00000154,INS-0000314,AST-TSV-SWI-004752,insulator_damage,medium,2025-03-13,2025-08-16,deferred,17.0,13.6
DEF-00000155,INS-0000324,AST-SEQ-POL-001125,crossarm_corrosion,low,2025-09-15,2025-10-07,closed,15.6,33.6
DEF-00000156,INS-0000325,AST-MKY-POL-002401,termite_damage,low,2025-03-11,2025-07-07,open,34.2,42.9
DEF-00000157,INS-0000331,AST--RW-TRA-007500,flood_damage,low,2025-10-04,2026-01-14,open,23.9,29.1
DEF-00000158,INS-0000336,AST-MKY-TRA-003259,termite_damage,medium,2025-09-24,2025-10-20,open,21.3,1
DEF-00000159,INS-0000336,AST-MKY-TRA-003259,termite_damage,low,2025-09-24,2025-10-23,planned,24.1,39.8
DEF-00000160,INS-0000337,AST-TSV-POL-003965,conductor_sag,low,2025-01-02,2025-02-04,open,39.1,17.5
DEF-00000161,INS-0000338,AST-TSV-TRA-003346,oil_leak,low,2025-05-25,2025-10-15,open,25.7,30.7
DEF-00000162,INS-0000340,AST-MKY-SWI-003111,crossarm_corrosion,low,2025-08-29,2026-02-19,planned,26.3,23.5
DEF-00000163,INS-0000341,AST-MKY-CON-002564,crossarm_corrosion,medium,2026-05-13,2026-10-28,planned,13.0,22.6
DEF-00000164,INS-0000342,AST-MKY-POL-003277,access_blocked,low,2026-02-06,2026-06-11,planned,54.2,20.1
DEF-00000165,INS-0000342,AST-MKY-POL-003277,lightning_damage,high,2026-02-06,2026-06-29,open,47.9,50.6
DEF-00000166,INS-0000344,AST--RW-POL-007496,lightning_damage,medium,2025-06-11,2025-06-27,deferred,42.7,32.6
DEF-00000167,INS-0000347,AST-TSV-REC-004576,oil_leak,low,2025-04-24,2025-07-01,open,36.0,3.7
DEF-00000168,INS-0000348,AST-TSV-SWI-004313,crossarm_corrosion,high,2025-04-07,2025-07-27,closed,44.7,54.0
DEF-00000169,INS-0000351,AST-SEQ-CON-002026,lightning_damage,high,2025-11-12,2026-04-29,deferred,36.0,61.2
DEF-00000170,INS-0000354,AST--RW-POL-007507,leaning_pole,medium,2025-05-24,2025-07-26,open,25.8,8.9
DEF-00000171,INS-0000360,AST-SEQ-POL-000684,insulator_damage,high,2025-10-23,2026-03-21,open,51.3,30.2
DEF-00000172,INS-0000366,AST-TSV-POL-003358,crossarm_corrosion,low,2026-04-14,2026-07-13,deferred,14.8,5.8
DEF-00000173,INS-0000366,AST-TSV-POL-003358,termite_damage,high,2026-04-14,2026-08-02,open,29.9,47.7
DEF-00000174,INS-0000367,AST-SEQ-POL-001974,flood_damage,low,2025-07-05,2025-09-01,planned,35.8,16.3
DEF-00000175,INS-0000369,AST-TSV-POL-004387,conductor_sag,low,2025-10-10,2025-12-08,open,36.8,36.2
DEF-00000176,INS-0000370,AST-MKY-POL-002939,insulator_damage,low,2025-08-30,2025-09-20,closed,30.3,27.2
DEF-00000177,INS-0000370,AST-MKY-POL-002939,vegetation_clearance,medium,2025-08-30,2025-10-31,open,2.3,18.0
DEF-00000178,INS-0000375,AST-SEQ-RIN-002020,lightning_damage,low,2025-08-04,2026-01-15,closed,43.3,28.0
DEF-00000179,INS-0000377,AST-MKY-POL-002876,lightning_damage,medium,2025-03-03,2025-04-17,open,33.4,31.1
DEF-00000180,INS-0000380,AST--RW-POL-006708,termite_damage,high,2025-05-04,2025-07-29,open,41.6,63.6
DEF-00000181,INS-0000381,AST-SEQ-TRA-001714,termite_damage,low,2024-12-14,2025-04-17,planned,25.4,19.2
DEF-00000182,INS-0000384,AST-SEQ-POL-001169,vegetation_clearance,medium,2025-04-05,2025-09-27,deferred,18.4,39.3
DEF-00000183,INS-0000385,AST-SEQ-POL-001525,insulator_damage,low,2025-09-20,2026-01-30,open,20.4,18.2
DEF-00000184,INS-0000388,AST--RW-POL-007782,conductor_sag,high,2025-11-23,2026-04-22,deferred,56.9,58.7
DEF-00000185,INS-0000392,AST-MKY-TRA-002948,flood_damage,medium,2025-04-03,2025-04-14,deferred,18.3,26.9
DEF-00000186,INS-0000395,AST--RW-POL-006810,access_blocked,medium,2025-09-10,2025-11-07,open,31.8,20.2
DEF-00000187,INS-0000395,AST--RW-POL-006810,oil_leak,medium,2025-09-10,2025-10-10,planned,14.6,27.8
DEF-00000188,INS-0000400,AST-TSV-POL-003977,flood_damage,medium,2025-08-11,2026-01-22,planned,43.7,24.3
DEF-00000189,INS-0000400,AST-TSV-POL-003977,termite_damage,high,2025-08-11,2025-11-11,open,50.4,51.3
DEF-00000190,INS-0000408,AST-TSV-POL-003787,access_blocked,critical,2025-02-15,2025-05-16,open,18.8,55.0
DEF-00000191,INS-0000409,AST--RW-SEC-006793,conductor_sag,low,2026-02-05,2026-02-20,open,27.9,34.7
DEF-00000192,INS-0000410,AST-TSV-SWI-004090,vegetation_clearance,medium,2025-11-23,2026-05-12,planned,24.2,24.4
DEF-00000193,INS-0000412,AST-TSV-POL-003811,insulator_damage,medium,2025-08-27,2026-02-13,closed,23.4,52.2
DEF-00000194,INS-0000414,AST--RW-RIN-006884,oil_leak,high,2025-10-27,2026-01-29,open,52.9,69.0
DEF-00000195,INS-0000415,AST-SEQ-SWI-001478,access_blocked,low,2026-02-15,2026-06-06,open,13.3,19.4
DEF-00000196,INS-0000416,AST--RW-POL-007817,oil_leak,medium,2025-03-17,2025-04-01,closed,39.0,30.5
DEF-00000197,INS-0000422,AST-MKY-TRA-003288,conductor_sag,critical,2026-03-02,2026-05-13,closed,49.6,43.4
DEF-00000198,INS-0000422,AST-MKY-TRA-003288,crossarm_corrosion,medium,2026-03-02,2026-06-25,planned,30.5,29.2
DEF-00000199,INS-0000426,AST-MKY-POL-002708,vegetation_clearance,high,2025-10-30,2026-01-23,planned,33.5,64.1
DEF-00000200,INS-0000426,AST-MKY-POL-002708,access_blocked,medium,2025-10-30,2026-04-04,open,14.4,30.2
DEF-00000201,INS-0000426,AST-MKY-POL-002708,insulator_damage,low,2025-10-30,2026-01-19,open,51.0,18.3
DEF-00000202,INS-0000428,AST-MKY-POL-002297,oil_leak,low,2025-03-08,2025-06-10,planned,43.2,6.1
DEF-00000203,INS-0000429,AST--RW-SEC-007133,access_blocked,medium,2025-05-22,2025-10-25,planned,39.6,32.5
DEF-00000204,INS-0000434,AST-MKY-POL-003045,oil_leak,low,2025-09-17,2025-09-24,closed,17.1,25.5
DEF-00000205,INS-0000436,AST-CQI-SWI-005849,termite_damage,medium,2026-04-24,2026-07-02,open,17.7,29.4
DEF-00000206,INS-0000438,AST-SEQ-POL-001824,oil_leak,high,2025-08-02,2025-11-29,planned,33.7,54.8
DEF-00000207,INS-0000444,AST-SEQ-POL-001715,oil_leak,medium,2025-05-19,2025-07-13,open,35.7,30.0
DEF-00000208,INS-0000445,AST-TSV-POL-003925,termite_damage,critical,2025-06-14,2025-08-20,deferred,63.2,71.3
DEF-00000209,INS-0000446,AST--RW-REC-007489,access_blocked,high,2025-05-27,2025-11-10,planned,38.9,48.8
DEF-00000210,INS-0000447,AST-CQI-POL-005005,flood_damage,medium,2026-01-21,2026-02-13,deferred,13.7,1
DEF-00000211,INS-0000448,AST-SEQ-POL-000564,flood_damage,low,2025-03-25,2025-04-24,closed,37.3,28.6
DEF-00000212,INS-0000449,AST-MKY-POL-003147,lightning_damage,medium,2026-01-22,2026-03-16,open,17.4,37.7
DEF-00000213,INS-0000453,AST-MKY-TRA-003161,vegetation_clearance,high,2026-05-13,2026-09-19,open,35.2,46.8
DEF-00000214,INS-0000455,AST-TSV-CON-003934,access_blocked,high,2025-02-08,2025-07-19,open,37.2,59.0
DEF-00000215,INS-0000457,AST-MKY-SEC-003175,leaning_pole,high,2025-09-01,2026-02-12,open,50.9,52.2
DEF-00000216,INS-0000457,AST-MKY-SEC-003175,conductor_sag,medium,2025-09-01,2025-09-23,planned,27.2,20.6
DEF-00000217,INS-0000468,AST-CQI-POL-005413,leaning_pole,high,2025-12-11,2026-04-18,open,22.7,50.2
DEF-00000218,INS-0000469,AST--RW-POL-006582,termite_damage,critical,2025-06-01,2025-07-12,closed,34.2,71.9
DEF-00000219,INS-0000472,AST--RW-POL-007199,access_blocked,low,2024-11-29,2025-02-03,open,33.4,52.3
DEF-00000220,INS-0000473,AST-CQI-TRA-005729,conductor_sag,low,2025-01-10,2025-03-22,open,20.0,30.2
DEF-00000221,INS-0000473,AST-CQI-TRA-005729,crossarm_corrosion,medium,2025-01-10,2025-06-27,open,9.0,47.8
DEF-00000222,INS-0000476,AST-MKY-REC-002969,insulator_damage,medium,2025-11-01,2026-02-08,open,29.1,24.2
