hazard_zone_id,region_id,hazard_type,zone_name,lat,lon,radius_km,severity_score,seasonal_window
HZN-000041,REG-MKY,cyclone,Mackay cyclone Zone 1,-21.479351,148.954918,22.3,60.4,Nov-Apr
HZN-000042,REG-MKY,heat,Proserpine heat Zone 2,-20.543066,148.298879,5.5,63.0,Aug-Nov
HZN-000043,REG-MKY,cyclone,Bowen cyclone Zone 3,-19.570164,147.875999,26.1,50.9,Dec-Mar
HZN-000044,REG-MKY,cyclone,Airlie Beach cyclone Zone 4,-19.940823,148.912728,10.7,28.1,Nov-Apr
HZN-000045,REG-MKY,storm,Airlie Beach storm Zone 5,-20.312936,148.937264,15.1,59.1,Nov-Apr
HZN-000046,REG-MKY,cyclone,Airlie Beach cyclone Zone 6,-19.988828,148.965558,21.9,56.0,Dec-Mar
HZN-000047,REG-MKY,flood,Mackay flood Zone 7,-21.149664,148.908657,32.6,66.1,Aug-Nov
HZN-000048,REG-MKY,coastal_corrosion,Mackay coastal_corrosion Zone 8,-21.547463,149.088057,15.3,76.5,Dec-Mar
HZN-000049,REG-MKY,cyclone,Proserpine cyclone Zone 9,-20.530546,148.488323,25.1,78.6,Dec-Mar
HZN-000050,REG-MKY,cyclone,Airlie Beach cyclone Zone 10,-20.409956,148.320421,19.2,58.6,year_round
HZN-000051,REG-MKY,cyclone,Mackay cyclone Zone 11,-21.529982,149.388473,22.6,38.8,Nov-Apr
HZN-000052,REG-MKY,cyclone,Airlie Beach cyclone Zone 12,-20.112072,148.327087,4.9,33.2,Aug-Nov
HZN-000053,REG-MKY,bushfire,Bowen bushfire Zone 13,-20.109256,148.426356,5.2,51.0,Aug-Nov
HZN-000054,REG-MKY,cyclone,Airlie Beach cyclone Zone 14,-20.679953,148.449733,10.3,81.0,year_round
HZN-000055,REG-MKY,cyclone,Mackay cyclone Zone 15,-21.586719,148.79225,14.4,45.0,Dec-Mar
HZN-000056,REG-MKY,cyclone,Airlie Beach cyclone Zone 16,-20.256017,148.939868,32.9,55.5,Nov-Apr
HZN-000057,REG-MKY,cyclone,Airlie Beach cyclone Zone 17,-20.703487,148.949676,13.3,22.6,Nov-Apr
HZN-000058,REG-MKY,bushfire,Mackay bushfire Zone 18,-21.059171,148.855906,5.5,60.9,Dec-Mar
HZN-000059,REG-MKY,cyclone,Proserpine cyclone Zone 19,-20.090353,148.664896,23.2,39.0,year_round
HZN-000060,REG-MKY,cyclone,Mackay cyclone Zone 20,-21.542092,148.941013,30.1,30.8,year_round
HZN-000061,REG-MKY,storm,Airlie Beach storm Zone 21,-19.963519,148.401818,5.7,76.4,year_round
HZN-000062,REG-MKY,cyclone,Proserpine cyclone Zone 22,-20.325206,148.232759,12.3,52.1,Dec-Mar
HZN-000063,REG-MKY,bushfire,Mackay bushfire Zone 23,-21.443784,149.22604,17.7,80.8,year_round
HZN-000064,REG-MKY,coastal_corrosion,Bowen coastal_corrosion Zone 24,-20.078441,148.475151,33.9,90.7,year_round
HZN-000065,REG-MKY,coastal_corrosion,Bowen coastal_corrosion Zone 25,-19.962521,148.224105,4.6,40.5,Aug-Nov
HZN-000066,REG-MKY,storm,Bowen storm Zone 26,-19.933139,148.14001,21.6,59.5,Aug-Nov
HZN-000067,REG-MKY,cyclone,Airlie Beach cyclone Zone 27,-20.430596,148.294106,33.8,82.9,year_round
HZN-000068,REG-MKY,storm,Mackay storm Zone 28,-21.14383,148.862437,19.4,56.1,Nov-Apr
HZN-000069,REG-MKY,cyclone,Bowen cyclone Zone 29,-19.821664,147.884685,33.5,47.4,Aug-Nov
HZN-000070,REG-MKY,cyclone,Bowen cyclone Zone 30,-20.180989,148.384332,4.1,56.8,Dec-Mar
HZN-000071,REG-MKY,cyclone,Airlie Beach cyclone Zone 31,-20.161829,149.037311,17.5,49.7,Nov-Apr
HZN-000072,REG-MKY,heat,Bowen heat Zone 32,-19.736516,148.287377,7.5,60.3,Nov-Apr
HZN-000073,REG-MKY,storm,Bowen storm Zone 33,-20.027747,148.538485,6.5,57.7,Dec-Mar
HZN-000074,REG-MKY,cyclone,Mackay cyclone Zone 34,-20.756323,148.953805,5.8,74.2,Nov-Apr
HZN-000075,REG-MKY,coastal_corrosion,Mackay coastal_corrosion Zone 35,-21.135798,149.416921,31.1,52.5,year_round
HZN-000076,REG-MKY,coastal_corrosion,Bowen coastal_corrosion Zone 36,-19.864697,147.970405,4.0,50.4,Dec-Mar
HZN-000077,REG-MKY,heat,Airlie Beach heat Zone 37,-19.906907,149.096693,15.3,57.3,Dec-Mar
HZN-000078,REG-MKY,coastal_corrosion,Mackay coastal_corrosion Zone 38,-21.54203,149.141034,12.3,23.0,Dec-Mar
HZN-000079,REG-MKY,cyclone,Bowen cyclone Zone 39,-19.945491,148.294182,28.8,69.2,year_round
HZN-000080,REG-MKY,cyclone,Airlie Beach cyclone Zone 40,-19.839151,148.517002,18.8,54.0,Aug-Nov
HZN-000081,REG-TSV,flood,Port Douglas flood Zone 1,-16.864167,145.811632,4.7,50.4,Nov-Apr
HZN-000082,REG-TSV,storm,Ingham storm Zone 2,-18.607709,146.20534,23.3,48.5,year_round
HZN-000083,REG-TSV,flood,Cairns flood Zone 3,-17.20551,145.405126,7.0,15.0,year_round
HZN-000084,REG-TSV,storm,Ingham storm Zone 4,-19.032191,145.950764,7.9,23.7,Nov-Apr
HZN-000085,REG-TSV,coastal_corrosion,Port Douglas coastal_corrosion Zone 5,-16.319279,145.878691,32.1,33.4,year_round
HZN-000086,REG-TSV,flood,Innisfail flood Zone 6,-17.612497,145.884871,34.4,74.8,Dec-Mar
HZN-000087,REG-TSV,heat,Port Douglas heat Zone 7,-16.652072,145.07461,34.0,55.6,Aug-Nov
HZN-000088,REG-TSV,cyclone,Port Douglas cyclone Zone 8,-16.51137,145.779124,27.3,58.6,Dec-Mar
HZN-000089,REG-TSV,coastal_corrosion,Port Douglas coastal_corrosion Zone 9,-16.060802,145.535749,29.3,57.5,year_round
HZN-000090,REG-TSV,bushfire,Ingham bushfire Zone 10,-18.480878,146.565028,16.8,33.2,Dec-Mar
HZN-000091,REG-TSV,cyclone,Port Douglas cyclone Zone 11,-16.742819,145.218013,13.7,63.8,Dec-Mar
HZN-000092,REG-TSV,bushfire,Cairns bushfire Zone 12,-17.121476,145.506319,17.4,30.5,Nov-Apr
HZN-000093,REG-TSV,heat,Innisfail heat Zone 13,-17.279603,146.169066,32.7,46.3,Nov-Apr
HZN-000094,REG-TSV,cyclone,Ingham cyclone Zone 14,-18.262266,146.008797,12.5,69.6,Nov-Apr
HZN-000095,REG-TSV,cyclone,Innisfail cyclone Zone 15,-17.377816,146.209753,29.6,67.8,Nov-Apr
HZN-000096,REG-TSV,bushfire,Townsville bushfire Zone 16,-19.026731,146.372996,26.6,57.8,Aug-Nov
HZN-000097,REG-TSV,storm,Innisfail storm Zone 17,-17.474292,146.141694,33.6,80.0,Dec-Mar
HZN-000098,REG-TSV,coastal_corrosion,Townsville coastal_corrosion Zone 18,-19.126683,146.409246,34.9,61.1,year_round
HZN-000099,REG-TSV,coastal_corrosion,Townsville coastal_corrosion Zone 19,-19.478285,147.151966,26.0,80.4,Nov-Apr
HZN-000100,REG-TSV,cyclone,Cairns cyclone Zone 20,-17.115683,146.108158,13.8,78.3,Dec-Mar
HZN-000101,REG-TSV,flood,Ingham flood Zone 21,-18.827167,146.279605,11.5,81.0,Nov-Apr
HZN-000102,REG-TSV,flood,Townsville flood Zone 22,-19.052305,146.679457,34.8,16.5,year_round
HZN-000103,REG-TSV,flood,Port Douglas flood Zone 23,-16.889662,145.04452,8.9,46.2,Aug-Nov
HZN-000104,REG-TSV,flood,Innisfail flood Zone 24,-17.081223,145.732355,19.6,64.6,Aug-Nov
HZN-000105,REG-TSV,cyclone,Cairns cyclone Zone 25,-17.092448,145.763142,8.4,8.2,Aug-Nov
HZN-000106,REG-TSV,coastal_corrosion,Cairns coastal_corrosion Zone 26,-17.249071,146.199553,18.4,52.1,Dec-Mar
HZN-000107,REG-TSV,flood,Ingham flood Zone 27,-18.609447,146.36412,29.3,53.2,Aug-Nov
HZN-000108,REG-TSV,flood,Innisfail flood Zone 28,-17.501114,146.146822,31.2,57.2,Dec-Mar
HZN-000109,REG-TSV,flood,Innisfail flood Zone 29,-17.855539,145.867944,3.2,86.2,Dec-Mar
HZN-000110,REG-TSV,flood,Ingham flood Zone 30,-19.071596,146.051809,15.1,74.5,Dec-Mar
HZN-000111,REG-TSV,coastal_corrosion,Ingham coastal_corrosion Zone 31,-18.607195,145.790471,20.1,69.3,year_round
HZN-000112,REG-TSV,cyclone,Innisfail cyclone Zone 32,-17.088667,146.004941,7.4,84.6,Aug-Nov
HZN-000113,REG-TSV,storm,Port Douglas storm Zone 33,-16.203418,145.397652,27.1,58.2,Nov-Apr
HZN-000114,REG-TSV,cyclone,Townsville cyclone Zone 34,-18.842505,146.550342,14.8,21.5,year_round
HZN-000115,REG-TSV,heat,Port Douglas heat Zone 35,-16.261493,145.73209,26.6,65.9,Aug-Nov
HZN-000116,REG-TSV,storm,Cairns storm Zone 36,-16.589925,145.791146,11.0,47.2,Dec-Mar
HZN-000117,REG-TSV,cyclone,Ingham cyclone Zone 37,-18.289277,145.928935,16.4,58.2,Nov-Apr
HZN-000118,REG-TSV,bushfire,Port Douglas bushfire Zone 38,-16.847357,145.520412,12.3,31.0,Nov-Apr
HZN-000119,REG-TSV,cyclone,Ingham cyclone Zone 39,-18.200306,146.377301,32.2,62.9,Aug-Nov
HZN-000120,REG-TSV,flood,Innisfail flood Zone 40,-17.459719,145.601298,26.2,29.9,year_round
HZN-000121,REG-CQI,heat,Emerald heat Zone 1,-23.918891,148.168089,4.1,22.1,Aug-Nov
HZN-000122,REG-CQI,heat,Gladstone heat Zone 2,-23.767778,151.375977,3.2,47.6,Aug-Nov
HZN-000123,REG-CQI,flood,Rockhampton flood Zone 3,-23.387461,150.789222,20.9,17.2,Dec-Mar
HZN-000124,REG-CQI,coastal_corrosion,Emerald coastal_corrosion Zone 4,-23.849387,148.575128,20.8,72.0,Dec-Mar
HZN-000125,REG-CQI,bushfire,Rockhampton bushfire Zone 5,-23.522384,150.604687,15.1,45.4,Nov-Apr
HZN-000126,REG-CQI,heat,Gladstone heat Zone 6,-23.97045,151.088042,18.3,63.9,Aug-Nov
HZN-000127,REG-CQI,cyclone,Rockhampton cyclone Zone 7,-23.76888,150.587405,6.0,37.3,Dec-Mar
HZN-000128,REG-CQI,storm,Emerald storm Zone 8,-23.932967,148.590426,10.1,66.9,Aug-Nov
HZN-000129,REG-CQI,bushfire,Emerald bushfire Zone 9,-23.480242,147.784924,23.6,72.9,Aug-Nov
HZN-000130,REG-CQI,cyclone,Emerald cyclone Zone 10,-23.173867,148.142927,10.0,42.3,year_round
HZN-000131,REG-CQI,coastal_corrosion,Rockhampton coastal_corrosion Zone 11,-22.996178,150.761751,12.7,12.1,year_round
HZN-000132,REG-CQI,flood,Rockhampton flood Zone 12,-22.968275,150.58645,18.1,33.1,Nov-Apr
HZN-000133,REG-CQI,coastal_corrosion,Emerald coastal_corrosion Zone 13,-23.597832,148.366981,21.9,38.1,Aug-Nov
HZN-000134,REG-CQI,storm,Gladstone storm Zone 14,-24.110631,150.984495,23.0,76.8,Aug-Nov
HZN-000135,REG-CQI,storm,Rockhampton storm Zone 15,-23.194781,150.48673,23.6,56.8,Nov-Apr
HZN-000136,REG-CQI,storm,Emerald storm Zone 16,-23.593567,148.105552,12.6,66.4,Nov-Apr
HZN-000137,REG-CQI,heat,Emerald heat Zone 17,-23.155508,148.419619,12.2,59.8,Dec-Mar
HZN-000138,REG-CQI,flood,Gladstone flood Zone 18,-23.71759,150.874188,34.1,40.0,Nov-Apr
HZN-000139,REG-CQI,cyclone,Rockhampton cyclone Zone 19,-23.509123,150.857682,14.0,42.5,year_round
HZN-000140,REG-CQI,cyclone,Emerald cyclone Zone 20,-23.843051,148.296071,25.3,51.5,year_round
HZN-000141,REG-CQI,storm,Gladstone storm Zone 21,-23.642101,151.169673,31.8,73.9,Aug-Nov
HZN-000142,REG-CQI,flood,Gladstone flood Zone 22,-23.732209,151.352307,7.7,33.5,year_round
HZN-000143,REG-CQI,bushfire,Emerald bushfire Zone 23,-23.14696,148.529641,6.2,67.7,Dec-Mar
HZN-000144,REG-CQI,coastal_corrosion,Emerald coastal_corrosion Zone 24,-23.521501,148.192954,33.0,78.8,year_round
HZN-000145,REG-CQI,bushfire,Emerald bushfire Zone 25,-23.203241,147.823923,21.9,54.6,Nov-Apr
HZN-000146,REG-CQI,flood,Emerald flood Zone 26,-23.095223,147.835596,5.5,63.4,Dec-Mar
HZN-000147,REG-CQI,heat,Gladstone heat Zone 27,-23.875982,151.271382,19.6,46.2,Aug-Nov
HZN-000148,REG-CQI,heat,Gladstone heat Zone 28,-23.572534,151.389654,20.7,46.5,Dec-Mar
HZN-000149,REG-CQI,flood,Rockhampton flood Zone 29,-23.538552,150.344399,24.8,52.8,year_round
HZN-000150,REG-CQI,cyclone,Gladstone cyclone Zone 30,-24.058904,151.25456,32.6,49.8,Aug-Nov
HZN-000151,REG-CQI,storm,Gladstone storm Zone 31,-23.636819,151.191226,11.7,72.3,Aug-Nov
HZN-000152,REG-CQI,bushfire,Emerald bushfire Zone 32,-23.484285,148.136174,28.2,77.9,Aug-Nov
HZN-000153,REG-CQI,storm,Gladstone storm Zone 33,-23.804972,151.475076,34.0,29.1,Dec-Mar
HZN-000154,REG-CQI,flood,Emerald flood Zone 34,-23.084966,148.515229,3.6,64.6,Nov-Apr
HZN-000155,REG-CQI,cyclone,Gladstone cyclone Zone 35,-23.81423,151.603536,21.6,74.1,year_round
HZN-000156,REG-CQI,storm,Gladstone storm Zone 36,-23.735501,151.520037,9.0,61.4,Dec-Mar
HZN-000157,REG-CQI,flood,Emerald flood Zone 37,-23.662133,148.582664,14.5,29.0,year_round
HZN-000158,REG-CQI,storm,Rockhampton storm Zone 38,-23.585908,150.241919,4.2,87.8,Dec-Mar
HZN-000159,REG-CQI,flood,Gladstone flood Zone 39,-23.482804,150.875466,29.1,66.1,year_round
HZN-000160,REG-CQI,flood,Gladstone flood Zone 40,-23.857569,151.140469,8.8,96.3,year_round
HZN-000161,REG-RW,coastal_corrosion,Roma coastal_corrosion Zone 1,-26.693825,149.155107,10.0,66.5,Nov-Apr
HZN-000162,REG-RW,heat,Roma heat Zone 2,-26.294654,149.18879,14.7,35.1,year_round
HZN-000163,REG-RW,bushfire,Mount Isa bushfire Zone 3,-20.582844,139.798128,27.1,25.3,year_round
HZN-000164,REG-RW,heat,Winton heat Zone 4,-22.063957,143.259037,10.7,77.0,year_round
HZN-000165,REG-RW,bushfire,Longreach bushfire Zone 5,-23.721439,144.558263,16.3,67.6,Nov-Apr
HZN-000166,REG-RW,storm,Winton storm Zone 6,-22.285125,142.875226,7.7,57.8,year_round
HZN-000167,REG-RW,storm,Roma storm Zone 7,-26.529316,149.22124,20.0,41.1,Aug-Nov
HZN-000168,REG-RW,bushfire,Roma bushfire Zone 8,-26.1505,149.233677,19.6,35.6,year_round
HZN-000169,REG-RW,bushfire,Winton bushfire Zone 9,-21.944276,143.306957,9.6,44.5,Aug-Nov
HZN-000170,REG-RW,bushfire,Winton bushfire Zone 10,-22.03988,143.243308,4.2,61.4,Dec-Mar
HZN-000171,REG-RW,bushfire,Mount Isa bushfire Zone 11,-20.57673,139.77896,11.4,59.8,year_round
HZN-000172,REG-RW,bushfire,Longreach bushfire Zone 12,-23.6078,144.430093,26.9,61.3,Dec-Mar
HZN-000173,REG-RW,heat,Longreach heat Zone 13,-23.012773,144.003228,20.8,39.1,Dec-Mar
HZN-000174,REG-RW,flood,Winton flood Zone 14,-22.692945,143.195653,18.8,23.2,Dec-Mar
HZN-000175,REG-RW,cyclone,Winton cyclone Zone 15,-22.276252,143.420916,26.8,79.5,year_round
HZN-000176,REG-RW,bushfire,Mount Isa bushfire Zone 16,-20.885769,139.046979,22.2,53.7,year_round
HZN-000177,REG-RW,flood,Charleville flood Zone 17,-26.170045,146.19307,4.3,75.6,Dec-Mar
HZN-000178,REG-RW,coastal_corrosion,Longreach coastal_corrosion Zone 18,-23.08791,144.478637,32.0,42.5,Aug-Nov
HZN-000179,REG-RW,flood,Winton flood Zone 19,-22.185549,142.752498,18.6,67.9,year_round
HZN-000180,REG-RW,bushfire,Charleville bushfire Zone 20,-26.531633,146.578772,25.8,87.2,Nov-Apr
HZN-000181,REG-RW,bushfire,Longreach bushfire Zone 21,-23.478751,144.434993,25.9,46.2,Aug-Nov
HZN-000182,REG-RW,bushfire,Winton bushfire Zone 22,-22.625425,143.028358,31.2,35.4,Nov-Apr
HZN-000183,REG-RW,coastal_corrosion,Roma coastal_corrosion Zone 23,-26.795687,148.709773,33.4,64.7,Nov-Apr
HZN-000184,REG-RW,coastal_corrosion,Winton coastal_corrosion Zone 24,-22.335985,142.887746,24.4,56.1,Dec-Mar
HZN-000185,REG-RW,bushfire,Longreach bushfire Zone 25,-23.121185,144.28123,16.2,47.9,Aug-Nov
HZN-000186,REG-RW,cyclone,Winton cyclone Zone 26,-22.763673,143.416712,14.5,35.3,Aug-Nov
HZN-000187,REG-RW,bushfire,Mount Isa bushfire Zone 27,-20.314948,139.856464,23.6,72.2,year_round
HZN-000188,REG-RW,bushfire,Longreach bushfire Zone 28,-23.611343,144.465408,10.5,42.6,Dec-Mar
HZN-000189,REG-RW,heat,Mount Isa heat Zone 29,-21.060334,139.339684,13.2,39.9,Dec-Mar
HZN-000190,REG-RW,bushfire,Charleville bushfire Zone 30,-26.108425,145.984475,30.9,18.7,Dec-Mar
HZN-000191,REG-RW,bushfire,Winton bushfire Zone 31,-22.39969,142.849263,14.8,70.4,year_round
HZN-000192,REG-RW,flood,Mount Isa flood Zone 32,-20.818879,139.249519,7.5,34.8,Aug-Nov
HZN-000193,REG-RW,storm,Roma storm Zone 33,-26.424556,148.758488,13.0,68.5,Nov-Apr
HZN-000194,REG-RW,bushfire,Winton bushfire Zone 34,-22.610761,143.468107,10.3,41.6,year_round
HZN-000195,REG-RW,cyclone,Longreach cyclone Zone 35,-23.84464,143.895258,24.9,39.3,Aug-Nov
HZN-000196,REG-RW,heat,Mount Isa heat Zone 36,-21.033088,139.10596,22.0,53.4,year_round
HZN-000197,REG-RW,cyclone,Mount Isa cyclone Zone 37,-21.068183,139.400528,17.6,52.7,Dec-Mar
HZN-000198,REG-RW,flood,Charleville flood Zone 38,-26.699559,145.972171,34.0,70.5,Dec-Mar
HZN-000199,REG-RW,coastal_corrosion,Roma coastal_corrosion Zone 39,-26.214124,148.906259,17.5,81.0,Aug-Nov
HZN-000200,REG-RW,storm,Longreach storm Zone 40,-23.076637,143.988414,3.4,56.3,year_round
