candidate_id,feeder_id,region_id,site_name,lat,lon,connection_ready,customer_impact_reduction_score,access_difficulty_score,recommended_unit_size_kva
MGC-00020,FDR--RW-0127,REG-RW,Roma Mobile Gen Site 20,-26.616243,148.740093,True,32.8,38.4,500
MGC-00021,FDR--RW-0125,REG-RW,Mount Isa Mobile Gen Site 21,-20.766348,139.456985,False,70.1,38.1,250
MGC-00022,FDR--RW-0124,REG-RW,Roma Mobile Gen Site 22,-26.532585,148.756458,True,48.4,44.7,2000
MGC-00023,FDR--RW-0120,REG-RW,Roma Mobile Gen Site 23,-26.572569,148.812848,True,40.4,42.1,100
MGC-00024,FDR-TSV-0088,REG-TSV,Innisfail Mobile Gen Site 24,-17.548192,145.989557,False,55.9,46.8,1500
MGC-00025,FDR-SEQ-0016,REG-SEQ,Redcliffe Mobile Gen Site 25,-27.449478,152.975247,False,55.9,38.9,1500
MGC-00026,FDR-SEQ-0038,REG-SEQ,Ipswich Mobile Gen Site 26,-27.660942,152.764806,True,56.5,56.7,1000
MGC-00027,FDR--RW-0114,REG-RW,Longreach Mobile Gen Site 27,-23.429138,144.201106,True,67.8,20.5,250
MGC-00028,FDR--RW-0124,REG-RW,Mount Isa Mobile Gen Site 28,-20.694055,139.519411,True,56.4,41.0,1000
MGC-00029,FDR-CQI-0103,REG-CQI,Rockhampton Mobile Gen Site 29,-23.402586,150.423428,True,65.2,48.6,1500
MGC-00030,FDR-MKY-0050,REG-MKY,Proserpine Mobile Gen Site 30,-20.419891,148.499237,False,28.8,52.2,500
MGC-00031,FDR--RW-0119,REG-RW,Longreach Mobile Gen Site 31,-23.450167,144.217494,True,50.1,8.1,100
MGC-00032,FDR--RW-0111,REG-RW,Roma Mobile Gen Site 32,-26.581690,148.765536,True,57.6,47.6,250
MGC-00033,FDR-TSV-0078,REG-TSV,Ingham Mobile Gen Site 33,-18.639368,146.108039,True,54.8,48.0,1500
MGC-00034,FDR-MKY-0063,REG-MKY,Bowen Mobile Gen Site 34,-20.354801,148.526611,False,64.5,44.6,2000
MGC-00035,FDR-SEQ-0042,REG-SEQ,Brisbane Mobile Gen Site 35,-27.462798,152.954344,True,45.8,19.9,750
MGC-00036,FDR-CQI-0092,REG-CQI,Emerald Mobile Gen Site 36,-23.503272,148.181806,False,46.7,30.2,1500
MGC-00037,FDR-MKY-0053,REG-MKY,Mackay Mobile Gen Site 37,-21.390693,149.240149,True,67.5,21.3,250
MGC-00038,FDR-TSV-0067,REG-TSV,Ingham Mobile Gen Site 38,-18.646662,146.090230,False,61.0,43.2,500
MGC-00039,FDR-MKY-0051,REG-MKY,Bowen Mobile Gen Site 39,-20.013955,148.213057,True,58.2,31.9,750
MGC-00040,FDR-CQI-0092,REG-CQI,Gladstone Mobile Gen Site 40,-23.831332,151.144681,True,73.8,26.2,100
MGC-00041,FDR-MKY-0064,REG-MKY,Bowen Mobile Gen Site 41,-19.969026,148.150052,False,66.7,26.0,1000
MGC-00042,FDR--RW-0126,REG-RW,Mount Isa Mobile Gen Site 42,-20.690149,139.519487,True,60.3,58.5,100
MGC-00043,FDR-MKY-0044,REG-MKY,Proserpine Mobile Gen Site 43,-20.365911,148.503473,True,45.0,55.1,1500
MGC-00044,FDR-MKY-0063,REG-MKY,Proserpine Mobile Gen Site 44,-20.408220,148.583374,False,32.8,71.9,500
MGC-00045,FDR-TSV-0076,REG-TSV,Cairns Mobile Gen Site 45,-16.920205,145.737068,True,60.6,42.5,1500
MGC-00046,FDR-TSV-0068,REG-TSV,Innisfail Mobile Gen Site 46,-17.518371,146.002167,True,61.9,48.6,1000
MGC-00047,FDR-SEQ-0030,REG-SEQ,Redcliffe Mobile Gen Site 47,-27.508848,152.949151,True,23.1,50.7,750
MGC-00048,FDR-CQI-0096,REG-CQI,Rockhampton Mobile Gen Site 48,-23.349051,150.458733,True,41.0,54.3,750
MGC-00049,FDR-TSV-0065,REG-TSV,Townsville Mobile Gen Site 49,-19.287128,146.683062,True,47.3,57.7,1000
MGC-00050,FDR-CQI-0091,REG-CQI,Gladstone Mobile Gen Site 50,-23.861979,151.198485,True,27.6,58.8,100
MGC-00051,FDR--RW-0114,REG-RW,Mount Isa Mobile Gen Site 51,-20.763412,139.514702,False,49.1,54.9,1500
MGC-00052,FDR-MKY-0048,REG-MKY,Mackay Mobile Gen Site 52,-21.442422,149.235630,False,49.3,52.7,1500
MGC-00053,FDR-TSV-0075,REG-TSV,Cairns Mobile Gen Site 53,-16.892683,145.731821,False,89.4,46.7,2000
MGC-00054,FDR--RW-0124,REG-RW,Charleville Mobile Gen Site 54,-26.408297,146.239587,True,64.6,38.9,750
MGC-00055,FDR-MKY-0054,REG-MKY,Mackay Mobile Gen Site 55,-21.096584,149.111167,False,28.7,68.6,100
MGC-00056,FDR-CQI-0089,REG-CQI,Emerald Mobile Gen Site 56,-23.487318,148.177864,False,69.9,61.4,500
MGC-00057,FDR--RW-0119,REG-RW,Charleville Mobile Gen Site 57,-26.381098,146.285783,False,35.2,18.0,250
MGC-00058,FDR-TSV-0077,REG-TSV,Townsville Mobile Gen Site 58,-19.256129,146.810132,True,62.9,43.2,1000
MGC-00059,FDR--RW-0128,REG-RW,Winton Mobile Gen Site 59,-22.397681,142.995649,True,44.9,69.5,1500
MGC-00060,FDR-TSV-0070,REG-TSV,Ingham Mobile Gen Site 60,-18.622915,146.126970,False,41.2,48.7,1000
MGC-00061,FDR-SEQ-0017,REG-SEQ,Brisbane Mobile Gen Site 61,-27.609140,153.104511,False,79.5,26.3,250
MGC-00062,FDR-MKY-0062,REG-MKY,Bowen Mobile Gen Site 62,-20.016234,148.219318,False,46.6,34.9,1500
MGC-00063,FDR-CQI-0107,REG-CQI,Rockhampton Mobile Gen Site 63,-23.372643,150.465394,True,53.5,45.1,100
MGC-00064,FDR-MKY-0045,REG-MKY,Airlie Beach Mobile Gen Site 64,-20.380623,148.529116,True,53.1,27.1,1500
MGC-00065,FDR-TSV-0088,REG-TSV,Innisfail Mobile Gen Site 65,-17.476857,145.908151,True,82.3,64.6,1000
MGC-00066,FDR-TSV-0080,REG-TSV,Townsville Mobile Gen Site 66,-19.290289,146.757497,True,51.2,61.4,500
MGC-00067,FDR-TSV-0071,REG-TSV,Innisfail Mobile Gen Site 67,-17.528117,145.987256,True,88.3,52.3,2000
MGC-00068,FDR-MKY-0043,REG-MKY,Proserpine Mobile Gen Site 68,-20.434413,148.521158,True,58.2,56.6,750
MGC-00069,FDR-TSV-0071,REG-TSV,Innisfail Mobile Gen Site 69,-17.505633,145.987090,True,33.4,32.5,750
MGC-00070,FDR--RW-0124,REG-RW,Winton Mobile Gen Site 70,-22.422174,143.020321,True,72.7,23.0,750
MGC-00071,FDR--RW-0126,REG-RW,Charleville Mobile Gen Site 71,-26.433837,146.203534,True,63.7,46.2,2000
MGC-00072,FDR-SEQ-0042,REG-SEQ,Brisbane Mobile Gen Site 72,-27.450216,152.991611,True,43.0,45.7,750
MGC-00073,FDR-CQI-0104,REG-CQI,Gladstone Mobile Gen Site 73,-23.847291,151.215395,True,33.2,64.2,750
MGC-00074,FDR--RW-0123,REG-RW,Roma Mobile Gen Site 74,-26.552408,148.829091,True,18.4,31.5,1000
MGC-00075,FDR--RW-0126,REG-RW,Mount Isa Mobile Gen Site 75,-20.721660,139.484575,True,66.9,31.3,1500
MGC-00076,FDR-MKY-0048,REG-MKY,Airlie Beach Mobile Gen Site 76,-20.369629,148.505603,False,66.6,37.9,500
MGC-00077,FDR-TSV-0083,REG-TSV,Port Douglas Mobile Gen Site 77,-16.966597,145.707920,True,38.9,34.0,500
MGC-00078,FDR--RW-0116,REG-RW,Mount Isa Mobile Gen Site 78,-20.685369,139.465475,False,69.7,34.2,1500
MGC-00079,FDR-MKY-0060,REG-MKY,Proserpine Mobile Gen Site 79,-20.398924,148.540295,True,61.4,34.8,1000
MGC-00080,FDR-CQI-0107,REG-CQI,Emerald Mobile Gen Site 80,-23.551800,148.147379,True,60.2,45.7,2000
MGC-00081,FDR-CQI-0093,REG-CQI,Emerald Mobile Gen Site 81,-23.556231,148.123147,True,97.8,24.0,1000
MGC-00082,FDR-MKY-0062,REG-MKY,Bowen Mobile Gen Site 82,-20.050185,148.133542,True,35.3,36.7,2000
MGC-00083,FDR-CQI-0102,REG-CQI,Emerald Mobile Gen Site 83,-23.567070,148.178344,True,48.6,57.4,250
MGC-00084,FDR-TSV-0080,REG-TSV,Townsville Mobile Gen Site 84,-19.271029,146.801093,False,47.1,61.6,2000
MGC-00085,FDR-TSV-0075,REG-TSV,Innisfail Mobile Gen Site 85,-17.552479,145.899263,False,52.1,30.6,250
MGC-00086,FDR-TSV-0070,REG-TSV,Ingham Mobile Gen Site 86,-18.628096,146.088800,True,63.6,50.1,2000
MGC-00087,FDR--RW-0114,REG-RW,Charleville Mobile Gen Site 87,-26.409109,146.271309,False,51.3,39.0,250
MGC-00088,FDR-CQI-0106,REG-CQI,Rockhampton Mobile Gen Site 88,-23.409677,150.483775,True,56.8,29.1,100
MGC-00089,FDR--RW-0121,REG-RW,Charleville Mobile Gen Site 89,-26.416803,146.256368,False,71.0,37.0,1500
MGC-00090,FDR-CQI-0104,REG-CQI,Emerald Mobile Gen Site 90,-23.498196,148.116685,False,42.0,36.9,250
MGC-00091,FDR-MKY-0046,REG-MKY,Airlie Beach Mobile Gen Site 91,-20.409235,148.497297,False,36.2,35.0,250
MGC-00092,FDR--RW-0119,REG-RW,Winton Mobile Gen Site 92,-22.387531,143.008699,True,67.6,62.7,100
MGC-00093,FDR-MKY-0055,REG-MKY,Airlie Beach Mobile Gen Site 93,-20.398882,148.589808,False,51.2,80.8,2000
MGC-00094,FDR--RW-0114,REG-RW,Mount Isa Mobile Gen Site 94,-20.713857,139.526428,True,31.9,40.5,100
MGC-00095,FDR-TSV-0077,REG-TSV,Ingham Mobile Gen Site 95,-18.698619,146.112681,False,75.9,34.9,250
MGC-00096,FDR-CQI-0091,REG-CQI,Gladstone Mobile Gen Site 96,-23.792630,151.204696,True,94.2,47.3,100
MGC-00097,FDR-CQI-0108,REG-CQI,Gladstone Mobile Gen Site 97,-23.830403,151.195156,True,60.8,49.9,1500
MGC-00098,FDR-TSV-0080,REG-TSV,Ingham Mobile Gen Site 98,-18.671474,146.180062,True,69.7,29.0,750
MGC-00099,FDR-MKY-0056,REG-MKY,Airlie Beach Mobile Gen Site 99,-20.401877,148.502527,True,36.4,49.2,500
MGC-00100,FDR-MKY-0064,REG-MKY,Mackay Mobile Gen Site 100,-21.139608,149.142351,True,67.6,42.2,1500
MGC-00101,FDR--RW-0117,REG-RW,Roma Mobile Gen Site 101,-26.558149,148.833857,False,67.0,59.0,100
MGC-00102,FDR-CQI-0094,REG-CQI,Emerald Mobile Gen Site 102,-23.531659,148.113861,True,43.1,50.0,1500
MGC-00103,FDR--RW-0116,REG-RW,Winton Mobile Gen Site 103,-22.375035,143.008272,True,43.7,46.4,100
MGC-00104,FDR-MKY-0064,REG-MKY,Proserpine Mobile Gen Site 104,-20.441417,148.530937,True,69.3,82.0,2000
MGC-00105,FDR-TSV-0069,REG-TSV,Port Douglas Mobile Gen Site 105,-17.027830,145.430570,True,67.6,71.8,250
MGC-00106,FDR--RW-0121,REG-RW,Roma Mobile Gen Site 106,-26.548692,148.797927,True,60.5,64.0,2000
MGC-00107,FDR-SEQ-0027,REG-SEQ,Redcliffe Mobile Gen Site 107,-27.654645,153.116848,False,32.3,68.6,250
MGC-00108,FDR-TSV-0075,REG-TSV,Townsville Mobile Gen Site 108,-19.280571,146.690188,True,35.4,35.5,100
MGC-00109,FDR-SEQ-0036,REG-SEQ,Gold Coast Mobile Gen Site 109,-27.958296,153.362393,True,62.6,51.6,500
MGC-00110,FDR-MKY-0053,REG-MKY,Bowen Mobile Gen Site 110,-20.018266,148.168465,False,39.7,47.7,100
MGC-00111,FDR-TSV-0068,REG-TSV,Port Douglas Mobile Gen Site 111,-16.948104,145.670225,False,1,50.1,2000
MGC-00112,FDR-TSV-0080,REG-TSV,Cairns Mobile Gen Site 112,-16.900835,145.718090,True,53.9,60.8,500
MGC-00113,FDR-TSV-0071,REG-TSV,Townsville Mobile Gen Site 113,-19.290798,146.784346,False,25.5,35.0,100
MGC-00114,FDR-TSV-0088,REG-TSV,Innisfail Mobile Gen Site 114,-16.921162,145.692486,True,64.6,27.4,1500
MGC-00115,FDR-CQI-0100,REG-CQI,Gladstone Mobile Gen Site 115,-23.868335,151.180783,True,54.5,25.2,1000
MGC-00116,FDR-CQI-0094,REG-CQI,Rockhampton Mobile Gen Site 116,-23.363840,150.384690,False,56.7,26.5,1500
MGC-00117,FDR-CQI-0107,REG-CQI,Rockhampton Mobile Gen Site 117,-23.398900,150.436549,False,61.9,41.5,750
MGC-00118,FDR-TSV-0084,REG-TSV,Port Douglas Mobile Gen Site 118,-17.028018,145.460510,True,68.2,35.4,500
MGC-00119,FDR--RW-0118,REG-RW,Charleville Mobile Gen Site 119,-26.455877,146.204789,True,23.7,22.7,500
MGC-00120,FDR-MKY-0061,REG-MKY,Mackay Mobile Gen Site 120,-21.136669,149.136821,False,83.3,43.8,2000
MGC-00121,FDR--RW-0115,REG-RW,Roma Mobile Gen Site 121,-26.534232,148.774479,False,51.3,53.0,750
MGC-00122,FDR-TSV-0075,REG-TSV,Ingham Mobile Gen Site 122,-18.697579,146.099596,True,72.4,66.3,500
MGC-00123,FDR-SEQ-0020,REG-SEQ,Ipswich Mobile Gen Site 123,-27.580889,152.775045,False,75.5,39.5,1000
MGC-00124,FDR-CQI-0092,REG-CQI,Emerald Mobile Gen Site 124,-23.524448,148.175524,True,58.9,49.1,100
MGC-00125,FDR-MKY-0064,REG-MKY,Airlie Beach Mobile Gen Site 125,-20.395079,148.577239,True,74.8,24.5,100
MGC-00126,FDR--RW-0119,REG-RW,Mount Isa Mobile Gen Site 126,-20.689268,139.502985,False,24.5,38.5,1500
MGC-00127,FDR--RW-0113,REG-RW,Roma Mobile Gen Site 127,-26.559781,148.811969,True,52.0,55.8,2000
MGC-00128,FDR-TSV-0088,REG-TSV,Port Douglas Mobile Gen Site 128,-16.959060,145.665504,True,45.0,52.4,750
MGC-00129,FDR--RW-0117,REG-RW,Longreach Mobile Gen Site 129,-23.468941,144.252698,True,92.2,31.9,750
MGC-00130,FDR-MKY-0063,REG-MKY,Airlie Beach Mobile Gen Site 130,-20.352635,148.531235,False,35.8,65.9,1500
MGC-00131,FDR--RW-0121,REG-RW,Roma Mobile Gen Site 131,-26.591277,148.768504,False,52.2,35.1,500
MGC-00132,FDR-CQI-0102,REG-CQI,Rockhampton Mobile Gen Site 132,-23.392246,150.416892,True,41.2,25.4,1000
MGC-00133,FDR-MKY-0064,REG-MKY,Proserpine Mobile Gen Site 133,-20.373660,148.509805,False,65.3,66.0,500
MGC-00134,FDR--RW-0117,REG-RW,Mount Isa Mobile Gen Site 134,-20.707776,139.447649,True,52.0,28.0,2000
MGC-00135,FDR-CQI-0101,REG-CQI,Rockhampton Mobile Gen Site 135,-23.328749,150.428781,True,37.0,40.0,1000
MGC-00136,FDR-CQI-0092,REG-CQI,Rockhampton Mobile Gen Site 136,-23.350656,150.405574,True,19.4,28.9,500
MGC-00137,FDR-MKY-0044,REG-MKY,Proserpine Mobile Gen Site 137,-20.372956,148.555355,True,56.3,40.0,500
MGC-00138,FDR-CQI-0094,REG-CQI,Rockhampton Mobile Gen Site 138,-23.418991,150.445612,False,65.4,62.8,100
MGC-00139,FDR--RW-0125,REG-RW,Roma Mobile Gen Site 139,-26.539757,148.779689,True,62.7,38.4,750
MGC-00140,FDR-TSV-0068,REG-TSV,Cairns Mobile Gen Site 140,-17.023280,145.403927,False,47.8,33.3,500
MGC-00141,FDR--RW-0118,REG-RW,Roma Mobile Gen Site 141,-26.578412,148.785856,False,48.6,51.1,1000
MGC-00142,FDR-TSV-0084,REG-TSV,Cairns Mobile Gen Site 142,-16.958821,145.723683,True,76.3,32.3,1000
MGC-00143,FDR-MKY-0048,REG-MKY,Bowen Mobile Gen Site 143,-20.063855,148.227296,True,41.0,46.3,2000
MGC-00144,FDR--RW-0115,REG-RW,Winton Mobile Gen Site 144,-22.391089,143.006061,False,25.9,37.5,750
MGC-00145,FDR--RW-0116,REG-RW,Charleville Mobile Gen Site 145,-26.368319,146.244884,True,71.0,36.5,750
MGC-00146,FDR-CQI-0101,REG-CQI,Gladstone Mobile Gen Site 146,-23.812663,151.157554,True,68.9,63.1,250
MGC-00147,FDR--RW-0117,REG-RW,Longreach Mobile Gen Site 147,-23.480848,144.269610,True,48.9,52.7,2000
MGC-00148,FDR--RW-0117,REG-RW,Winton Mobile Gen Site 148,-22.362823,143.016041,True,48.1,74.1,100
MGC-00149,FDR--RW-0113,REG-RW,Mount Isa Mobile Gen Site 149,-20.706307,139.526042,True,90.4,44.6,250
MGC-00150,FDR-CQI-0108,REG-CQI,Gladstone Mobile Gen Site 150,-23.814118,151.159182,False,55.8,59.2,1000
