critical_customer_id,feeder_id,region_id,site_name,site_type,lat,lon,backup_power_status,priority_score
CCX-000060,FDR-SEQ-0032,REG-SEQ,Emergency Services Site 60,emergency_services,-27.686993,153.077327,unknown,42.9
CCX-000061,FDR-CQI-0103,REG-CQI,Aged Care Site 61,aged_care,-23.804265,151.207017,unknown,91.7
CCX-000062,FDR-SEQ-0015,REG-SEQ,Industrial Site 62,industrial,-27.125500,152.971883,full,57.8
CCX-000063,FDR-SEQ-0027,REG-SEQ,Airport Site 63,airport,-27.613771,153.126460,none,75.6
CCX-000064,FDR-SEQ-0032,REG-SEQ,Hospital Site 64,hospital,-27.582027,153.122090,full,78.2
CCX-000065,FDR-SEQ-0013,REG-SEQ,Telecom Site 65,telecom,-27.502148,153.000011,unknown,52.1
CCX-000066,FDR-SEQ-0019,REG-SEQ,Industrial Site 66,industrial,-27.093167,152.938043,none,67.9
CCX-000067,FDR-SEQ-0033,REG-SEQ,Emergency Services Site 67,emergency_services,-26.623452,152.895317,full,78.4
CCX-000068,FDR-SEQ-0041,REG-SEQ,Aged Care Site 68,aged_care,-26.665197,152.951430,full,51.6
CCX-000069,FDR-SEQ-0018,REG-SEQ,Airport Site 69,airport,-27.667037,152.814563,full,48.6
CCX-000070,FDR-SEQ-0026,REG-SEQ,Telecom Site 70,telecom,-28.028364,153.271186,none,99
CCX-000071,FDR-SEQ-0010,REG-SEQ,Hospital Site 71,hospital,-27.444095,152.987420,partial,49.9
CCX-000072,FDR-SEQ-0008,REG-SEQ,Emergency Services Site 72,emergency_services,-28.049981,153.292082,partial,68.7
CCX-000073,FDR-SEQ-0034,REG-SEQ,Industrial Site 73,industrial,-27.068724,152.975526,partial,91.3
CCX-000074,FDR-SEQ-0007,REG-SEQ,Industrial Site 74,industrial,-27.604992,152.817441,unknown,27.8
CCX-000075,FDR-CQI-0102,REG-CQI,Aged Care Site 75,aged_care,-23.822670,151.140506,none,89.7
CCX-000076,FDR-SEQ-0039,REG-SEQ,Airport Site 76,airport,-27.668153,152.765728,unknown,74.1
CCX-000077,FDR-SEQ-0007,REG-SEQ,Airport Site 77,airport,-27.464106,152.944545,partial,59.9
CCX-000078,FDR-SEQ-0025,REG-SEQ,Hospital Site 78,hospital,-27.598064,152.813769,full,64.1
CCX-000079,FDR-SEQ-0038,REG-SEQ,Industrial Site 79,industrial,-27.950606,153.302124,none,72.1
CCX-000080,FDR-SEQ-0031,REG-SEQ,Aged Care Site 80,aged_care,-27.650947,152.798299,none,65.5
CCX-000081,FDR-SEQ-0018,REG-SEQ,Water Pumping Site 81,water_pumping,-26.639826,152.870519,none,86.4
CCX-000082,FDR-SEQ-0016,REG-SEQ,Airport Site 82,airport,-27.630415,153.050377,none,94.4
CCX-000083,FDR-TSV-0067,REG-TSV,Emergency Services Site 83,emergency_services,-16.941016,145.684868,none,68.7
CCX-000084,FDR-SEQ-0021,REG-SEQ,Water Pumping Site 84,water_pumping,-27.508037,153.008557,unknown,58.3
CCX-000085,FDR-SEQ-0005,REG-SEQ,Aged Care Site 85,aged_care,-27.067646,152.920329,unknown,72.0
CCX-000086,FDR-SEQ-0010,REG-SEQ,Aged Care Site 86,aged_care,-27.436318,153.042148,partial,78.5
CCX-000087,FDR-SEQ-0022,REG-SEQ,Airport Site 87,airport,-27.956533,153.235821,partial,76.6
CCX-000088,FDR-SEQ-0013,REG-SEQ,Water Pumping Site 88,water_pumping,-27.476069,152.987627,none,77.0
CCX-000089,FDR-SEQ-0005,REG-SEQ,Industrial Site 89,industrial,-27.608679,152.787602,full,59.9
CCX-000090,FDR-SEQ-0008,REG-SEQ,Aged Care Site 90,aged_care,-27.952179,153.285443,none,54.1
CCX-000091,FDR-SEQ-0030,REG-SEQ,Water Pumping Site 91,water_pumping,-27.985894,153.289424,unknown,66.6
CCX-000092,FDR-SEQ-0020,REG-SEQ,Telecom Site 92,telecom,-27.667122,153.026556,none,56.6
CCX-000093,FDR-SEQ-0035,REG-SEQ,Airport Site 93,airport,-27.629723,153.026194,full,83.8
CCX-000094,FDR-CQI-0090,REG-CQI,Industrial Site 94,industrial,-23.414453,150.411544,partial,81.4
CCX-000095,FDR-SEQ-0039,REG-SEQ,Hospital Site 95,hospital,-27.612342,153.025425,full,81.9
CCX-000096,FDR-TSV-0076,REG-TSV,Aged Care Site 96,aged_care,-17.582146,145.879962,unknown,74.5
CCX-000097,FDR-SEQ-0025,REG-SEQ,Airport Site 97,airport,-27.429193,152.977058,partial,58.3
CCX-000098,FDR-SEQ-0034,REG-SEQ,Airport Site 98,airport,-27.035505,152.967917,partial,55.7
CCX-000099,FDR-TSV-0068,REG-TSV,Hospital Site 99,hospital,-16.894317,145.669057,unknown,70.4
CCX-000100,FDR-SEQ-0010,REG-SEQ,Airport Site 100,airport,-27.068463,152.849811,none,73.5
CCX-000101,FDR-SEQ-0025,REG-SEQ,Water Pumping Site 101,water_pumping,-27.122173,152.932583,partial,89.1
CCX-000102,FDR-SEQ-0025,REG-SEQ,Aged Care Site 102,aged_care,-26.647690,152.851938,none,68.8
CCX-000103,FDR-SEQ-0006,REG-SEQ,Airport Site 103,airport,-26.675091,152.858606,partial,65.6
CCX-000104,FDR-MKY-0049,REG-MKY,Water Pumping Site 104,water_pumping,-20.427082,148.586491,none,55.7
CCX-000105,FDR-SEQ-0020,REG-SEQ,Hospital Site 105,hospital,-27.450221,152.995595,full,71.8
CCX-000106,FDR-SEQ-0020,REG-SEQ,Emergency Services Site 106,emergency_services,-26.683501,152.874250,full,37.9
CCX-000107,FDR-SEQ-0006,REG-SEQ,Aged Care Site 107,aged_care,-27.507825,153.037780,partial,83.4
CCX-000108,FDR-SEQ-0011,REG-SEQ,Emergency Services Site 108,emergency_services,-28.010269,153.239964,none,84.7
CCX-000109,FDR-SEQ-0012,REG-SEQ,Aged Care Site 109,aged_care,-27.426189,153.025664,none,86.3
CCX-000110,FDR-SEQ-0039,REG-SEQ,Aged Care Site 110,aged_care,-27.501205,153.031817,none,69.6
CCX-000111,FDR-SEQ-0033,REG-SEQ,Emergency Services Site 111,emergency_services,-27.599150,152.809588,full,71.8
CCX-000112,FDR-SEQ-0011,REG-SEQ,Hospital Site 112,hospital,-26.645751,152.948416,unknown,85.1
CCX-000113,FDR-SEQ-0009,REG-SEQ,Telecom Site 113,telecom,-27.463361,152.953085,unknown,60.8
CCX-000114,FDR-SEQ-0017,REG-SEQ,Hospital Site 114,hospital,-27.628344,152.748457,none,50.9
CCX-000115,FDR-SEQ-0034,REG-SEQ,Airport Site 115,airport,-27.481017,153.027787,none,87.2
CCX-000116,FDR-SEQ-0025,REG-SEQ,Telecom Site 116,telecom,-27.507808,152.964151,full,88.6
CCX-000117,FDR-SEQ-0030,REG-SEQ,Telecom Site 117,telecom,-27.696905,153.115452,unknown,69.8
CCX-000118,FDR-SEQ-0030,REG-SEQ,Aged Care Site 118,aged_care,-26.668643,152.965876,unknown,81.0
CCX-000119,FDR-SEQ-0035,REG-SEQ,Aged Care Site 119,aged_care,-27.952959,153.262394,none,54.8
CCX-000120,FDR-SEQ-0030,REG-SEQ,Industrial Site 120,industrial,-27.674202,153.079466,unknown,83.1
CCX-000121,FDR-MKY-0043,REG-MKY,Telecom Site 121,telecom,-20.406018,148.482681,none,87.4
CCX-000122,FDR-SEQ-0034,REG-SEQ,Hospital Site 122,hospital,-28.038919,153.277942,full,99
CCX-000123,FDR-SEQ-0010,REG-SEQ,Hospital Site 123,hospital,-27.663045,153.102483,full,60.4
CCX-000124,FDR-SEQ-0022,REG-SEQ,Airport Site 124,airport,-27.661253,152.723141,unknown,50.9
CCX-000125,FDR-SEQ-0001,REG-SEQ,Emergency Services Site 125,emergency_services,-27.672857,153.096299,full,75.5
CCX-000126,FDR-SEQ-0020,REG-SEQ,Telecom Site 126,telecom,-28.050042,153.356166,none,89.9
CCX-000127,FDR-TSV-0085,REG-TSV,Industrial Site 127,industrial,-19.251743,146.753054,none,62.5
CCX-000128,FDR-SEQ-0017,REG-SEQ,Aged Care Site 128,aged_care,-27.476495,153.026357,full,32.2
CCX-000129,FDR-TSV-0083,REG-TSV,Industrial Site 129,industrial,-19.253109,146.785869,none,87.6
CCX-000130,FDR-SEQ-0018,REG-SEQ,Industrial Site 130,industrial,-27.412677,152.945972,unknown,61.4
CCX-000131,FDR-SEQ-0025,REG-SEQ,Airport Site 131,airport,-26.664195,152.899859,partial,84.4
CCX-000132,FDR-TSV-0074,REG-TSV,Telecom Site 132,telecom,-17.523825,145.942935,unknown,64.8
CCX-000133,FDR-SEQ-0005,REG-SEQ,Hospital Site 133,hospital,-27.087958,152.863467,none,63.0
CCX-000134,FDR-SEQ-0030,REG-SEQ,Aged Care Site 134,aged_care,-26.596929,152.852945,partial,50.5
CCX-000135,FDR-SEQ-0015,REG-SEQ,Industrial Site 135,industrial,-27.589907,153.123689,unknown,77.3
CCX-000136,FDR-SEQ-0017,REG-SEQ,Telecom Site 136,telecom,-27.644284,152.772695,unknown,94.9
CCX-000137,FDR-SEQ-0005,REG-SEQ,Hospital Site 137,hospital,-26.575225,152.914079,unknown,49.4
CCX-000138,FDR-SEQ-0018,REG-SEQ,Water Pumping Site 138,water_pumping,-27.419272,153.037707,none,80.4
CCX-000139,FDR-SEQ-0023,REG-SEQ,Aged Care Site 139,aged_care,-27.680260,153.121607,none,65.4
CCX-000140,FDR-MKY-0063,REG-MKY,Emergency Services Site 140,emergency_services,-19.991536,148.138193,full,46.0
CCX-000141,FDR-MKY-0056,REG-MKY,Water Pumping Site 141,water_pumping,-20.362511,148.514073,full,70.3
CCX-000142,FDR-SEQ-0004,REG-SEQ,Emergency Services Site 142,emergency_services,-27.639243,152.727544,unknown,84.3
CCX-000143,FDR-SEQ-0027,REG-SEQ,Aged Care Site 143,aged_care,-27.657071,153.065622,unknown,60.5
CCX-000144,FDR-SEQ-0005,REG-SEQ,Airport Site 144,airport,-28.045186,153.304612,none,88.1
CCX-000145,FDR-SEQ-0040,REG-SEQ,Telecom Site 145,telecom,-27.650599,152.748123,none,81.4
CCX-000146,FDR-SEQ-0042,REG-SEQ,Telecom Site 146,telecom,-27.627517,152.798925,unknown,68.7
CCX-000147,FDR-SEQ-0012,REG-SEQ,Hospital Site 147,hospital,-27.986916,153.347103,none,54.4
CCX-000148,FDR-SEQ-0003,REG-SEQ,Hospital Site 148,hospital,-27.609844,153.067567,none,85.8
CCX-000149,FDR-SEQ-0018,REG-SEQ,Telecom Site 149,telecom,-26.622688,152.873177,full,71.1
CCX-000150,FDR-SEQ-0001,REG-SEQ,Emergency Services Site 150,emergency_services,-27.624276,153.072932,none,62.0
CCX-000151,FDR-SEQ-0019,REG-SEQ,Aged Care Site 151,aged_care,-27.666708,153.086581,full,53.1
CCX-000152,FDR-CQI-0092,REG-CQI,Airport Site 152,airport,-23.822676,151.148715,unknown,51.9
CCX-000153,FDR-SEQ-0010,REG-SEQ,Emergency Services Site 153,emergency_services,-27.975912,153.331667,unknown,52.3
CCX-000154,FDR-TSV-0067,REG-TSV,Emergency Services Site 154,emergency_services,-17.553764,145.921558,full,66.0
CCX-000155,FDR-SEQ-0038,REG-SEQ,Airport Site 155,airport,-26.566505,152.918411,partial,94.8
CCX-000156,FDR-SEQ-0034,REG-SEQ,Hospital Site 156,hospital,-26.657703,152.845457,full,67.5
CCX-000157,FDR-SEQ-0013,REG-SEQ,Emergency Services Site 157,emergency_services,-27.507179,153.031485,unknown,48.2
CCX-000158,FDR-SEQ-0009,REG-SEQ,Airport Site 158,airport,-27.491807,153.006721,full,82.6
CCX-000159,FDR-SEQ-0024,REG-SEQ,Industrial Site 159,industrial,-27.661842,153.076535,partial,83.7
CCX-000160,FDR-CQI-0090,REG-CQI,Telecom Site 160,telecom,-23.375517,150.403157,partial,85.3
CCX-000161,FDR-SEQ-0025,REG-SEQ,Water Pumping Site 161,water_pumping,-27.055035,152.888176,partial,72.6
CCX-000162,FDR-MKY-0056,REG-MKY,Hospital Site 162,hospital,-20.433937,148.569111,partial,58.8
CCX-000163,FDR-SEQ-0005,REG-SEQ,Airport Site 163,airport,-27.942967,153.255346,partial,52.7
CCX-000164,FDR-SEQ-0014,REG-SEQ,Aged Care Site 164,aged_care,-27.662079,152.757889,full,80.2
CCX-000165,FDR-SEQ-0034,REG-SEQ,Emergency Services Site 165,emergency_services,-27.571874,152.805182,full,79.6
CCX-000166,FDR--RW-0118,REG-RW,Telecom Site 166,telecom,-26.411096,146.203998,unknown,77.0
CCX-000167,FDR-SEQ-0007,REG-SEQ,Aged Care Site 167,aged_care,-27.071931,152.911489,full,56.9
CCX-000168,FDR-SEQ-0034,REG-SEQ,Water Pumping Site 168,water_pumping,-27.055260,152.955543,partial,51.6
CCX-000169,FDR-SEQ-0022,REG-SEQ,School Site 169,school,-28.039160,153.269859,full,78.8
CCX-000170,FDR-SEQ-0042,REG-SEQ,School Site 170,school,-27.459036,153.010363,none,78.9
CCX-000171,FDR-SEQ-0010,REG-SEQ,Water Pumping Site 171,water_pumping,-27.089888,152.932941,partial,65.6
CCX-000172,FDR-SEQ-0042,REG-SEQ,Emergency Services Site 172,emergency_services,-27.480037,152.962872,none,61.9
CCX-000173,FDR-SEQ-0033,REG-SEQ,Water Pumping Site 173,water_pumping,-27.642772,153.115707,unknown,82.4
CCX-000174,FDR-SEQ-0035,REG-SEQ,Aged Care Site 174,aged_care,-27.056161,152.898433,partial,58.8
CCX-000175,FDR-SEQ-0037,REG-SEQ,Hospital Site 175,hospital,-27.123464,152.935476,partial,75.0
CCX-000176,FDR-SEQ-0026,REG-SEQ,Emergency Services Site 176,emergency_services,-27.637358,152.752926,full,70.5
CCX-000177,FDR-MKY-0047,REG-MKY,Hospital Site 177,hospital,-20.066737,148.212667,partial,79.4
CCX-000178,FDR-CQI-0106,REG-CQI,Hospital Site 178,hospital,-23.564273,148.165831,full,73.7
CCX-000179,FDR-SEQ-0028,REG-SEQ,Aged Care Site 179,aged_care,-27.638242,152.802652,partial,44.0
CCX-000180,FDR-SEQ-0028,REG-SEQ,Emergency Services Site 180,emergency_services,-27.052627,152.905468,partial,62.4
CCX-000181,FDR-SEQ-0035,REG-SEQ,Hospital Site 181,hospital,-27.592433,153.052073,full,64.5
CCX-000182,FDR-SEQ-0040,REG-SEQ,Telecom Site 182,telecom,-27.072884,152.928466,unknown,81.1
CCX-000183,FDR-SEQ-0033,REG-SEQ,Emergency Services Site 183,emergency_services,-27.609178,153.138588,none,82.5
CCX-000184,FDR-SEQ-0034,REG-SEQ,Telecom Site 184,telecom,-27.690418,153.022092,full,64.9
CCX-000185,FDR-SEQ-0006,REG-SEQ,School Site 185,school,-27.456218,153.023780,none,53.5
CCX-000186,FDR-SEQ-0022,REG-SEQ,Hospital Site 186,hospital,-28.012694,153.211422,full,70.2
CCX-000187,FDR-SEQ-0006,REG-SEQ,Water Pumping Site 187,water_pumping,-28.012398,153.290212,unknown,83.0
CCX-000188,FDR-SEQ-0020,REG-SEQ,Telecom Site 188,telecom,-27.454947,153.007787,partial,51.0
CCX-000189,FDR-MKY-0063,REG-MKY,Hospital Site 189,hospital,-20.427823,148.503429,partial,72.2
CCX-000190,FDR-SEQ-0010,REG-SEQ,Hospital Site 190,hospital,-27.468528,152.932505,none,68.5
CCX-000191,FDR-SEQ-0004,REG-SEQ,Emergency Services Site 191,emergency_services,-27.648009,153.054881,partial,86.9
CCX-000192,FDR-SEQ-0040,REG-SEQ,Emergency Services Site 192,emergency_services,-27.618820,153.022972,unknown,58.9
CCX-000193,FDR-SEQ-0033,REG-SEQ,Industrial Site 193,industrial,-27.992915,153.225379,none,99
CCX-000194,FDR-SEQ-0026,REG-SEQ,Hospital Site 194,hospital,-27.067763,152.921395,full,66.0
CCX-000195,FDR-SEQ-0027,REG-SEQ,Emergency Services Site 195,emergency_services,-28.032773,153.214894,unknown,51.2
CCX-000196,FDR-SEQ-0011,REG-SEQ,School Site 196,school,-28.001744,153.249095,full,78.0
CCX-000197,FDR-SEQ-0020,REG-SEQ,Emergency Services Site 197,emergency_services,-27.500601,152.987582,none,70.0
CCX-000198,FDR-SEQ-0034,REG-SEQ,Emergency Services Site 198,emergency_services,-27.604275,153.129789,unknown,40.9
CCX-000199,FDR-SEQ-0009,REG-SEQ,Aged Care Site 199,aged_care,-26.589146,152.870240,partial,51.5
CCX-000200,FDR-SEQ-0026,REG-SEQ,Telecom Site 200,telecom,-27.957462,153.257046,none,40.2
CCX-000201,FDR-TSV-0067,REG-TSV,Industrial Site 201,industrial,-17.543676,145.906892,full,77.4
CCX-000202,FDR-SEQ-0010,REG-SEQ,Emergency Services Site 202,emergency_services,-27.631057,152.769690,unknown,50.0
CCX-000203,FDR-SEQ-0005,REG-SEQ,Telecom Site 203,telecom,-27.685266,153.131473,full,39.8
CCX-000204,FDR-SEQ-0011,REG-SEQ,Hospital Site 204,hospital,-27.438821,152.963547,unknown,45.6
CCX-000205,FDR-SEQ-0039,REG-SEQ,Airport Site 205,airport,-27.616157,153.137905,none,82.4
CCX-000206,FDR-SEQ-0023,REG-SEQ,Industrial Site 206,industrial,-27.653787,152.745292,full,81.0
CCX-000207,FDR-TSV-0078,REG-TSV,Aged Care Site 207,aged_care,-19.284181,146.668613,partial,71.4
CCX-000208,FDR-TSV-0072,REG-TSV,School Site 208,school,-19.308796,146.750824,full,83.2
CCX-000209,FDR-SEQ-0005,REG-SEQ,Hospital Site 209,hospital,-27.957466,153.288559,partial,65.3
CCX-000210,FDR-CQI-0094,REG-CQI,Telecom Site 210,telecom,-23.544341,148.139090,partial,99
CCX-000211,FDR-SEQ-0012,REG-SEQ,Airport Site 211,airport,-26.637762,152.961796,partial,96.2
CCX-000212,FDR-SEQ-0012,REG-SEQ,Telecom Site 212,telecom,-27.959973,153.221601,partial,59.8
CCX-000213,FDR-SEQ-0008,REG-SEQ,Emergency Services Site 213,emergency_services,-27.647761,152.709324,unknown,78.2
CCX-000214,FDR-SEQ-0005,REG-SEQ,Airport Site 214,airport,-27.462970,153.009029,partial,36.7
CCX-000215,FDR-SEQ-0041,REG-SEQ,Industrial Site 215,industrial,-27.585364,152.800300,unknown,69.1
CCX-000216,FDR-CQI-0102,REG-CQI,School Site 216,school,-23.804083,151.254959,full,70.3
CCX-000217,FDR-MKY-0061,REG-MKY,Aged Care Site 217,aged_care,-20.442098,148.557128,unknown,54.3
CCX-000218,FDR-SEQ-0033,REG-SEQ,Hospital Site 218,hospital,-26.587884,152.888072,full,82.4
CCX-000219,FDR-SEQ-0015,REG-SEQ,Telecom Site 219,telecom,-27.637014,153.090261,unknown,68.3
CCX-000220,FDR-SEQ-0027,REG-SEQ,Airport Site 220,airport,-27.967565,153.212272,none,93.2
CCX-000221,FDR-SEQ-0042,REG-SEQ,Airport Site 221,airport,-27.675394,152.792714,unknown,77.9
CCX-000222,FDR-SEQ-0012,REG-SEQ,Emergency Services Site 222,emergency_services,-28.056312,153.296052,none,61.4
CCX-000223,FDR-TSV-0084,REG-TSV,Industrial Site 223,industrial,-19.293219,146.808436,none,61.3
CCX-000224,FDR-SEQ-0004,REG-SEQ,Aged Care Site 224,aged_care,-27.588664,152.806428,partial,45.8
CCX-000225,FDR-SEQ-0039,REG-SEQ,Industrial Site 225,industrial,-27.523154,152.928016,none,51.5
CCX-000226,FDR-SEQ-0024,REG-SEQ,Telecom Site 226,telecom,-27.630868,153.022687,none,86.8
CCX-000227,FDR-SEQ-0008,REG-SEQ,Hospital Site 227,hospital,-27.092217,152.968141,none,79.8
CCX-000228,FDR-SEQ-0016,REG-SEQ,Emergency Services Site 228,emergency_services,-27.639897,152.759971,partial,62.5
CCX-000229,FDR-SEQ-0035,REG-SEQ,School Site 229,school,-27.583715,153.124873,unknown,65.3
CCX-000230,FDR-SEQ-0009,REG-SEQ,Aged Care Site 230,aged_care,-27.102679,152.899578,full,52.8
CCX-000231,FDR-SEQ-0030,REG-SEQ,Emergency Services Site 231,emergency_services,-27.693165,153.036775,unknown,76.6
CCX-000232,FDR-SEQ-0033,REG-SEQ,Aged Care Site 232,aged_care,-27.442260,152.966008,none,62.6
CCX-000233,FDR-SEQ-0037,REG-SEQ,Telecom Site 233,telecom,-27.605922,153.131589,full,64.9
CCX-000234,FDR-TSV-0087,REG-TSV,Hospital Site 234,hospital,-19.251285,146.669900,full,95.7
CCX-000235,FDR-SEQ-0005,REG-SEQ,Hospital Site 235,hospital,-26.599139,152.906303,full,64.4
CCX-000236,FDR-MKY-0060,REG-MKY,Airport Site 236,airport,-20.414434,148.522541,unknown,70.9
CCX-000237,FDR-SEQ-0004,REG-SEQ,Emergency Services Site 237,emergency_services,-27.066528,152.855917,full,41.0
CCX-000238,FDR-SEQ-0018,REG-SEQ,Hospital Site 238,hospital,-27.686818,153.053574,full,46.9
CCX-000239,FDR--RW-0112,REG-RW,Water Pumping Site 239,water_pumping,-26.525735,148.829511,full,74.4
