feeder_id,substation_id,region_id,feeder_name,voltage_kv,feeder_length_km,customer_count,critical_customer_count,overhead_pct,underground_pct,radiality_score,asset_density_score,network_capacity_band,export_capacity_band
FDR-MKY-0058,SS-MKY-0008,REG-MKY,Mackay ZS2-F16,22.0,33.12,828,11,93.9,6.1,62.6,46.2,high,constrained
FDR-MKY-0059,SS-MKY-0008,REG-MKY,Mackay ZS2-F17,11.0,27.97,793,11,100.0,0,49.1,40.9,high,moderate
FDR-MKY-0060,SS-MKY-0008,REG-MKY,Mackay ZS2-F18,33.0,9.42,461,6,100.0,0,32.8,56.2,medium,constrained
FDR-MKY-0061,SS-MKY-0008,REG-MKY,Mackay ZS2-F19,11.0,15.6,783,10,92.0,8.0,55.9,51.4,medium,headroom
FDR-MKY-0062,SS-MKY-0007,REG-MKY,Mackay ZS1-F20,33.0,28.93,481,6,75.1,24.9,40.8,34.1,low,constrained
FDR-MKY-0063,SS-MKY-0008,REG-MKY,Mackay ZS2-F21,22.0,23.81,956,13,83.1,16.9,36.3,51.0,high,constrained
FDR-MKY-0064,SS-MKY-0007,REG-MKY,Mackay ZS1-F22,11.0,30.05,20,0,78.2,21.8,56.6,35.5,high,headroom
FDR-TSV-0065,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F1,33.0,21.3,193,3,64.1,35.9,50.3,69.1,medium,moderate
FDR-TSV-0066,SS-TSV-0011,REG-TSV,Ingham ZS3-F2,33.0,48.59,1410,22,65.5,34.5,66.9,41.7,low,constrained
FDR-TSV-0067,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F3,11.0,19.44,694,11,84.2,15.8,39.6,62.5,medium,moderate
FDR-TSV-0068,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F4,11.0,23.07,1340,21,79.1,20.9,51.4,51.2,high,headroom
FDR-TSV-0069,SS-TSV-0011,REG-TSV,Ingham ZS3-F5,11.0,32.8,423,6,75.2,24.8,39.3,23.8,low,constrained
FDR-TSV-0070,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F6,11.0,28.56,337,5,69.8,30.2,30.8,34.3,medium,headroom
FDR-TSV-0071,SS-TSV-0010,REG-TSV,Innisfail ZS2-F7,22.0,29.2,399,6,82.0,18.0,58.0,52.1,medium,headroom
FDR-TSV-0072,SS-TSV-0010,REG-TSV,Innisfail ZS2-F8,33.0,24.99,1170,18,59.8,40.2,49.6,17.2,high,moderate
FDR-TSV-0073,SS-TSV-0011,REG-TSV,Ingham ZS3-F9,11.0,13.83,984,15,89.4,10.6,42.1,48.1,medium,constrained
FDR-TSV-0074,SS-TSV-0011,REG-TSV,Ingham ZS3-F10,22.0,17.29,541,8,72.7,27.3,61.0,38.8,low,moderate
FDR-TSV-0075,SS-TSV-0010,REG-TSV,Innisfail ZS2-F11,33.0,37.9,252,4,81.5,18.5,38.6,64.8,low,moderate
FDR-TSV-0076,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F12,22.0,24.93,1198,19,78.6,21.4,31.2,50.3,high,moderate
FDR-TSV-0077,SS-TSV-0010,REG-TSV,Innisfail ZS2-F13,11.0,24.57,1133,18,71.5,28.5,55.7,29.0,low,constrained
FDR-TSV-0078,SS-TSV-0010,REG-TSV,Innisfail ZS2-F14,33.0,30.6,1250,20,71.9,28.1,45.6,70.8,low,headroom
FDR-TSV-0079,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F15,22.0,27.54,382,6,86.8,13.2,86.2,75.9,low,moderate
FDR-TSV-0080,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F16,33.0,30.8,469,7,85.0,15.0,41.0,45.8,medium,constrained
FDR-TSV-0081,SS-TSV-0010,REG-TSV,Innisfail ZS2-F17,33.0,43.77,1151,18,75.8,24.2,38.9,35.5,low,constrained
FDR-TSV-0082,SS-TSV-0010,REG-TSV,Innisfail ZS2-F18,22.0,15.58,1673,26,82.1,17.9,55.9,45.7,high,headroom
FDR-TSV-0083,SS-TSV-0010,REG-TSV,Innisfail ZS2-F19,11.0,6.15,438,7,77.4,22.6,44.9,72.1,medium,moderate
FDR-TSV-0084,SS-TSV-0010,REG-TSV,Innisfail ZS2-F20,11.0,32.33,917,14,99.5,0.5,70.8,38.9,medium,headroom
FDR-TSV-0085,SS-TSV-0010,REG-TSV,Innisfail ZS2-F21,22.0,29.65,1808,28,83.5,16.5,51.0,43.0,low,constrained
FDR-TSV-0086,SS-TSV-0011,REG-TSV,Ingham ZS3-F22,33.0,22.73,1152,18,78.9,21.1,50.5,52.2,low,moderate
FDR-TSV-0087,SS-TSV-0011,REG-TSV,Ingham ZS3-F23,11.0,24.06,1706,27,72.5,27.5,53.4,70.9,medium,headroom
FDR-TSV-0088,SS-TSV-0009,REG-TSV,Port Douglas ZS1-F24,22.0,36.88,199,3,89.6,10.4,62.2,45.1,high,constrained
FDR-CQI-0089,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F1,11.0,9.46,169,3,99.8,0.2,68.9,49.6,medium,constrained
FDR-CQI-0090,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F2,22.0,32.74,982,19,69.5,30.5,50.9,63.3,medium,constrained
FDR-CQI-0091,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F3,33.0,31.64,256,5,70.5,29.5,52.2,58.4,high,moderate
FDR-CQI-0092,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F4,22.0,33.31,615,12,88.9,11.1,51.2,49.9,medium,moderate
FDR-CQI-0093,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F5,11.0,29.54,410,8,76.0,24.0,34.4,38.8,medium,headroom
FDR-CQI-0094,SS-CQI-0013,REG-CQI,Gladstone ZS2-F6,22.0,32.21,521,10,90.3,9.7,58.1,51.6,high,moderate
FDR-CQI-0095,SS-CQI-0013,REG-CQI,Gladstone ZS2-F7,11.0,42.54,1242,24,82.4,17.6,46.6,69.2,high,headroom
FDR-CQI-0096,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F8,33.0,27.36,39,0,63.0,37.0,37.1,53.4,low,headroom
FDR-CQI-0097,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F9,33.0,48.0,717,14,59.9,40.1,51.0,27.5,low,headroom
FDR-CQI-0098,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F10,33.0,22.16,473,9,94.7,5.3,54.7,49.3,medium,moderate
FDR-CQI-0099,SS-CQI-0013,REG-CQI,Gladstone ZS2-F11,11.0,23.16,912,18,59.9,40.1,57.2,40.0,high,moderate
FDR-CQI-0100,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F12,22.0,51.08,275,5,70.2,29.8,47.0,68.6,medium,constrained
FDR-CQI-0101,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F13,11.0,13.29,1088,21,94.8,5.2,80.1,45.1,high,moderate
FDR-CQI-0102,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F14,22.0,41.84,758,15,97.2,2.8,54.0,40.7,high,moderate
FDR-CQI-0103,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F15,33.0,14.89,728,14,77.3,22.7,60.5,37.2,high,constrained
FDR-CQI-0104,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F16,33.0,38.99,20,0,84.0,16.0,60.6,73.2,medium,moderate
FDR-CQI-0105,SS-CQI-0012,REG-CQI,Rockhampton ZS1-F17,11.0,48.84,762,15,65.2,34.8,40.2,59.3,high,headroom
FDR-CQI-0106,SS-CQI-0013,REG-CQI,Gladstone ZS2-F18,33.0,27.68,511,10,84.7,15.3,51.8,34.7,medium,constrained
FDR-CQI-0107,SS-CQI-0013,REG-CQI,Gladstone ZS2-F19,11.0,28.77,20,0,69.8,30.2,52.4,44.6,high,moderate
FDR-CQI-0108,SS-CQI-0013,REG-CQI,Gladstone ZS2-F20,11.0,22.17,859,17,63.2,36.8,65.2,28.8,high,headroom
FDR--RW-0109,SS--RW-0014,REG-RW,Roma ZS1-F1,11.0,75.76,260,2,100.0,0,92.9,63.8,low,headroom
FDR--RW-0110,SS--RW-0014,REG-RW,Roma ZS1-F2,33.0,76.14,476,3,97.2,2.8,88.0,50.9,low,constrained
FDR--RW-0111,SS--RW-0015,REG-RW,Charleville ZS2-F3,11.0,63.85,425,3,78.7,21.3,89.6,60.4,low,headroom
FDR--RW-0112,SS--RW-0015,REG-RW,Charleville ZS2-F4,11.0,68.91,274,2,94.8,5.2,67.4,49.5,medium,headroom
FDR--RW-0113,SS--RW-0014,REG-RW,Roma ZS1-F5,22.0,35.44,20,0,94.7,5.3,99,57.1,high,headroom
FDR--RW-0114,SS--RW-0015,REG-RW,Charleville ZS2-F6,22.0,60.94,216,1,70.7,29.3,81.8,43.6,high,moderate
FDR--RW-0115,SS--RW-0014,REG-RW,Roma ZS1-F7,11.0,70.55,210,1,87.9,12.1,93.8,65.0,high,headroom
FDR--RW-0116,SS--RW-0015,REG-RW,Charleville ZS2-F8,22.0,96.96,235,1,100.0,0,86.7,68.9,high,headroom
FDR--RW-0117,SS--RW-0014,REG-RW,Roma ZS1-F9,22.0,88.6,157,1,91.4,8.6,75.0,64.0,medium,headroom
FDR--RW-0118,SS--RW-0014,REG-RW,Roma ZS1-F10,22.0,30.54,318,2,98.9,1.1,86.9,55.0,low,constrained
FDR--RW-0119,SS--RW-0015,REG-RW,Charleville ZS2-F11,11.0,60.49,236,1,100.0,0,84.9,53.8,high,headroom
FDR--RW-0120,SS--RW-0015,REG-RW,Charleville ZS2-F12,33.0,82.47,317,2,100.0,0,64.8,66.2,medium,headroom
FDR--RW-0121,SS--RW-0015,REG-RW,Charleville ZS2-F13,22.0,34.37,353,2,85.3,14.7,89.8,64.2,low,moderate
FDR--RW-0122,SS--RW-0015,REG-RW,Charleville ZS2-F14,11.0,67.69,83,0,85.8,14.2,60.3,77.4,high,headroom
FDR--RW-0123,SS--RW-0014,REG-RW,Roma ZS1-F15,33.0,57.35,443,3,100.0,0,81.2,59.4,high,moderate
FDR--RW-0124,SS--RW-0015,REG-RW,Charleville ZS2-F16,22.0,117.47,249,1,100.0,0,77.1,63.3,low,constrained
FDR--RW-0125,SS--RW-0014,REG-RW,Roma ZS1-F17,22.0,93.65,144,1,88.7,11.3,68.9,67.5,high,headroom
FDR--RW-0126,SS--RW-0014,REG-RW,Roma ZS1-F18,11.0,89.36,406,3,89.3,10.7,83.5,35.2,high,moderate
FDR--RW-0127,SS--RW-0015,REG-RW,Charleville ZS2-F19,22.0,74.56,270,2,80.0,20.0,78.7,56.0,high,headroom
FDR--RW-0128,SS--RW-0015,REG-RW,Charleville ZS2-F20,33.0,61.06,208,1,100.0,0,91.9,62.7,low,constrained
