asset_id,feeder_id,substation_id,region_id,asset_type,asset_name,lat,lon,install_year,manufacturer,material,voltage_kv,status,criticality_score,access_difficulty_score,coastal_corrosion_score,flood_exposure_score,cyclone_exposure_score,bushfire_exposure_score
AST-SEQ-REC-000011,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,recloser,RECLOSER Logan 000012,-27.741163,153.074864,2004,S&C,vacuum,11.0,in_service,70.6,16.3,20.8,42.5,8.4,0
AST-SEQ-POL-000012,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000013,-27.629582,153.056242,2010,ConcreteWorks,steel,22.0,in_service,100,25.0,12.7,5.3,11.8,0
AST-SEQ-POL-000013,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000014,-27.535716,152.984999,2014,ConcreteWorks,concrete,11.0,in_service,55.8,0,0,21.6,25.2,0
AST-SEQ-POL-000014,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000015,-27.532496,153.228198,1967,SteelPoleAU,concrete,22.0,in_service,71.7,11.3,0,27.2,0,17.3
AST-SEQ-POL-000015,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000016,-27.523423,153.101373,1970,CompositePoleCo,hardwood,11.0,in_service,65.3,16.9,18.5,0,0,11.2
AST-SEQ-POL-000016,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000017,-27.694061,152.983772,1969,ConcreteWorks,composite,22.0,decommissioned,78.6,10.5,0,32.0,0,9.3
AST-SEQ-POL-000017,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000018,-27.658594,153.140791,2007,CompositePoleCo,concrete,11.0,in_service,68.2,1.4,7.9,34.5,2.0,2.4
AST-SEQ-POL-000018,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000019,-27.601433,153.2422,2017,Hardwood Co.,steel,22.0,in_service,60.9,11.2,6.9,22.5,8.1,0
AST-SEQ-POL-000019,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000020,-27.505861,153.103055,1983,SteelPoleAU,concrete,33.0,in_service,72.1,0,10.1,26.9,0,0
AST-SEQ-POL-000020,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000021,-27.76731,153.149677,2014,CompositePoleCo,steel,22.0,in_service,59.4,14.2,0.7,47.2,24.5,13.5
AST-SEQ-CON-000021,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,conductor_span,CONDUCTOR_SPAN Logan 000022,-27.585816,153.072268,2024,Olex,aluminium,33.0,in_service,21.6,36.8,10.2,9.5,17.8,14.8
AST-SEQ-POL-000022,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000023,-27.731306,153.093468,1981,SteelPoleAU,steel,22.0,in_service,44.6,31.3,0,27.4,21.4,0
AST-SEQ-POL-000023,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000024,-27.737914,153.138787,2013,Hardwood Co.,concrete,33.0,in_service,53.8,19.9,7.7,16.3,27.2,17.5
AST-SEQ-CON-000024,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,conductor_span,CONDUCTOR_SPAN Logan 000025,-27.739322,153.072158,1990,Prysmian,aluminium,33.0,in_service,69.6,22.2,2.5,30.4,8.1,6.7
AST-SEQ-TRA-000025,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,transformer,TRANSFORMER Logan 000026,-27.722021,153.008133,2001,Schneider,dry_type,11.0,in_service,76.6,27.6,14.7,23.9,0,0
AST-SEQ-POL-000026,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000027,-27.58035,153.227326,2019,ConcreteWorks,composite,22.0,planned_replacement,65.3,0,0,1.1,0,7.1
AST-SEQ-POL-000027,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000028,-27.759244,153.0808,1991,Hardwood Co.,concrete,22.0,in_service,56.5,19.3,3.7,4.4,0,15.1
AST-SEQ-POL-000028,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000029,-27.657658,153.222726,2018,ConcreteWorks,concrete,11.0,in_service,53.3,8.7,13.8,22.5,9.8,14.4
AST-SEQ-REC-000029,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,recloser,RECLOSER Logan 000030,-27.604381,153.140685,1974,NOJA Power,vacuum,22.0,in_service,72.3,31.8,23.7,31.1,0,0
AST-SEQ-POL-000030,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000031,-27.597152,153.182921,1967,CompositePoleCo,hardwood,11.0,in_service,54.3,29.2,0,30.0,0,7.7
AST-SEQ-POL-000031,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000032,-27.655723,153.104639,2006,ConcreteWorks,hardwood,11.0,in_service,60.2,46.0,12.4,38.3,0,28.1
AST-SEQ-POL-000032,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000033,-27.703387,153.039199,1977,Hardwood Co.,steel,22.0,in_service,63.3,0,16.5,26.6,0,20.4
AST-SEQ-POL-000033,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000034,-27.534034,153.108272,1993,SteelPoleAU,steel,11.0,in_service,59.2,40.0,18.8,27.5,0,10.3
AST-SEQ-TRA-000034,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,transformer,TRANSFORMER Logan 000035,-27.658126,153.214902,1996,ABB,oil_filled,22.0,in_service,54.7,9.8,3.6,0,0,18.1
AST-SEQ-SWI-000035,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,switch,SWITCH Logan 000036,-27.608252,153.006177,2014,Schneider,air,22.0,under_monitoring,57.8,8.1,18.1,27.7,22.8,6.0
AST-SEQ-POL-000036,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000037,-27.736208,153.217858,1983,SteelPoleAU,steel,33.0,in_service,43.0,17.8,27.7,44.9,0,20.2
AST-SEQ-POL-000037,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000038,-27.675452,153.157127,1981,Hardwood Co.,steel,33.0,in_service,61.8,0,25.4,17.7,11.5,0
AST-SEQ-SWI-000038,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,switch,SWITCH Logan 000039,-27.615872,153.017765,1976,NOJA Power,air,33.0,under_monitoring,61.5,9.0,0,5.9,9.3,0.8
AST-SEQ-POL-000039,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000040,-27.638496,153.139868,1988,SteelPoleAU,concrete,11.0,in_service,45.2,8.8,0,24.8,1.9,0
AST-SEQ-CON-000040,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,conductor_span,CONDUCTOR_SPAN Logan 000041,-27.626187,153.157698,2020,Olex,covered_conductor,66.0,in_service,28.0,9.9,21.3,4.4,8.6,0
AST-SEQ-RIN-000041,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,ring_main_unit,RING_MAIN_UNIT Logan 000042,-27.582239,153.058339,2007,Siemens,sf6,22.0,in_service,78.2,15.5,0,46.5,8.1,0
AST-SEQ-CON-000042,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,conductor_span,CONDUCTOR_SPAN Logan 000043,-27.512924,152.992433,1980,Olex,aluminium,22.0,in_service,68.2,26.6,25.2,10.6,4.8,0
AST-SEQ-TRA-000043,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,transformer,TRANSFORMER Logan 000044,-27.600803,152.985085,1977,Siemens,oil_filled,11.0,in_service,80.7,2.2,0,31.5,24.4,21.7
AST-SEQ-SEC-000044,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,sectionaliser,SECTIONALISER Logan 000045,-27.688519,153.149399,2003,S&C,vacuum,22.0,in_service,57.5,12.6,12.1,16.7,0,0
AST-SEQ-POL-000045,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000046,-27.72586,153.177949,2015,SteelPoleAU,steel,11.0,in_service,37.3,0,15.0,11.7,16.5,10.2
AST-SEQ-POL-000046,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000047,-27.724061,153.001742,2016,CompositePoleCo,steel,11.0,in_service,60.9,0,15.1,33.2,4.6,16.5
AST-SEQ-REC-000047,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,recloser,RECLOSER Logan 000048,-27.686647,153.081541,2014,S&C,vacuum,22.0,in_service,76.8,0,39.7,42.3,0,12.1
AST-SEQ-POL-000048,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000049,-27.585622,152.987752,1962,CompositePoleCo,composite,33.0,in_service,80.3,12.6,15.8,28.1,0,16.8
AST-SEQ-POL-000049,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000050,-27.645041,153.096534,1976,ConcreteWorks,concrete,33.0,in_service,64.2,0,20.5,19.1,0,0
AST-SEQ-POL-000050,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000051,-27.755823,153.126768,1995,CompositePoleCo,steel,11.0,in_service,70.3,0,23.3,26.7,0,6.9
AST-SEQ-POL-000051,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000052,-27.651895,153.112668,2019,Hardwood Co.,steel,11.0,in_service,60.7,22.1,2.3,21.3,0,13.4
AST-SEQ-POL-000052,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000053,-27.518664,152.989661,2006,Hardwood Co.,hardwood,22.0,in_service,66.8,0,10.3,18.6,0,20.5
AST-SEQ-POL-000053,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000054,-27.596486,153.066847,1986,ConcreteWorks,hardwood,22.0,in_service,63.2,0,14.6,35.7,0,3.4
AST-SEQ-POL-000054,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000055,-27.649903,153.013503,1986,ConcreteWorks,concrete,33.0,in_service,52.7,13.2,17.8,46.5,5.3,3.9
AST-SEQ-POL-000055,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000056,-27.709683,152.982799,1964,Hardwood Co.,steel,33.0,in_service,91.3,0,0,26.5,5.7,0
AST-SEQ-POL-000056,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000057,-27.693891,153.010219,2014,ConcreteWorks,composite,33.0,in_service,90.3,46.2,1.7,11.6,3.5,12.2
AST-SEQ-POL-000057,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000058,-27.584642,153.083597,2022,CompositePoleCo,steel,22.0,under_monitoring,67.3,2.8,4.2,28.5,0,5.0
AST-SEQ-POL-000058,FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,pole,POLE Logan 000059,-27.710202,153.026854,1997,SteelPoleAU,concrete,22.0,in_service,61.6,39.3,0,0,8.5,2.4
AST-SEQ-POL-000059,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000060,-27.551449,153.139263,2008,SteelPoleAU,concrete,33.0,in_service,61.8,3.0,0,49.0,7.2,16.3
AST-SEQ-TRA-000060,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000061,-27.392525,152.991629,2020,Wilson Transformer,oil_filled,33.0,in_service,56.6,0,0,17.2,3.8,24.2
AST-SEQ-CON-000061,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,conductor_span,CONDUCTOR_SPAN Brisbane 000062,-27.452263,152.946924,1982,Nexans,acsr,33.0,in_service,56.0,12.1,13.6,28.6,21.9,0.2
AST-SEQ-POL-000062,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000063,-27.395934,153.021909,2022,CompositePoleCo,composite,33.0,in_service,58.4,16.0,3.2,0,0,13.0
AST-SEQ-RIN-000063,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,ring_main_unit,RING_MAIN_UNIT Brisbane 000064,-27.344936,153.07228,1995,ABB,sf6,11.0,in_service,62.5,18.2,8.3,5.6,10.6,0
AST-SEQ-TRA-000064,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000065,-27.605625,153.034135,2020,Schneider,dry_type,66.0,in_service,59.2,10.2,4.8,21.4,2.0,0
AST-SEQ-POL-000065,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000066,-27.556205,153.03252,1995,ConcreteWorks,concrete,11.0,in_service,48.0,28.1,11.4,9.9,0,15.7
AST-SEQ-REC-000066,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,recloser,RECLOSER Brisbane 000067,-27.504251,153.01837,1967,G&W Electric,vacuum,11.0,in_service,55.3,22.1,0,3.5,28.5,20.9
AST-SEQ-CON-000067,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,conductor_span,CONDUCTOR_SPAN Brisbane 000068,-27.476672,152.897922,1975,Prysmian,covered_conductor,22.0,in_service,94.5,2.1,35.5,34.4,19.5,0
AST-SEQ-TRA-000068,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000069,-27.564474,152.952309,2021,Wilson Transformer,oil_filled,33.0,in_service,63.3,18.6,14.0,8.0,15.0,0
AST-SEQ-RIN-000069,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,ring_main_unit,RING_MAIN_UNIT Brisbane 000070,-27.37481,152.98039,1968,ABB,air,11.0,in_service,74.0,4.3,11.2,0,0,22.1
AST-SEQ-CON-000070,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,conductor_span,CONDUCTOR_SPAN Brisbane 000071,-27.424736,152.908898,1973,Prysmian,covered_conductor,66.0,in_service,75.5,14.1,0,3.0,3.7,1.9
AST-SEQ-POL-000071,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000072,-27.50909,152.960525,2022,SteelPoleAU,composite,11.0,in_service,60.3,30.2,13.1,26.7,0,13.1
AST-SEQ-POL-000072,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000073,-27.501269,152.908619,1962,SteelPoleAU,composite,22.0,in_service,69.6,13.8,31.7,2.3,23.1,5.0
AST-SEQ-POL-000073,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000074,-27.474223,152.906437,1979,CompositePoleCo,steel,22.0,in_service,65.2,24.0,6.9,30.5,0,0
AST-SEQ-TRA-000074,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000075,-27.381317,153.125933,1990,Schneider,dry_type,22.0,in_service,66.7,18.3,14.5,18.8,0,38.2
AST-SEQ-TRA-000075,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000076,-27.504563,153.113869,2023,Wilson Transformer,oil_filled,33.0,in_service,42.7,23.6,1.6,24.3,0,0.2
AST-SEQ-TRA-000076,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000077,-27.380338,153.108024,2013,ABB,dry_type,33.0,in_service,51.0,6.0,0,28.9,0,0
AST-SEQ-POL-000077,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000078,-27.38826,152.985702,1996,Hardwood Co.,steel,22.0,under_monitoring,65.4,0,20.8,9.4,1.2,3.0
AST-SEQ-RIN-000078,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,ring_main_unit,RING_MAIN_UNIT Brisbane 000079,-27.580323,152.912519,2023,Schneider,air,22.0,in_service,65.5,0,11.1,42.8,0,0
AST-SEQ-POL-000079,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000080,-27.493367,153.154603,1992,CompositePoleCo,hardwood,11.0,in_service,53.8,25.3,31.8,42.2,12.6,16.9
AST-SEQ-TRA-000080,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000081,-27.382801,152.917141,1966,ABB,dry_type,22.0,in_service,73.4,14.6,18.8,3.6,1.3,0
AST-SEQ-CON-000081,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,conductor_span,CONDUCTOR_SPAN Brisbane 000082,-27.558303,153.064501,2013,Prysmian,acsr,22.0,in_service,51.4,10.9,3.9,21.4,0,1.4
AST-SEQ-SWI-000082,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,switch,SWITCH Brisbane 000083,-27.5576,152.976293,1998,Schneider,sf6,11.0,in_service,50.9,4.4,0,22.9,16.1,0
AST-SEQ-REC-000083,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,recloser,RECLOSER Brisbane 000084,-27.44451,153.073373,2014,S&C,vacuum,11.0,in_service,71.8,0,3.0,29.5,15.0,16.6
AST-SEQ-POL-000084,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000085,-27.472705,152.924212,2006,ConcreteWorks,concrete,33.0,in_service,70.6,22.8,0.9,34.1,17.5,11.9
AST-SEQ-POL-000085,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000086,-27.47297,152.90805,1993,SteelPoleAU,steel,33.0,in_service,54.7,12.5,30.2,24.6,2.1,18.3
AST-SEQ-POL-000086,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000087,-27.392638,153.115773,1998,CompositePoleCo,hardwood,11.0,in_service,22.4,10.0,0,39.3,26.5,13.3
AST-SEQ-POL-000087,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000088,-27.368212,152.909259,1990,CompositePoleCo,composite,11.0,in_service,61.3,0,11.6,14.8,8.6,0
AST-SEQ-POL-000088,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000089,-27.450146,153.034154,2014,Hardwood Co.,concrete,11.0,in_service,32.0,0,0.0,15.1,16.5,6.0
AST-SEQ-POL-000089,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000090,-27.366852,152.920451,2020,CompositePoleCo,hardwood,22.0,in_service,64.5,0,14.1,12.1,0,0
AST-SEQ-POL-000090,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,pole,POLE Brisbane 000091,-27.465421,152.962898,1966,SteelPoleAU,hardwood,22.0,in_service,87.1,0,19.4,14.8,16.9,3.7
AST-SEQ-TRA-000091,FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,transformer,TRANSFORMER Brisbane 000092,-27.548942,153.005367,2016,Schneider,oil_filled,22.0,in_service,47.0,12.4,9.6,30.8,11.0,0
AST-SEQ-POL-000092,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000093,-27.575455,153.125663,2012,Hardwood Co.,steel,33.0,in_service,60.2,3.5,6.5,20.2,14.1,5.0
AST-SEQ-POL-000093,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000094,-27.505834,153.138639,1985,Hardwood Co.,composite,33.0,planned_replacement,65.0,5.1,14.1,32.1,0,27.9
AST-SEQ-POL-000094,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000095,-27.607776,153.080097,1999,SteelPoleAU,concrete,11.0,in_service,75.4,32.3,24.1,0,0,11.0
AST-SEQ-SEC-000095,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,sectionaliser,SECTIONALISER Brisbane 000096,-27.591152,153.042896,1986,NOJA Power,vacuum,11.0,in_service,62.7,17.9,0.6,14.6,0,15.3
AST-SEQ-SEC-000096,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,sectionaliser,SECTIONALISER Brisbane 000097,-27.511544,153.005246,2010,S&C,vacuum,11.0,under_monitoring,45.0,0,9.7,9.8,0,0
AST-SEQ-REC-000097,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,recloser,RECLOSER Brisbane 000098,-27.500237,153.066199,1975,S&C,sf6,22.0,under_monitoring,64.1,0,12.2,0,5.9,21.3
AST-SEQ-POL-000098,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000099,-27.507643,153.076539,1970,SteelPoleAU,steel,22.0,in_service,72.9,31.9,9.8,0,5.3,5.0
AST-SEQ-POL-000099,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000100,-27.413056,152.907689,2007,SteelPoleAU,steel,33.0,in_service,53.6,16.5,0,15.6,2.9,19.4
AST-SEQ-TRA-000100,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,transformer,TRANSFORMER Brisbane 000101,-27.594106,152.908753,1981,Siemens,dry_type,0.4,in_service,61.8,11.3,0,26.2,0,0
AST-SEQ-POL-000101,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000102,-27.505827,153.095331,1995,ConcreteWorks,composite,22.0,in_service,55.5,0,22.9,3.8,27.1,27.8
AST-SEQ-TRA-000102,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,transformer,TRANSFORMER Brisbane 000103,-27.46991,153.043907,1991,ABB,dry_type,33.0,planned_replacement,61.3,24.8,0,27.9,19.6,18.5
AST-SEQ-SEC-000103,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,sectionaliser,SECTIONALISER Brisbane 000104,-27.502703,152.926713,1964,S&C,air,11.0,in_service,62.1,2.1,32.1,8.4,0,0
AST-SEQ-POL-000104,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000105,-27.469226,153.138116,1998,Hardwood Co.,composite,11.0,in_service,77.2,0,17.9,42.8,39.5,3.5
AST-SEQ-POL-000105,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000106,-27.451859,152.969964,1985,CompositePoleCo,concrete,11.0,in_service,64.3,18.6,0,9.1,0,0
AST-SEQ-POL-000106,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000107,-27.431577,153.079496,1963,CompositePoleCo,concrete,22.0,in_service,62.1,2.9,19.6,20.8,5.8,0
AST-SEQ-CON-000107,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,conductor_span,CONDUCTOR_SPAN Brisbane 000108,-27.598044,152.949597,2007,Nexans,acsr,22.0,in_service,62.8,0.0,15.2,8.1,17.3,0
AST-SEQ-POL-000108,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000109,-27.528375,153.123768,1989,ConcreteWorks,concrete,11.0,in_service,53.2,0,19.5,13.7,11.1,0
AST-SEQ-POL-000109,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000110,-27.522089,152.918461,1972,SteelPoleAU,steel,11.0,in_service,66.7,15.0,0,38.7,0,12.1
AST-SEQ-POL-000110,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000111,-27.584741,152.954305,2015,ConcreteWorks,composite,11.0,in_service,66.5,7.1,0,33.2,0.2,0
AST-SEQ-POL-000111,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000112,-27.607026,153.117992,1968,Hardwood Co.,concrete,22.0,in_service,49.2,11.8,14.4,19.2,11.0,0
AST-SEQ-POL-000112,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000113,-27.584525,153.122745,1974,ConcreteWorks,steel,11.0,in_service,76.3,0,9.6,13.3,9.2,5.9
AST-SEQ-POL-000113,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000114,-27.531699,153.132909,1975,CompositePoleCo,concrete,22.0,in_service,47.9,5.2,26.0,24.2,5.3,19.2
AST-SEQ-POL-000114,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000115,-27.390532,152.985486,1977,SteelPoleAU,hardwood,33.0,in_service,56.3,21.3,0,15.5,19.1,0
AST-SEQ-SWI-000115,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,switch,SWITCH Brisbane 000116,-27.509886,153.048716,2013,Schneider,vacuum,11.0,in_service,38.8,17.7,7.9,28.2,5.1,17.9
AST-SEQ-POL-000116,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,pole,POLE Brisbane 000117,-27.543875,152.973927,1984,ConcreteWorks,concrete,22.0,in_service,52.2,6.8,6.0,6.8,0,0
AST-SEQ-SWI-000117,FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,switch,SWITCH Brisbane 000118,-27.472489,152.909891,1996,NOJA Power,vacuum,22.0,in_service,71.2,26.6,8.1,29.8,4.5,7.4
